source,target,type
0,42,outandin
0,77,outandin
0,127,outgoing
0,184,outandin
0,200,outandin
0,269,outandin
0,289,outandin
0,498,outgoing
0,502,outandin
0,504,outandin
0,512,outgoing
0,524,outandin
0,622,outandin
42,10,outgoing
42,60,outandin
42,150,outandin
42,232,outandin
42,239,outandin
42,293,incoming
42,294,outandin
42,312,outandin
42,466,outandin
77,118,outandin
77,170,outandin
77,229,outandin
77,239,outandin
77,297,outandin
77,356,outandin
77,379,outandin
77,474,outgoing
77,498,outandin
77,514,stable
77,523,outandin
77,547,outandin
127,66,outandin
127,170,outandin
127,187,outgoing
127,267,outandin
127,294,outandin
127,439,outandin
127,502,outandin
127,524,outandin
127,545,incoming
127,607,outandin
184,81,outgoing
184,146,outandin
184,189,incoming
184,230,outandin
184,260,outandin
184,263,outandin
184,268,outandin
184,476,outandin
184,480,outgoing
184,580,outandin
200,10,incoming
200,16,outandin
200,30,outandin
200,88,incoming
200,328,incoming
200,367,outandin
200,422,outandin
200,451,outandin
200,474,outandin
200,502,outandin
269,34,outandin
269,147,outandin
269,325,outgoing
269,382,incoming
269,422,outandin
269,448,outandin
269,492,outandin
269,530,outgoing
269,550,outandin
289,3,incoming
289,34,outandin
289,95,outgoing
289,187,incoming
289,229,outgoing
289,248,outandin
289,319,outandin
289,349,outandin
289,371,outandin
289,512,outandin
289,545,incoming
289,607,outandin
498,16,outandin
498,18,outandin
498,60,outandin
498,146,outandin
498,187,outandin
498,276,outandin
498,291,outandin
498,319,outandin
498,371,outandin
498,512,outgoing
498,607,incoming
502,60,outgoing
502,170,stable
502,328,incoming
502,400,outandin
502,523,outandin
502,552,outandin
502,622,incoming
504,56,outandin
504,120,outandin
504,130,outandin
504,158,outandin
504,361,outandin
504,392,outandin
504,397,incoming
504,402,outandin
504,442,outandin
504,509,outgoing
504,593,outandin
512,18,outandin
512,154,outandin
512,247,outandin
512,319,incoming
512,394,outandin
512,437,outandin
512,466,outgoing
512,484,incoming
512,552,outandin
524,7,outandin
524,170,outandin
524,267,outandin
524,291,outandin
524,293,outgoing
524,301,incoming
524,400,outandin
524,481,outgoing
524,542,outandin
524,607,outandin
622,9,outandin
622,251,outandin
622,277,outandin
622,291,outandin
622,301,outandin
622,437,incoming
622,439,outandin
622,484,outandin
622,514,outandin
1,216,outandin
1,238,outandin
1,314,outandin
1,325,outandin
1,522,outandin
1,557,outandin
1,606,outandin
216,27,outandin
216,130,outandin
216,201,outandin
216,297,outandin
216,451,outandin
216,467,outandin
216,522,outandin
216,530,outgoing
216,557,outandin
216,595,outandin
238,14,outandin
238,31,outgoing
238,64,outandin
238,102,outandin
238,128,outandin
238,201,outandin
238,211,outgoing
238,322,outandin
238,356,outandin
238,467,outandin
238,505,outandin
238,597,outandin
314,36,outandin
314,50,outandin
314,143,outandin
314,149,outandin
314,224,outandin
314,396,outandin
314,404,outandin
314,410,outandin
314,448,outandin
314,557,outandin
314,563,outgoing
314,581,outandin
325,41,outandin
325,67,outandin
325,147,outandin
325,149,outandin
325,157,outandin
325,204,outandin
325,382,incoming
325,404,outandin
325,467,outandin
325,605,outandin
522,64,outandin
522,86,outandin
522,89,outandin
522,91,outandin
522,147,outandin
522,188,outandin
522,266,outandin
522,273,incoming
522,348,outandin
522,482,outandin
522,509,outandin
522,589,outandin
522,592,outandin
557,166,outandin
557,174,outandin
557,273,outgoing
557,280,stable
557,322,outandin
557,425,incoming
557,471,outandin
606,39,outandin
606,72,outandin
606,146,outandin
606,189,outandin
606,274,outandin
606,295,outandin
