source,target,type
0,26,outandin
0,46,outandin
0,54,outandin
0,140,incoming
0,224,outandin
0,279,outandin
0,304,outandin
0,335,outandin
0,605,outandin
26,105,outandin
26,140,outgoing
26,144,outandin
26,278,outandin
26,304,outandin
26,404,outandin
26,460,outandin
26,561,outandin
26,616,outandin
46,9,outandin
46,64,outandin
46,128,outandin
46,147,outandin
46,244,outandin
46,265,outandin
46,318,outandin
46,404,outandin
46,423,outandin
46,555,outandin
54,42,outandin
54,219,outandin
54,256,outandin
54,333,outandin
54,402,outandin
54,454,outandin
54,477,outandin
54,550,outandin
54,562,outandin
140,13,outandin
140,303,outandin
140,329,outandin
140,362,outandin
140,423,outgoing
140,460,outandin
140,508,outandin
140,520,outandin
140,551,outgoing
140,555,outandin
140,626,outandin
224,6,outandin
224,18,outandin
224,33,outandin
224,52,outandin
224,159,outandin
224,355,outandin
224,404,outandin
224,502,outandin
224,600,outandin
279,6,outandin
279,64,outandin
279,189,outgoing
279,240,outandin
279,355,outgoing
279,397,outgoing
279,417,outandin
279,492,outandin
279,515,outandin
304,64,outgoing
304,147,outandin
304,189,outandin
304,217,outandin
304,362,outandin
304,498,outandin
304,515,outandin
304,520,outandin
304,533,outandin
304,555,outandin
304,561,outandin
335,52,incoming
335,159,outandin
335,170,outandin
335,184,outandin
335,498,outandin
335,561,outandin
335,584,incoming
605,6,outandin
605,9,outandin
605,144,outandin
605,163,outandin
605,244,outandin
605,270,outandin
605,285,outandin
605,355,outandin
605,402,outandin
605,404,outandin
605,423,outandin
605,494,outandin
605,532,outandin
1,12,outandin
1,78,outandin
1,84,outgoing
1,129,outandin
1,168,stable
1,199,outandin
1,223,outandin
1,256,outandin
1,314,outandin
1,368,outandin
1,474,outandin
1,540,outandin
12,103,outgoing
12,164,outandin
12,169,outandin
12,203,incoming
12,256,outgoing
12,374,outandin
12,376,outandin
12,490,outandin
78,47,outandin
78,138,outandin
78,156,outandin
78,233,outandin
78,277,incoming
78,381,outandin
78,444,outgoing
78,454,outandin
78,471,outandin
78,474,outgoing
84,89,incoming
84,138,outandin
84,156,incoming
84,181,outandin
84,314,incoming
84,333,incoming
84,471,outandin
84,474,outgoing
84,562,outandin
84,564,outandin
129,56,outandin
129,89,outandin
129,168,outandin
129,199,outandin
129,268,outgoing
129,287,outandin
129,383,outandin
129,386,outandin
129,389,outgoing
129,491,outandin
129,530,incoming
129,597,outandin
168,24,outandin
168,120,outandin
168,233,outandin
168,360,stable
168,471,outandin
168,474,outandin
168,490,outandin
168,607,outandin
199,59,outandin
199,139,outandin
199,219,outgoing
199,256,outandin
199,376,outandin
199,431,outandin
199,490,outandin
199,491,outandin
199,552,outandin
223,51,outandin
223,155,outandin
223,250,outandin
223,297,outgoing
223,504,outandin
223,565,outandin
223,571,outandin
223,603,outandin
223,608,outandin
223,619,outgoing
