node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
582,7,0,0.1530550514216576,0.0196294627898235,0.0015477849703543,0.2935052057511155,0.0,Team_00#582,stable,Team_00
158,8,0,0.1530550514216576,0.0237150840878901,0.001637413736351,0.2974874371859296,0.0,Team_00#158,stable,Team_00
161,8,0,0.1530550514216576,0.0230557856267503,0.0013396160704925,0.2892037127503664,0.0,Team_00#161,stable,Team_00
231,8,0,0.1530550514216576,0.0220638954308753,0.0011562941090628,0.2882181110029211,0.0,Team_00#231,stable,Team_00
367,8,0,0.1530550514216576,0.0291783313941468,0.000905470217776,0.2936507936507936,0.0,Team_00#367,stable,Team_00
427,8,0,0.1530550514216576,0.0275894522833915,0.0010445514912452,0.2967418546365915,0.0,Team_00#427,stable,Team_00
472,8,0,0.1530550514216576,0.0233479121702951,0.0012795996823872,0.2917693445046821,0.0,Team_00#472,stable,Team_00
710,8,0,0.1530550514216576,0.0248976487259289,0.000867996230918,0.2855764592378196,0.3333333333333333,Team_00#710,stable,Team_00
93,9,0,0.1530550514216576,0.0329805575373262,0.0020614448141281,0.30546955624355,0.0,Team_00#93,stable,Team_00
176,9,0,0.1530550514216576,0.0293345462308827,0.0033072011631536,0.3130618720253834,0.0,Team_00#176,stable,Team_00
177,9,0,0.1530550514216576,0.0316537127464059,0.000784907062524,0.2982367758186398,0.0,Team_00#177,stable,Team_00
253,9,0,0.1530550514216576,0.0284270232982003,0.0024144658149163,0.3002028397565923,0.0,Team_00#253,stable,Team_00
295,9,0,0.1530550514216576,0.0287437783709768,0.0021639761673682,0.2967418546365915,0.0,Team_00#295,stable,Team_00
381,9,0,0.1530550514216576,0.0251420068960477,0.00553646979503,0.3097854526425955,0.0,Team_00#381,stable,Team_00
385,9,0,0.1530550514216576,0.032621551981622,0.0004790733386412,0.2914820285573609,0.0,Team_00#385,stable,Team_00
447,9,0,0.1530550514216576,0.0282791376605219,0.0057531654395206,0.3112513144058885,0.0,Team_00#447,stable,Team_00
488,9,0,0.1530550514216576,0.0290006779754831,0.0025114738981878,0.2968906720160481,0.0,Team_00#488,stable,Team_00
502,9,0,0.1530550514216576,0.0287115034448694,0.0017576900302923,0.2970396387355745,0.0,Team_00#502,stable,Team_00
525,9,0,0.1530550514216576,0.0318404555773531,0.0016793642826891,0.2986881937436932,0.0,Team_00#525,stable,Team_00
622,9,0,0.1530550514216576,0.02695517463257,0.0018973114260163,0.294234592445328,0.3333333333333333,Team_00#622,stable,Team_00
79,10,0,0.1530550514216576,0.0250440696737563,0.0023131569135281,0.298989898989899,0.0,Team_00#79,stable,Team_00
109,10,0,0.1530550514216576,0.0279197046120774,0.0016716049990847,0.2986881937436932,0.0,Team_00#109,stable,Team_00
266,10,0,0.1530550514216576,0.0310066215491926,0.0013012770476519,0.2968906720160481,0.0,Team_00#266,stable,Team_00
