source,target,type
0,71,outgoing
0,152,outandin
0,186,outgoing
0,271,outandin
0,356,outandin
0,368,outandin
0,393,outandin
0,473,outandin
0,566,outandin
0,586,outandin
0,722,outgoing
71,9,outandin
71,205,outandin
71,278,outandin
71,348,outandin
71,380,outandin
71,470,outandin
71,527,outandin
71,611,outandin
71,622,outandin
71,674,outandin
71,690,outandin
152,9,outandin
152,87,outandin
152,161,outandin
152,186,outandin
152,198,outandin
152,205,outgoing
152,295,outandin
152,331,outandin
152,552,outandin
152,565,outandin
152,738,outandin
152,747,outandin
152,761,outandin
186,149,outandin
186,354,outandin
186,383,outandin
186,384,outandin
186,444,outandin
186,447,outgoing
186,450,outgoing
186,552,outandin
186,560,outandin
186,565,outandin
186,731,outandin
271,137,outandin
271,194,outandin
271,241,outandin
271,265,outandin
271,352,outandin
271,402,outandin
271,404,outandin
271,416,outandin
271,444,outandin
271,497,outandin
271,761,outandin
356,22,outandin
356,158,outandin
356,239,outandin
356,268,outandin
356,309,outandin
356,434,outandin
356,435,outandin
356,490,outandin
356,492,outandin
356,563,outandin
356,677,outandin
356,767,outandin
368,9,outandin
368,28,outandin
368,87,outandin
368,132,outandin
368,155,outandin
368,261,outandin
368,269,outandin
368,494,outandin
368,552,outandin
368,578,outandin
368,596,outandin
368,722,outandin
393,7,outandin
393,221,outandin
393,226,outandin
393,269,outgoing
393,289,outandin
393,505,outandin
393,527,outandin
393,540,outandin
393,578,outgoing
393,601,outandin
393,660,outandin
393,674,outandin
473,91,outandin
473,112,outandin
473,177,outandin
473,311,outandin
473,419,outandin
473,429,outandin
473,533,outandin
473,605,outandin
473,689,outgoing
473,752,outandin
566,107,outandin
566,124,outandin
566,129,outandin
566,140,outandin
566,193,outandin
566,279,outandin
566,347,outgoing
566,481,outgoing
566,585,outandin
566,754,outandin
586,149,outandin
586,161,outgoing
586,217,outandin
586,226,outgoing
586,496,outgoing
586,674,outandin
586,731,outandin
586,776,outandin
722,58,outandin
722,137,outandin
722,261,outandin
722,313,outandin
722,472,outandin
722,512,outandin
722,547,outandin
722,560,outandin
722,738,outandin
722,759,outandin
722,776,outandin
722,778,outandin
2,35,outgoing
2,80,outandin
2,162,outandin
2,234,outandin
2,239,outandin
2,246,outandin
2,274,outandin
2,547,outandin
2,599,outandin
2,683,outgoing
2,688,outandin
2,729,outandin
35,207,outgoing
35,481,outandin
35,491,outgoing
35,507,outgoing
35,637,outandin
35,646,outandin
35,649,outandin
35,671,outandin
35,684,outandin
35,739,outandin
35,770,outandin
80,64,outandin
80,88,outandin
80,314,outandin
80,318,outandin
80,329,outgoing
80,367,outandin
80,494,outgoing
80,610,outgoing
80,704,outandin
162,29,outandin
162,36,outandin
162,146,outandin
162,207,outandin
162,281,outandin
162,322,outandin
162,467,outandin
162,513,outandin
162,736,outandin
162,744,outandin
234,12,outandin
234,100,outandin
234,175,outandin
234,322,outgoing
234,491,outandin
234,769,outandin
239,74,outandin
239,183,outandin
239,216,outandin
239,390,outandin
239,454,outandin
239,532,outandin
239,597,outandin
239,677,outandin
239,769,outandin
239,770,outandin
246,89,outgoing
246,300,outandin
246,421,outandin
246,482,outandin
246,609,outandin
246,612,outandin
246,734,outandin
274,16,outandin
274,101,outandin
274,125,outandin
274,183,outandin
274,216,outandin
274,237,outandin
274,322,outandin
274,385,outandin
274,491,outandin
274,734,outandin
547,55,outandin
547,74,outandin
547,114,outandin
547,260,outandin
547,321,outandin
547,370,outandin
547,599,outandin
547,623,outandin
547,704,outandin
599,100,outgoing
599,241,outandin
599,276,outandin
599,321,outandin
599,612,outandin
683,106,outandin
683,312,outandin
683,360,outandin
683,461,outgoing
683,495,outandin
683,501,outandin
683,512,outandin
683,532,outandin
683,684,outandin
683,690,outandin
688,36,outgoing
688,135,outgoing
688,203,outandin
688,216,outandin
688,276,outandin
688,378,outgoing
688,407,outandin
688,503,outandin
688,744,outandin
729,238,outandin
729,338,outandin
729,360,outandin
729,432,outandin
729,539,outandin
729,574,outandin
729,588,outandin
3,76,outandin
3,247,outandin
3,315,outandin
3,343,outandin
3,365,outgoing
3,384,outandin
3,508,outandin
3,554,outandin
3,689,outandin
3,741,outandin
3,753,outandin
3,754,outandin
76,49,outandin
76,195,outandin
76,446,outandin
76,536,outandin
76,736,outandin
76,749,outandin
76,762,outandin
247,49,outandin
