source,target,type
0,48,outandin
0,74,outandin
0,98,outandin
0,99,outandin
0,124,outandin
0,242,outandin
0,245,outandin
0,264,outandin
0,276,outandin
0,416,outandin
0,420,outandin
0,472,outandin
0,538,outandin
0,544,outandin
0,658,outgoing
48,21,outandin
48,28,outandin
48,124,outandin
48,144,outandin
48,150,outandin
48,184,outandin
48,348,outandin
48,353,outandin
48,357,outandin
48,481,outandin
48,608,outandin
74,166,outandin
74,318,outandin
74,342,outandin
74,420,outgoing
74,436,outandin
74,628,outandin
74,662,outandin
98,5,outandin
98,56,outandin
98,140,outandin
98,233,outandin
98,245,outandin
98,315,outandin
98,319,outandin
98,348,outandin
98,357,outandin
98,499,outandin
98,658,outgoing
98,662,outandin
98,675,outandin
99,103,outandin
99,126,outandin
99,140,outgoing
99,174,outgoing
99,182,outandin
99,313,outandin
99,343,outgoing
99,412,incoming
99,471,outandin
99,484,outgoing
99,643,outandin
99,646,incoming
124,28,outandin
124,39,outandin
124,56,outandin
124,136,outandin
124,184,outandin
124,276,outandin
124,357,outandin
124,432,outandin
124,457,outandin
124,523,outgoing
124,544,outandin
242,44,outandin
242,136,outandin
242,192,outandin
242,237,outandin
242,287,outandin
242,341,outandin
242,355,outandin
242,366,outgoing
242,387,outandin
242,499,outandin
242,630,outandin
245,21,outandin
245,166,outandin
245,239,outandin
245,249,outandin
245,341,outandin
245,348,outandin
245,416,outandin
245,421,outandin
245,505,outandin
245,658,outandin
264,249,outandin
264,301,outandin
264,345,outgoing
264,377,outgoing
264,444,incoming
264,446,outandin
264,465,outandin
264,530,outgoing
264,574,outandin
264,602,outandin
264,604,outandin
276,118,outandin
276,136,outandin
276,233,outandin
276,421,outandin
276,445,outandin
276,499,outandin
276,510,outandin
276,628,outandin
276,646,outandin
416,184,outandin
416,355,outandin
416,432,outandin
416,538,outandin
416,608,outgoing
416,628,outandin
416,675,outandin
420,5,outandin
420,11,outandin
420,170,outandin
420,319,outandin
420,353,outandin
420,573,outandin
420,630,outandin
472,24,outandin
472,56,outandin
472,152,outandin
472,400,outandin
472,421,outandin
472,662,outandin
538,57,outandin
538,85,outandin
538,118,outandin
538,136,outandin
538,166,outandin
538,244,outandin
538,275,outandin
538,287,outgoing
538,348,outandin
538,386,outandin
538,393,outandin
538,421,outandin
538,467,outandin
538,523,outandin
538,540,outandin
544,82,outandin
544,86,outandin
544,198,outandin
544,202,outandin
544,203,outandin
544,341,outgoing
544,353,outgoing
544,403,outandin
544,449,outandin
544,495,outandin
544,510,outandin
544,542,outandin
544,628,outandin
658,185,outandin
658,203,outandin
658,449,outandin
658,479,outandin
658,523,outandin
2,161,outandin
2,186,outandin
2,237,outandin
2,281,outandin
2,298,outandin
2,480,outandin
2,506,outandin
2,588,outgoing
161,13,outandin
161,90,outandin
161,97,outandin
161,108,outandin
161,186,outandin
161,207,outandin
161,310,outgoing
161,368,outandin
161,473,outandin
161,496,outandin
161,515,outgoing
161,518,outgoing
161,524,incoming
161,573,outandin
161,604,outgoing
186,16,incoming
186,20,outandin
186,58,outandin
186,103,outandin
186,146,outgoing
186,191,outandin
186,296,incoming
186,343,incoming
186,484,outgoing
186,548,outandin
186,558,outandin
186,685,outandin
237,86,outandin
237,309,outandin
237,321,outandin
237,325,incoming
237,395,incoming
237,566,outandin
237,622,outandin
281,236,outandin
281,372,outandin
281,391,outandin
281,484,outandin
281,495,outandin
281,548,outgoing
281,588,outandin
281,600,outandin
281,622,outandin
281,681,outandin
298,12,incoming
298,58,stable
298,146,outandin
298,151,outandin
298,169,stable
298,235,outandin
298,484,outandin
298,565,outandin
298,643,outandin
480,150,outandin
480,159,outandin
480,191,outandin
480,269,outgoing
480,403,stable
480,438,incoming
480,486,outandin
480,506,outgoing
506,108,outandin
506,269,outandin
506,401,outgoing
506,409,outgoing
506,656,outandin
506,682,outandin
506,685,outandin
588,23,outandin
588,146,outandin
588,169,outandin
588,174,outandin
588,260,outandin
588,343,outandin
588,536,outandin
588,572,outgoing
588,616,outandin
588,630,outandin
588,643,outgoing
588,685,outandin
4,104,outandin
4,173,outandin
4,195,outgoing
4,214,outandin
4,268,outandin
4,338,outandin
4,424,outandin
4,442,outandin
4,457,outandin
4,561,outandin
4,579,outandin
4,634,outandin
4,637,incoming
4,673,outandin
4,676,incoming
104,51,outandin
104,160,outandin
104,197,outandin
104,216,outandin
104,223,outandin
104,307,outandin
104,425,outandin
104,505,outandin
104,584,outandin
104,624,outgoing
104,660,outandin
104,683,outandin
173,27,outgoing
173,87,outandin
173,112,outandin
173,130,outandin
173,201,outandin
173,248,outandin
173,256,outandin
173,393,outandin
173,611,outandin
173,673,outandin
173,687,outandin
195,130,outandin
195,168,outandin
195,214,outandin
195,240,outandin
195,248,outandin
195,268,outgoing
195,358,outandin
195,511,outandin
195,513,outandin
195,543,outandin
195,678,outandin
214,112,outandin
214,282,outandin
214,314,outandin
214,424,outandin
214,543,outandin
214,557,outandin
214,560,outandin
268,94,outandin
268,155,outandin
268,201,incoming
