source,target,type
0,27,outandin
0,160,outandin
0,163,incoming
0,172,outandin
0,319,outandin
0,410,outandin
0,542,outandin
0,691,outandin
0,709,outgoing
27,199,outandin
27,216,outgoing
27,272,outgoing
27,347,incoming
27,350,outandin
27,495,outandin
27,722,outandin
27,723,outandin
160,8,outandin
160,40,outandin
160,61,outandin
160,102,outandin
160,273,outandin
160,360,outandin
160,368,outandin
160,671,outgoing
160,706,outandin
160,709,outandin
160,722,outandin
163,149,outandin
163,186,outandin
163,350,outandin
163,360,outandin
163,368,incoming
163,431,outandin
163,439,outandin
163,453,outandin
163,465,outandin
163,485,outandin
163,559,outandin
163,607,outandin
163,685,outandin
172,7,outgoing
172,26,outandin
172,73,outandin
172,84,incoming
172,113,outandin
172,216,outgoing
172,285,outandin
172,323,outandin
172,495,outgoing
172,502,outandin
172,607,outandin
172,671,incoming
172,680,outandin
319,144,outandin
319,147,outandin
319,158,outandin
319,285,outandin
319,303,outandin
319,354,outgoing
319,489,outandin
319,514,outandin
319,588,outandin
319,619,outandin
319,739,outandin
410,18,outandin
410,58,outandin
410,167,outandin
410,197,outandin
410,202,outandin
410,275,outandin
410,330,outandin
410,391,incoming
410,400,stable
410,490,outandin
410,492,outandin
410,691,outandin
410,726,outandin
542,62,outandin
542,84,outandin
542,175,outandin
542,201,outandin
542,216,incoming
542,250,outandin
542,256,outgoing
542,323,incoming
542,465,outandin
542,491,outandin
542,639,outandin
542,645,outandin
691,213,incoming
691,255,outandin
691,264,outandin
691,282,outandin
691,302,outandin
691,400,outandin
691,414,outandin
691,423,outgoing
691,653,outandin
709,81,outandin
709,102,outandin
709,149,outandin
709,252,stable
709,315,incoming
709,346,outgoing
709,376,outandin
709,475,outandin
709,491,incoming
709,556,outandin
709,558,outandin
709,564,outandin
709,577,outandin
709,706,outandin
2,81,outandin
2,115,outandin
2,121,outandin
2,147,outandin
2,324,outandin
2,351,outandin
2,514,outandin
2,522,outandin
2,602,outgoing
2,696,incoming
2,699,outandin
2,712,outandin
81,31,outandin
81,68,outandin
81,369,outandin
81,500,outandin
81,621,outandin
81,625,outandin
81,743,outandin
115,21,outgoing
115,50,outandin
115,70,outandin
115,101,outandin
115,139,outandin
115,147,outandin
115,155,outandin
115,174,outgoing
115,193,outandin
115,227,outandin
115,246,outandin
115,287,outandin
115,303,outandin
115,326,outandin
115,588,outandin
115,621,outandin
115,739,outandin
121,50,outandin
121,193,outandin
121,286,outandin
121,303,outandin
121,313,outandin
121,326,outandin
121,452,outandin
121,521,incoming
121,602,outandin
121,637,outandin
147,10,outandin
147,31,outandin
147,101,incoming
147,110,outandin
147,246,outgoing
147,326,incoming
147,333,outandin
147,444,outandin
147,452,outandin
147,496,outandin
147,683,outandin
324,23,outandin
324,50,outgoing
324,174,outandin
324,227,incoming
324,287,outandin
324,322,outandin
324,452,outandin
324,496,outandin
324,521,outandin
324,529,outandin
324,570,outandin
324,739,outandin
351,26,outandin
351,107,outandin
351,129,outgoing
351,144,outandin
351,193,outandin
351,388,stable
351,452,outandin
351,458,stable
351,489,incoming
351,588,outandin
514,70,outgoing
514,101,outandin
514,102,outandin
514,139,outandin
514,527,outandin
514,543,outandin
514,573,outandin
514,683,outandin
514,708,outandin
514,739,outandin
522,101,outandin
522,129,outgoing
522,139,incoming
522,303,outgoing
522,310,outgoing
522,455,outandin
522,495,outandin
522,511,outandin
522,570,outandin
522,588,outandin
522,599,outandin
522,619,outandin
602,129,outandin
602,144,outgoing
602,210,outandin
602,246,outandin
602,326,outandin
602,452,outandin
602,489,outgoing
602,521,outandin
602,570,outandin
602,621,outgoing
602,730,outandin
602,743,outandin
696,107,incoming
696,174,outandin
696,193,incoming
696,298,outandin
696,417,outandin
696,488,outgoing
696,489,outandin
696,496,outandin
696,527,outgoing
696,543,outgoing
699,43,outandin
699,44,outandin
699,87,outandin
699,107,outandin
699,195,incoming
699,620,outandin
699,681,outandin
699,698,outgoing
699,703,outandin
699,720,incoming
699,740,outandin
712,3,outandin
712,40,outandin
712,65,outandin
712,72,outgoing
712,243,outgoing
712,280,outandin
712,311,outandin
712,440,outgoing
712,456,incoming
712,572,outandin
712,619,outandin
712,694,outandin
712,721,outandin
712,724,outandin
3,39,outandin
3,98,outandin
3,204,outandin
3,263,outandin
3,331,outandin
3,355,outandin
3,392,incoming
3,420,outandin
3,456,outandin
3,564,outandin
3,672,outandin
39,13,outgoing
39,30,outandin
39,122,outandin
39,220,outandin
39,298,outandin
39,390,outandin
39,701,outandin
39,708,outandin
98,283,outgoing
98,392,outandin
98,398,outandin
98,440,outandin
98,526,outandin
98,539,outgoing
98,600,outandin
98,666,outandin
98,704,outandin
98,724,outandin
204,205,outandin
204,241,outandin
204,290,outandin
204,325,incoming
204,326,outandin
204,331,outandin
204,345,outandin
204,500,outgoing
204,526,outandin
204,552,outandin
204,694,outandin
263,87,outgoing
263,177,outandin
263,260,outgoing
263,268,incoming
263,392,outandin
263,466,outandin
263,541,stable
263,554,outandin
263,639,outandin
263,679,outandin
263,684,outandin
263,698,incoming
263,740,outandin
331,40,outandin
331,99,outandin
331,392,outandin
331,456,outandin
331,512,outgoing
331,600,outandin
331,677,outandin
331,721,outandin
355,383,outandin
355,408,outandin
355,456,outandin
355,595,stable
355,649,outandin
355,689,outandin
355,726,outandin
392,283,outandin
392,397,outandin
392,555,outandin
392,622,outandin
392,672,outandin
392,687,outandin
392,695,outandin
420,65,outandin
420,283,incoming
420,290,outandin
420,408,outandin
420,432,outandin
420,524,outandin
420,600,outandin
420,639,outandin
420,667,outandin
420,689,outandin
420,742,outandin
456,65,outandin
456,72,outgoing
456,152,outandin
456,223,outandin
456,280,outandin
456,334,outandin
456,468,outgoing
456,555,outandin
456,714,outandin
564,87,outandin
564,223,outgoing
564,243,incoming
564,257,outandin
564,311,outgoing
564,334,incoming
564,540,outandin
564,622,outandin
564,714,outandin
672,190,outandin
672,243,outandin
672,283,outandin
672,454,outgoing
672,544,outandin
672,555,outandin
672,566,outandin
672,622,outandin
672,623,outandin
672,724,outandin
4,96,outandin
4,150,outandin
4,206,outgoing
4,236,outandin
4,506,outandin
4,569,outandin
4,737,outandin
96,143,outandin
96,150,outandin
96,157,incoming
96,166,incoming
96,238,outgoing
96,242,outgoing
96,371,outandin
96,396,outandin
96,419,incoming
96,459,stable
96,629,outandin
150,19,outandin
150,47,outandin
150,58,outandin
150,104,outandin
150,186,outandin
150,221,outgoing
150,236,outandin
150,399,outandin
150,419,outandin
150,473,outgoing
150,546,outandin
206,10,outandin
206,26,outandin
206,47,outandin
206,209,incoming
206,232,outandin
206,258,outandin
206,370,outandin
206,399,outandin
206,459,outgoing
206,713,outandin
236,47,incoming
236,166,outgoing
236,218,outandin
236,250,outandin
236,279,outandin
236,294,incoming
236,367,outgoing
236,552,outandin
236,683,outandin
506,99,outandin
506,111,incoming
506,186,outandin
506,238,outandin
506,258,outandin
506,335,outandin
506,379,outandin
506,652,outandin
506,713,outgoing
569,10,stable
569,43,outandin
569,47,outandin
569,76,outandin
569,104,outandin
569,242,outgoing
569,328,incoming
569,349,outandin
569,454,outandin
569,713,outandin
737,76,outandin
737,183,outandin
737,221,outandin
737,283,outandin
737,330,outandin
737,349,outandin
737,352,incoming
737,466,outandin
737,546,outandin
737,608,outandin
5,148,outandin
5,255,outgoing
5,369,outandin
5,423,outandin
5,507,outandin
5,568,outandin
5,716,outandin
148,14,outandin
148,133,outgoing
148,255,outandin
148,264,outandin
148,323,outandin
148,369,incoming
148,400,incoming
148,412,outandin
