source,target,type
1,6,outandin
1,106,outandin
1,168,outandin
1,227,outandin
1,240,outandin
1,283,outandin
1,372,outandin
1,393,outgoing
1,404,outandin
1,409,outgoing
1,415,outandin
1,417,outandin
6,41,incoming
6,88,outandin
6,138,outgoing
6,382,outandin
6,389,outandin
6,432,outandin
6,433,outandin
106,35,incoming
106,55,outandin
106,200,outandin
106,329,outandin
106,364,outandin
106,376,outgoing
106,512,outandin
106,531,outandin
168,4,outandin
168,26,outandin
168,104,outgoing
168,113,outandin
168,124,outgoing
168,146,outandin
168,151,incoming
168,169,incoming
168,316,incoming
168,393,outandin
168,395,outandin
168,404,outandin
168,611,incoming
168,717,outandin
227,26,outandin
227,160,outandin
227,332,outgoing
227,395,outandin
227,415,incoming
227,417,outandin
227,537,incoming
227,549,outandin
227,617,outandin
227,688,outandin
240,53,outgoing
240,158,outandin
240,272,outandin
240,298,outandin
240,342,outandin
240,350,outandin
240,422,outandin
240,430,outandin
240,438,outandin
240,492,outandin
240,560,outandin
240,591,outandin
240,615,outgoing
283,104,outgoing
283,216,outandin
283,316,outgoing
283,332,outandin
283,406,stable
283,415,outandin
283,424,outandin
283,568,outgoing
283,617,outandin
283,672,outandin
372,75,outandin
372,113,stable
372,124,outandin
372,332,outandin
372,388,outandin
372,409,outandin
372,415,incoming
372,475,outandin
372,673,outandin
393,246,outandin
393,396,outandin
393,409,outandin
393,661,outandin
393,670,outandin
393,695,outandin
404,45,outandin
404,71,outandin
404,124,outandin
404,235,outandin
404,395,outandin
404,406,outandin
404,549,outandin
404,695,incoming
409,125,outandin
409,169,outandin
409,176,incoming
409,373,outgoing
409,505,outandin
409,549,incoming
409,568,outandin
415,130,outandin
415,234,stable
415,246,incoming
415,315,outandin
415,517,outandin
415,562,outandin
415,617,outandin
415,717,outandin
417,75,outandin
417,104,outandin
417,124,outandin
417,150,outandin
417,246,outandin
417,316,outandin
417,619,outandin
417,688,outgoing
3,160,outandin
3,274,outgoing
3,301,outandin
3,411,outandin
3,528,outandin
3,545,outandin
3,548,incoming
3,599,outgoing
3,677,outandin
3,680,outandin
160,22,outandin
160,113,outandin
160,170,outandin
160,332,outandin
160,395,incoming
160,406,outandin
160,537,outandin
160,586,outandin
160,619,outandin
274,116,outandin
274,199,outandin
274,203,outandin
274,217,outandin
274,265,outandin
274,301,outandin
274,366,outandin
274,503,outgoing
274,529,outandin
274,548,outandin
274,600,outandin
274,668,outandin
274,674,outandin
274,677,outandin
274,680,outandin
274,692,outandin
301,35,outandin
301,86,outandin
301,90,outandin
301,99,outandin
301,116,outandin
301,170,outandin
301,200,outandin
301,248,outandin
301,310,outandin
301,329,outandin
301,563,outgoing
301,615,outandin
301,704,outandin
301,709,outandin
411,35,outgoing
411,52,outandin
411,55,outandin
411,116,outandin
411,129,outandin
411,376,outandin
411,442,outandin
411,528,incoming
411,618,outandin
411,680,outandin
528,12,outandin
528,15,outandin
528,162,outgoing
528,232,outandin
528,366,outandin
528,473,outandin
528,502,outandin
528,503,outandin
545,24,incoming
545,91,outandin
545,108,outgoing
545,112,outandin
545,135,outandin
545,151,outandin
545,193,outandin
545,210,outandin
545,222,outgoing
545,334,outandin
545,361,outgoing
545,423,outandin
545,583,outandin
548,55,outandin
548,105,outandin
548,202,outandin
548,237,outandin
548,248,outgoing
548,329,outandin
548,334,outandin
548,366,outandin
548,471,incoming
548,563,outandin
548,569,outandin
548,591,outgoing
548,618,outandin
548,674,outandin
548,692,outandin
599,69,outandin
599,105,outandin
599,129,outandin
599,170,outandin
599,248,outandin
599,309,outandin
599,310,outandin
599,364,outandin
599,408,outandin
677,107,outandin
677,200,incoming
677,232,outandin
677,309,outandin
677,364,outandin
677,512,outandin
677,550,outandin
677,600,incoming
677,674,outandin
680,99,outandin
680,153,outandin
680,232,outgoing
680,248,outandin
680,334,incoming
680,471,outandin
680,703,outandin
680,709,outandin
680,721,outandin
4,64,outandin
4,124,incoming
4,146,outandin
4,151,outandin
4,319,outandin
4,501,outandin
4,537,outandin
4,549,outandin
4,620,outandin
64,41,outandin
64,252,outandin
64,291,outandin
64,319,outandin
64,359,outandin
64,433,outandin
64,478,incoming
64,494,outandin
64,507,outandin
64,576,outandin
124,22,outandin
124,71,outandin
124,118,outandin
124,424,outandin
124,428,outandin
124,611,stable
124,620,outandin
124,678,stable
124,691,outandin
146,22,outandin
146,36,outandin
146,373,outandin
146,382,outandin
146,423,outandin
146,447,outandin
146,475,outandin
146,510,outandin
146,549,outandin
146,571,outandin
146,620,outandin
146,717,outandin
151,35,outandin
151,195,outandin
151,291,outandin
151,354,outandin
151,406,outgoing
151,571,outandin
151,691,outandin
151,692,outandin
319,51,outandin
319,138,outandin
319,196,outandin
319,215,outandin
319,252,outgoing
319,296,outandin
319,307,outandin
319,373,outandin
319,507,outandin
319,578,outandin
319,622,outgoing
319,669,outandin
319,686,outandin
501,38,outandin
501,60,outandin
501,109,outandin
501,266,outandin
501,413,incoming
501,416,outandin
501,487,outandin
501,498,incoming
501,521,outandin
501,705,outandin
501,714,outandin
501,715,outandin
537,26,incoming
537,113,outandin
537,424,outandin
537,557,outandin
537,688,outandin
549,104,outandin
549,131,outandin
549,169,stable
549,272,outandin
549,580,outandin
549,617,incoming
549,619,outandin
549,700,incoming
620,22,outandin
620,113,outandin
620,316,outgoing
620,475,outandin
620,568,outandin
620,617,incoming
620,712,outandin
41,195,outandin
41,250,outandin
41,268,outandin
41,396,outandin
41,400,incoming
41,432,outandin
41,453,outandin
41,461,outandin
41,517,outandin
41,615,outandin
41,686,outgoing
41,717,outandin
88,8,outandin
88,32,outandin
88,72,outgoing
88,268,outgoing
88,494,outgoing
88,641,outandin
88,669,outgoing
138,33,outandin
138,307,outandin
138,384,outandin
138,477,outgoing
138,556,outandin
138,578,outandin
138,689,outandin
138,696,outandin
382,8,outandin
382,61,outandin
382,101,outandin
382,205,outandin
382,325,outandin
382,369,outandin
382,389,incoming
382,576,outandin
382,693,outandin
389,11,outandin
389,40,outandin
389,296,outandin
389,321,outandin
389,490,outandin
389,507,outandin
389,556,outandin
389,563,outandin
389,565,outgoing
389,624,outandin
389,669,outandin
389,689,outandin
432,51,outandin
432,73,outandin
432,145,outandin
432,396,outandin
432,433,incoming
432,494,outandin
432,675,outgoing
432,686,outandin
433,202,outandin
433,477,outandin
433,507,outandin
433,532,outandin
433,565,outandin
433,594,outandin
433,608,outandin
433,702,outandin
433,712,incoming
7,13,outandin
7,74,incoming
7,143,outandin
7,178,outandin
7,387,outandin
7,463,incoming
7,580,outandin
7,663,outandin
7,669,outandin
7,703,outandin
13,36,outgoing
13,273,outandin
13,303,outandin
13,391,outandin
13,526,incoming
13,625,outandin
13,698,outandin
13,712,outandin
13,720,outandin
74,195,outandin
74,206,incoming
74,357,outandin
74,388,outandin
74,463,outandin
74,603,outandin
74,707,outandin
74,711,outandin
143,79,outandin
143,102,outandin
143,121,outandin
143,216,outandin
143,260,outandin
143,267,outandin
143,348,outandin
143,584,outandin
143,720,outandin
178,37,outandin
178,38,outgoing
178,60,outandin
178,175,outandin
178,208,outandin
178,275,outgoing
178,292,outgoing
178,418,outgoing
178,447,outandin
178,523,outandin
178,577,outandin
178,603,outandin
178,710,outandin
387,50,incoming
387,82,outandin
387,131,outandin
387,277,outandin
387,303,outandin
387,337,outandin
387,367,outgoing
387,554,outandin
387,564,outandin
387,571,outandin
387,621,outandin
463,121,outandin
463,172,outgoing
463,221,outandin
463,273,outandin
463,486,outandin
463,621,outgoing
463,685,incoming
463,707,outandin
580,277,outandin
580,496,outandin
580,587,outandin
580,609,outandin
580,703,outandin
663,623,outandin
663,632,outgoing
663,640,outandin
663,642,outgoing
663,643,outandin
663,647,outandin
663,662,outandin
663,665,incoming
663,667,stable
669,54,outandin
669,61,incoming
669,69,outandin
669,82,outandin
669,206,outandin
669,215,outandin
669,250,outandin
669,252,outandin
669,422,outandin
669,675,outandin
669,693,outgoing
703,36,outandin
703,50,outandin
703,121,outandin
703,152,incoming
703,226,outandin
703,273,outandin
703,527,outandin
703,603,outandin
8,11,outandin
8,46,outandin
8,250,outandin
8,317,outandin
8,324,outandin
8,359,outandin
8,396,outgoing
8,400,outandin
8,470,outandin
8,541,outandin
8,565,outandin
8,600,outandin
8,689,outandin
8,693,incoming
11,31,outandin
11,51,outgoing
11,101,outandin
11,250,stable
11,296,outandin
11,330,outandin
11,396,outandin
11,477,incoming
11,494,outandin
11,686,outandin
46,102,outandin
46,278,outandin
46,313,incoming
46,322,outandin
46,378,outandin
46,445,outgoing
46,504,outandin
46,527,outgoing
46,579,outandin
250,54,outgoing
250,101,outandin
250,205,outandin
250,291,outandin
250,296,outandin
250,378,outgoing
250,470,outandin
250,494,outandin
317,59,outandin
317,98,outandin
317,113,outandin
317,197,incoming
317,202,outandin
317,235,outandin
317,314,outandin
317,343,incoming
317,472,outandin
317,574,outandin
317,613,outandin
324,148,incoming
324,199,outandin
324,216,outandin
324,244,outandin
324,309,outandin
324,327,outandin
324,338,incoming
324,354,stable
324,446,outandin
324,706,outandin
359,213,outandin
359,268,outandin
359,311,outandin
359,321,outandin
359,328,outandin
359,392,outandin
359,482,outandin
359,576,outandin
359,609,outandin
396,40,outandin
396,73,outandin
396,392,outandin
396,470,outandin
396,490,incoming
396,565,outandin
396,608,outandin
396,675,outandin
396,696,outandin
400,30,outandin
400,61,incoming
400,72,outandin
400,73,outgoing
400,196,outandin
400,213,outandin
400,307,outgoing
400,321,outgoing
400,443,outandin
400,524,outandin
470,252,outandin
470,268,outandin
470,296,outandin
470,321,outandin
470,478,outandin
470,565,outandin
470,622,outandin
470,689,incoming
541,54,outandin
541,153,outandin
541,205,outandin
541,576,outandin
541,622,outandin
541,675,outandin
541,693,outandin
541,696,outandin
565,101,incoming
565,272,outandin
565,321,outandin
565,490,outandin
565,498,outandin
565,559,outandin
565,693,outandin
600,31,outandin
600,69,outandin
600,329,outandin
600,370,outandin
600,408,outandin
600,471,outandin
600,674,incoming
600,715,outandin
600,721,outandin
689,20,incoming
689,77,outandin
689,145,outandin
689,193,outandin
689,507,outandin
689,642,outandin
693,273,outandin
693,291,outandin
693,478,outandin
693,490,outandin
693,641,outandin
693,686,outgoing
9,65,outandin
9,91,outgoing
9,190,outandin
9,222,stable
9,255,outandin
9,287,outandin
9,313,outandin
9,356,incoming
9,429,outgoing
9,447,outandin
9,483,incoming
9,561,outandin
65,91,outandin
65,279,outgoing
65,345,outandin
65,357,outandin
65,361,outandin
65,429,outandin
65,452,outandin
65,459,outandin
65,461,outgoing
65,530,outandin
91,49,outandin
91,108,outandin
91,184,outandin
91,210,outgoing
91,258,outandin
91,291,outandin
91,304,outandin
91,313,incoming
91,361,outandin
91,458,outandin
91,459,outandin
190,72,outandin
190,76,outandin
190,112,outandin
190,139,outandin
190,193,incoming
190,210,outandin
190,257,outandin
190,271,outgoing
190,345,outandin
190,635,outandin
190,690,outandin
222,23,outandin
222,28,outandin
222,44,outandin
222,76,incoming
222,100,outandin
222,108,outandin
222,193,outandin
222,237,outandin
222,300,outandin
222,361,incoming
222,375,outandin
222,429,outandin
222,604,outandin
222,695,outandin
255,135,outandin
255,193,outandin
255,257,outandin
255,271,outgoing
255,287,outandin
255,336,outandin
255,403,incoming
255,448,outandin
255,459,outandin
255,519,outandin
255,621,outandin
255,673,outandin
287,49,outandin
287,148,outandin
287,152,outandin
287,195,outandin
287,336,outandin
287,361,outandin
287,429,incoming
287,457,outgoing
287,550,outandin
287,583,outandin
287,587,outandin
287,639,outandin
287,653,outandin
287,664,outandin
287,673,outandin
313,76,outandin
313,135,outandin
313,184,outandin
313,210,incoming
313,323,outandin
313,336,outandin
313,458,incoming
313,500,outgoing
356,193,stable
356,210,outandin
356,212,outandin
356,271,outandin
356,375,outandin
356,429,outandin
356,534,outandin
356,614,outandin
429,58,outandin
429,128,outandin
429,238,outandin
429,257,incoming
429,459,outandin
429,483,outandin
429,699,outandin
447,50,outandin
447,260,outandin
447,316,incoming
447,395,outandin
447,534,outandin
447,568,outandin
447,688,outgoing
483,28,incoming
483,156,outandin
483,304,outandin
483,341,outgoing
483,361,outandin
483,413,outgoing
483,530,outandin
483,570,outandin
561,163,outandin
561,165,outandin
561,216,incoming
561,221,outandin
561,267,outandin
561,344,outandin
561,711,incoming
10,158,outgoing
10,171,outandin
10,203,outandin
10,445,outandin
10,476,outgoing
10,547,outandin
10,605,outandin
10,684,outandin
158,336,outandin
158,338,outandin
158,347,outandin
158,368,outandin
158,378,outandin
158,435,stable
158,488,outandin
158,492,incoming
158,497,outandin
158,544,outandin
158,579,incoming
158,681,incoming
171,79,outandin
171,128,outandin
171,237,outandin
171,239,outandin
171,298,outandin
171,322,incoming
171,435,outandin
171,451,incoming
171,553,incoming
171,579,outgoing
171,657,outandin
203,34,outandin
203,52,outandin
203,53,outandin
203,350,outandin
203,368,outgoing
203,378,outandin
203,448,outandin
203,504,outandin
203,694,outandin
445,23,outandin
445,29,outandin
445,122,outandin
445,164,outandin
445,183,outandin
445,187,outandin
445,323,outandin
445,435,outandin
445,438,outandin
445,492,outandin
445,579,outandin
445,588,outandin
445,591,outandin
445,614,outandin
445,684,incoming
476,50,outandin
476,63,outandin
476,79,outandin
476,102,outandin
476,187,outandin
476,343,outandin
476,368,outgoing
476,422,outandin
476,486,outandin
476,529,outandin
476,579,outandin
476,674,outandin
547,107,stable
547,182,outandin
547,323,outandin
547,448,outandin
547,485,outgoing
547,488,outandin
547,499,outandin
547,527,outandin
547,681,outandin
605,24,outandin
605,107,outandin
605,134,outandin
605,170,outandin
605,183,outandin
605,278,outandin
605,295,outandin
605,323,outandin
605,344,outandin
605,479,outandin
605,504,outandin
605,517,outandin
605,527,incoming
605,681,outandin
684,82,outandin
684,102,outandin
684,435,outandin
684,488,outandin
684,504,outandin
684,588,outandin
684,702,outandin
31,56,outandin
31,61,outandin
31,163,outandin
31,174,outandin
31,265,outandin
31,370,outandin
31,408,incoming
31,419,outandin
31,471,outandin
31,618,outandin
31,629,outandin
31,651,outandin
51,177,outandin
51,215,outandin
51,252,outgoing
51,291,outandin
51,494,outgoing
51,510,outandin
51,532,outandin
101,145,outandin
101,177,outandin
101,296,outandin
101,307,outandin
101,478,outandin
101,494,outandin
101,507,outandin
101,556,outandin
101,578,outandin
296,20,outgoing
296,72,outandin
296,306,outandin
296,478,outgoing
296,556,stable
296,609,outandin
296,651,outandin
296,675,outandin
330,30,outgoing
330,142,outandin
330,163,outandin
330,165,incoming
330,188,outandin
330,199,outandin
330,206,outgoing
330,267,outandin
330,277,outandin
330,347,outandin
330,503,outandin
330,698,outandin
477,54,outandin
477,72,outandin
477,177,incoming
477,307,outandin
477,369,stable
477,576,outandin
477,578,outandin
494,205,incoming
494,321,outandin
494,478,outandin
494,490,outandin
494,576,incoming
494,578,outandin
494,622,incoming
686,196,incoming
686,213,outgoing
686,252,incoming
686,268,outandin
686,291,outandin
686,608,outandin
686,712,outandin
12,21,outandin
12,59,outandin
12,120,outandin
12,233,stable
12,282,outandin
12,320,outandin
12,333,incoming
12,340,incoming
12,511,outandin
12,525,outandin
12,559,outandin
12,562,incoming
12,574,outgoing
12,613,outgoing
21,120,outandin
21,140,outandin
21,156,outandin
21,233,outandin
21,343,outandin
21,402,incoming
21,474,outandin
21,489,outandin
21,604,outandin
21,613,outandin
21,628,outandin
21,671,incoming
59,87,outandin
59,153,outandin
59,194,outandin
59,204,outandin
59,333,outandin
59,343,outgoing
59,402,outandin
59,462,outandin
59,582,outandin
59,597,incoming
120,52,outandin
120,72,outandin
120,90,outandin
120,104,outandin
120,233,outandin
120,237,incoming
120,253,outgoing
120,525,outgoing
120,567,outandin
120,719,outandin
233,29,outandin
233,132,outandin
233,165,outandin
233,197,outgoing
233,333,outgoing
233,340,outandin
233,604,outandin
233,608,outandin
233,685,outandin
282,109,outandin
282,349,outandin
282,380,outandin
282,468,outgoing
282,474,outandin
282,514,outandin
282,525,outandin
282,559,outandin
320,82,outandin
320,86,outgoing
320,132,outandin
320,269,outandin
320,314,outandin
320,333,outandin
320,354,outandin
320,365,outgoing
320,377,outandin
320,507,outandin
320,651,outandin
320,671,outandin
333,253,incoming
333,343,outandin
333,567,outandin
333,608,outandin
340,29,outandin
340,249,outandin
340,270,outandin
340,316,outandin
340,342,outandin
340,343,outandin
340,413,outandin
340,474,outandin
340,525,outgoing
340,536,outandin
340,576,outandin
340,671,outandin
511,62,outandin
511,87,outandin
511,132,outandin
511,202,outandin
511,249,incoming
511,344,outandin
511,380,outandin
511,582,outandin
511,658,outandin
525,194,outandin
525,249,outandin
525,253,outandin
525,365,outandin
525,514,outandin
525,573,outandin
559,117,outandin
559,156,outandin
559,343,outandin
559,365,outandin
559,380,outandin
559,554,incoming
559,709,outandin
562,62,outandin
562,87,outandin
562,117,outgoing
562,140,outandin
562,218,outandin
562,244,outandin
562,262,outandin
562,344,outgoing
562,365,outandin
562,388,outandin
562,453,outandin
562,462,outandin
562,567,outandin
562,608,outandin
574,17,outgoing
574,132,outandin
574,237,outandin
574,344,stable
574,402,outandin
574,514,outandin
574,604,outandin
574,709,outandin
613,85,outandin
613,117,outandin
613,249,outgoing
613,368,outandin
613,536,outandin
613,567,outandin
613,697,outandin
36,82,outgoing
36,111,outandin
36,118,outandin
36,121,outandin
36,185,outgoing
36,216,outandin
36,280,outandin
36,310,outandin
36,496,outandin
36,526,outandin
273,43,outandin
273,50,outandin
273,111,outandin
273,217,outandin
273,303,outandin
273,533,outandin
273,707,outandin
273,719,outandin
273,720,outandin
303,50,outandin
303,121,outandin
303,134,incoming
303,277,outgoing
303,347,outandin
303,348,outandin
303,388,outandin
303,492,outandin
303,533,incoming
303,564,outandin
303,598,outandin
303,685,outandin
391,62,outandin
391,73,outandin
391,111,outandin
391,148,outandin
391,152,outgoing
391,221,outandin
391,277,outandin
391,329,outandin
391,348,stable
391,449,outandin
391,720,outandin
526,90,outandin
526,152,outandin
526,328,incoming
526,348,incoming
526,419,outandin
