node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
406,6,0,0.1675324675324675,0.0225423583006317,0.0011331653747078,0.282015065913371,0.6666666666666666,Team_00#406,outgoing,Team_00
146,7,0,0.1675324675324675,0.0219108822755705,0.0004758413970755,0.2881192881192881,0.0,Team_00#146,outgoing,Team_00
26,8,0,0.1675324675324675,0.0248492417497491,0.0022160363235793,0.3032911392405063,0.0,Team_00#26,outgoing,Team_00
717,8,0,0.1675324675324675,0.0259403460389111,0.0005099269050456,0.281484962406015,0.3333333333333333,Team_00#717,outgoing,Team_00
741,8,0,0.1675324675324675,0.0278786278193177,0.0017342782002653,0.3019153225806452,0.3333333333333333,Team_00#741,outgoing,Team_00
272,9,0,0.1675324675324675,0.0411977909736047,0.0019431406109992,0.2968285431119921,0.0,Team_00#272,outgoing,Team_00
395,9,0,0.1675324675324675,0.0282163092649686,0.0030083409271775,0.3042153377348908,0.0,Team_00#395,outgoing,Team_00
424,9,0,0.1675324675324675,0.0352566382811003,0.0034469847344961,0.3032911392405063,0.0,Team_00#424,outgoing,Team_00
767,9,0,0.1675324675324675,0.0288252383757788,0.0020515379453514,0.2987531172069825,0.3333333333333333,Team_00#767,outandin,Team_00
772,9,0,0.1675324675324675,0.0395628801429566,0.0009827747894839,0.3016112789526687,0.3333333333333333,Team_00#772,outandin,Team_00
71,10,0,0.1675324675324675,0.0317552334360952,0.0040158465193677,0.3008538422903064,0.0,Team_00#71,outgoing,Team_00
75,10,0,0.1675324675324675,0.0317036597347437,0.0017315372802318,0.2913424124513619,0.0,Team_00#75,outgoing,Team_00
150,10,0,0.1675324675324675,0.0351507608036893,0.0036262240975609,0.3123044838373305,0.0,Team_00#150,outgoing,Team_00
168,10,0,0.1675324675324675,0.0404955682321729,0.0017274668944314,0.2984554060787244,0.0,Team_00#168,outgoing,Team_00
176,10,0,0.1675324675324675,0.0381283855239888,0.0011841952234897,0.297713717693837,0.0,Team_00#176,outgoing,Team_00
315,10,0,0.1675324675324675,0.0353434506422798,0.000729278515541,0.2899322362052275,0.0,Team_00#315,outgoing,Team_00
372,10,0,0.1675324675324675,0.0307808338986984,0.0038147334312723,0.3057682491066871,0.0,Team_00#372,outgoing,Team_00
373,10,0,0.1675324675324675,0.0379751997974378,0.0045443344307274,0.3237837837837838,0.0,Team_00#373,outgoing,Team_00
447,10,0,0.1675324675324675,0.0375491649165077,0.00289641937016,0.3131207527443805,0.0,Team_00#447,outgoing,Team_00
549,10,0,0.1675324675324675,0.032029052884881,0.0035724213147814,0.3060807358201328,0.0,Team_00#549,outgoing,Team_00
620,10,0,0.1675324675324675,0.0342986806074822,0.0024288055672671,0.2989021956087824,0.3333333333333333,Team_00#620,outgoing,Team_00
1,11,0,0.1675324675324675,0.0399092388967022,0.0060324400920481,0.309400826446281,0.0,Team_00#1,outgoing,Team_00
124,11,0,0.1675324675324675,0.0411204622353808,0.0026770226573907,0.304369918699187,0.0,Team_00#124,outgoing,Team_00
169,11,0,0.1675324675324675,0.0426761288836485,0.0029226217947369,0.3113305613305613,0.0,Team_00#169,outgoing,Team_00
227,11,0,0.1675324675324675,0.036099146486507,0.0048230694804962,0.3045246568378241,0.0,Team_00#227,outgoing,Team_00
332,11,0,0.1675324675324675,0.0382222559250291,0.0047804409943562,0.3142707240293809,0.0,Team_00#332,outgoing,Team_00
404,11,0,0.1675324675324675,0.0412771026482732,0.0013035878271078,0.2958024691358025,0.0,Team_00#404,outgoing,Team_00
586,11,0,0.1675324675324675,0.033939392787777,0.0065185925592468,0.3187865886109632,0.0,Team_00#586,outgoing,Team_00
723,11,0,0.1675324675324675,0.0375276169875488,0.0059233389031682,0.3111688311688311,0.3333333333333333,Team_00#723,outgoing,Team_00
113,12,0,0.1675324675324675,0.0372689873291988,0.0051656480199582,0.3150973172014729,0.0,Team_00#113,outgoing,Team_00
151,12,0,0.1675324675324675,0.0453053292457365,0.0038382121094865,0.3251900108577633,0.0,Team_00#151,outgoing,Team_00
234,12,0,0.1675324675324675,0.0400675828419592,0.0042426745984465,0.3172669491525424,0.0,Team_00#234,outgoing,Team_00
235,12,0,0.1675324675324675,0.036969136138818,0.0058324622784613,0.312957157784744,0.0,Team_00#235,outgoing,Team_00
283,12,0,0.1675324675324675,0.0382825949293837,0.0043563931455694,0.3079691516709512,0.0,Team_00#283,outgoing,Team_00
284,12,0,0.1675324675324675,0.0366049096097046,0.0022938965064749,0.2993503248375812,0.6666666666666666,Team_00#284,outgoing,Team_00
316,12,0,0.1675324675324675,0.0353263747079504,0.0039676081354147,0.3059244126659857,0.0,Team_00#316,outgoing,Team_00
415,12,0,0.1675324675324675,0.0349479922520215,0.0017237588555555,0.3016112789526687,0.0,Team_00#415,outgoing,Team_00
417,12,0,0.1675324675324675,0.0412745619552689,0.0063401850817802,0.3237837837837838,0.0,Team_00#417,outgoing,Team_00
537,12,0,0.1675324675324675,0.0375924447008454,0.0032275772130193,0.3084449021627188,0.0,Team_00#537,outgoing,Team_00
617,12,0,0.1675324675324675,0.0385614991572664,0.00608873105799,0.3192963752665245,0.3333333333333333,Team_00#617,outgoing,Team_00
735,12,0,0.1675324675324675,0.0448569393997805,0.0015426131916676,0.3147661586967945,0.3333333333333333,Team_00#735,outgoing,Team_00
4,13,0,0.1675324675324675,0.0398588028379457,0.0065981015368934,0.3154291732490785,0.0,Team_00#4,outgoing,Team_00
244,13,0,0.1675324675324675,0.0384953289184959,0.0074409636407533,0.3189563365282215,0.0,Team_00#244,outgoing,Team_00
246,13,0,0.1675324675324675,0.0439892082786081,0.0055480808272275,0.3172669491525424,0.0,Team_00#246,outgoing,Team_00
260,13,0,0.1675324675324675,0.0419280729053117,0.0050427501437556,0.3187865886109632,0.0,Team_00#260,outgoing,Team_00
393,13,0,0.1675324675324675,0.0422733323434254,0.0039362103312493,0.3086038124678001,0.0,Team_00#393,outgoing,Team_00
678,13,0,0.1675324675324675,0.0443565266074176,0.0055178136879891,0.3103626943005181,0.3333333333333333,Team_00#678,outgoing,Team_00
688,13,0,0.1675324675324675,0.046826450706336,0.0045270923394352,0.3131207527443805,0.3333333333333333,Team_00#688,outgoing,Team_00
691,13,0,0.1675324675324675,0.0452200297666827,0.0026723590590699,0.3056122448979592,0.3333333333333333,Team_00#691,outgoing,Team_00
700,13,0,0.1675324675324675,0.0453422550571045,0.0059268525373744,0.3146008403361344,0.3333333333333333,Team_00#700,outgoing,Team_00
409,14,0,0.1675324675324675,0.0505843871275907,0.0068922524416532,0.3275013668671405,0.6666666666666666,Team_00#409,outgoing,Team_00
761,15,0,0.1675324675324675,0.0451962257861126,0.008472218914017,0.3300275482093664,0.3333333333333333,Team_00#761,outandin,Team_00
22,16,0,0.1675324675324675,0.0507058091755195,0.0149403657997623,0.328039430449069,0.0,Team_00#22,outgoing,Team_00
160,16,0,0.1675324675324675,0.0592743367734797,0.0070486897477808,0.3386093838326738,0.0,Team_00#160,outgoing,Team_00
619,16,0,0.1675324675324675,0.0565053092001944,0.0092873672917844,0.3291208791208791,0.3333333333333333,Team_00#619,outgoing,Team_00
695,18,0,0.1675324675324675,0.0684069241387334,0.0044429206661575,0.3282191780821917,0.3333333333333333,Team_00#695,outgoing,Team_00
64,6,1,0.1513734658094681,0.0217668733155039,0.0004166914649152,0.2853739876131491,0.0,Team_01#64,outgoing,Team_01
689,7,1,0.1513734658094681,0.0350881195066537,0.0001282955964775,0.2849666983824929,0.3333333333333333,Team_01#689,outgoing,Team_01
724,7,1,0.1513734658094681,0.0193281038353677,0.0007289707497065,0.284831193533048,0.3333333333333333,Team_01#724,outgoing,Team_01
40,8,1,0.1513734658094681,0.0253031560666766,0.0002209296189337,0.2821479039095619,0.0,Team_01#40,outgoing,Team_01
205,8,1,0.1513734658094681,0.022791707500877,0.0018043061186992,0.2955106068080907,0.0,Team_01#205,outgoing,Team_01
433,8,1,0.1513734658094681,0.0285394939592631,0.001087131743355,0.3065506653019447,0.0,Team_01#433,outgoing,Team_01
477,8,1,0.1513734658094681,0.0255811539576201,0.0020616263342739,0.3134484563055991,0.0,Team_01#477,outgoing,Team_01
725,8,1,0.1513734658094681,0.0287098015490786,0.0003928466965677,0.2857824427480916,0.3333333333333333,Team_01#725,outgoing,Team_01
54,9,1,0.1513734658094681,0.0318403580437642,0.0015388542368765,0.3004012036108325,0.0,Team_01#54,outgoing,Team_01
145,9,1,0.1513734658094681,0.0332254860765198,0.0015877189975334,0.3040609137055837,0.0,Team_01#145,outgoing,Team_01
177,9,1,0.1513734658094681,0.0278849378192745,0.0010426856024583,0.2930528375733855,0.0,Team_01#177,outgoing,Team_01
215,9,1,0.1513734658094681,0.0291183671856328,0.0027772182240138,0.3097207859358842,0.0,Team_01#215,outgoing,Team_01
306,9,1,0.1513734658094681,0.030909736808613,0.0028707103472617,0.3164289487585842,0.0,Team_01#306,outgoing,Team_01
307,9,1,0.1513734658094681,0.0278180813844623,0.0028727403190163,0.2975658221559861,0.0,Team_01#307,outgoing,Team_01
382,9,1,0.1513734658094681,0.0274234948052538,0.0062078355868308,0.300250626566416,0.0,Team_01#382,outgoing,Team_01
389,9,1,0.1513734658094681,0.0296930420453756,0.0049476909880056,0.3010050251256281,0.0,Team_01#389,outgoing,Team_01
396,9,1,0.1513734658094681,0.031326782941833,0.001333249220859,0.3090815273477812,0.0,Team_01#396,outgoing,Team_01
494,9,1,0.1513734658094681,0.0366535769225712,0.0009030883392136,0.301307847082495,0.0,Team_01#494,outgoing,Team_01
578,9,1,0.1513734658094681,0.0304082495838121,0.0022235292847368,0.3087628865979381,0.0,Team_01#578,outgoing,Team_01
739,9,1,0.1513734658094681,0.0330566252408972,0.0002924624823232,0.2937714565963708,0.3333333333333333,Team_01#739,outgoing,Team_01
41,10,1,0.1513734658094681,0.032129857258857,0.0010583624411006,0.2933398628795299,0.0,Team_01#41,outgoing,Team_01
51,10,1,0.1513734658094681,0.029382335587597,0.0024588412915211,0.2984554060787244,0.0,Team_01#51,outgoing,Team_01
321,10,1,0.1513734658094681,0.0272214111983117,0.0018395076077399,0.295219319862001,0.0,Team_01#321,outgoing,Team_01
400,10,1,0.1513734658094681,0.0375760388215923,0.005217626715304,0.3243096913914456,0.0,Team_01#400,outgoing,Team_01
470,10,1,0.1513734658094681,0.0341901184121704,0.003634343592418,0.3081275720164609,0.0,Team_01#470,outgoing,Team_01
478,10,1,0.1513734658094681,0.0301743311444931,0.0024323385540384,0.2989021956087824,0.0,Team_01#478,outgoing,Team_01
490,10,1,0.1513734658094681,0.0297165064246761,0.0012873955361973,0.3019153225806452,0.0,Team_01#490,outgoing,Team_01
