node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
569,6,0,0.1861702127659574,0.0189613145124306,0.0006326953932931,0.2821479039095619,0.0,Team_00#569,incoming,Team_00
114,7,0,0.1861702127659574,0.0284119204268754,0.0010839365419703,0.2914841849148418,0.0,Team_00#114,incoming,Team_00
253,7,0,0.1861702127659574,0.0234774755205209,0.001354543155453,0.2955106068080907,1.0,Team_00#253,outandin,Team_00
320,7,0,0.1861702127659574,0.0217760413055096,0.0017788587419269,0.2923377257198633,0.0,Team_00#320,incoming,Team_00
287,8,0,0.1861702127659574,0.0226208666139984,0.0016432831020648,0.2914841849148418,0.0,Team_00#287,incoming,Team_00
362,8,0,0.1861702127659574,0.0271516676040014,0.0009342679458941,0.2868773946360153,0.3333333333333333,Team_00#362,incoming,Team_00
59,9,0,0.1861702127659574,0.0286949317882881,0.0042920715504391,0.2989021956087824,0.0,Team_00#59,incoming,Team_00
65,9,0,0.1861702127659574,0.0307670826233549,0.0021449678567816,0.3089221248066013,0.3333333333333333,Team_00#65,incoming,Team_00
203,9,0,0.1861702127659574,0.0311060528561892,0.0039939487527971,0.3113305613305613,0.0,Team_00#203,incoming,Team_00
356,9,0,0.1861702127659574,0.0295809198278317,0.003336930591411,0.3057682491066871,0.0,Team_00#356,incoming,Team_00
379,9,0,0.1861702127659574,0.0376417233986429,0.0012724362793866,0.2993503248375812,0.3333333333333333,Team_00#379,incoming,Team_00
491,9,0,0.1861702127659574,0.0296755209121793,0.0012514769365983,0.2860553963705826,0.0,Team_00#491,incoming,Team_00
36,10,0,0.1861702127659574,0.0392774108111838,0.0033748154687413,0.3068647540983606,0.0,Team_00#36,incoming,Team_00
41,10,0,0.1861702127659574,0.0318760935626432,0.0038628246678206,0.3098810139679255,0.3333333333333333,Team_00#41,incoming,Team_00
262,10,0,0.1861702127659574,0.0386881067392912,0.0052246561401346,0.3124673969744392,0.0,Team_00#262,incoming,Team_00
457,10,0,0.1861702127659574,0.0355790529456539,0.0028296492417137,0.3054563997960224,0.0,Team_00#457,incoming,Team_00
506,10,0,0.1861702127659574,0.036578382025577,0.0031747578388666,0.3154291732490785,0.3333333333333333,Team_00#506,outandin,Team_00
542,10,0,0.1861702127659574,0.0322540541662186,0.0014087212850399,0.2870148538572113,0.0,Team_00#542,incoming,Team_00
570,10,0,0.1861702127659574,0.0389528861819667,0.0058072091532394,0.3239588967009194,0.3333333333333333,Team_00#570,incoming,Team_00
45,11,0,0.1861702127659574,0.0404737284030094,0.0025473914894158,0.3053007135575943,0.0,Team_00#45,incoming,Team_00
102,11,0,0.1861702127659574,0.0399896056056744,0.0083035740267517,0.328039430449069,0.0,Team_00#102,incoming,Team_00
285,11,0,0.1861702127659574,0.0460559390425693,0.0042545204853372,0.3174350821409645,0.3333333333333333,Team_00#285,outandin,Team_00
299,11,0,0.1861702127659574,0.0385570044599404,0.0025272101004256,0.310845874416191,0.3333333333333333,Team_00#299,incoming,Team_00
306,11,0,0.1861702127659574,0.0358999348183915,0.0044963434223282,0.3152631578947368,0.0,Team_00#306,incoming,Team_00
511,11,0,0.1861702127659574,0.0377169291381925,0.0032424297135952,0.3118167621030713,0.0,Team_00#511,incoming,Team_00
564,11,0,0.1861702127659574,0.0368468591934677,0.0026361748054236,0.304989816700611,0.0,Team_00#564,incoming,Team_00
28,12,0,0.1861702127659574,0.0526183097397226,0.0037015299310817,0.3172669491525424,0.0,Team_00#28,incoming,Team_00
80,12,0,0.1861702127659574,0.0383484175558304,0.0056939586955037,0.3157617290458618,0.0,Team_00#80,incoming,Team_00
166,12,0,0.1861702127659574,0.0473676695210273,0.0066934036999349,0.3182784272051009,0.3333333333333333,Team_00#166,incoming,Team_00
