source,target,type
0,63,outandin
0,224,outandin
0,233,outandin
0,240,outandin
0,241,outandin
0,246,outandin
0,254,outgoing
0,330,outandin
0,365,outandin
0,381,outandin
0,489,outandin
0,566,outandin
0,671,outandin
63,97,outandin
63,155,outandin
63,276,outandin
63,292,outandin
63,360,outandin
63,660,outandin
63,712,outandin
63,722,outandin
224,56,outandin
224,154,outandin
224,227,outgoing
224,240,incoming
224,312,outandin
224,339,outandin
224,407,outandin
224,508,outandin
224,509,outandin
224,704,outandin
224,722,outandin
233,89,outgoing
233,90,outandin
233,144,incoming
233,148,outandin
233,254,outandin
233,292,incoming
233,386,outandin
233,453,outandin
233,463,incoming
233,587,incoming
240,40,outandin
240,72,outandin
240,231,incoming
240,339,outandin
240,518,outandin
240,536,outandin
240,545,outandin
240,709,outandin
240,717,outandin
241,133,outandin
241,318,outandin
241,406,outandin
241,446,outgoing
241,509,outgoing
241,612,outandin
241,629,outandin
241,648,outandin
241,711,outandin
246,14,outandin
246,73,outandin
246,302,incoming
246,347,outandin
246,376,outandin
246,446,outandin
246,551,incoming
246,554,outandin
246,665,outandin
254,67,outandin
254,154,outandin
254,155,outgoing
254,178,outandin
254,363,outandin
254,427,outandin
254,429,outandin
254,545,outandin
254,722,outandin
330,17,outandin
330,83,outandin
330,213,incoming
330,257,outandin
330,273,outandin
330,277,incoming
330,288,outandin
330,349,outandin
330,470,outandin
330,550,outandin
365,15,outandin
365,67,outgoing
365,74,outandin
365,171,outandin
365,173,outandin
365,262,outandin
365,427,outandin
365,446,outandin
365,566,outandin
381,35,outandin
381,82,outgoing
381,177,outandin
381,308,outandin
381,325,outgoing
381,401,outandin
381,574,outgoing
381,636,outandin
381,697,outandin
489,7,outandin
489,79,outandin
489,109,outandin
489,238,outandin
489,274,outandin
489,324,outandin
489,334,outandin
489,366,outandin
489,439,outandin
489,565,outgoing
489,596,outandin
489,603,outgoing
566,4,outgoing
566,67,outandin
566,73,outandin
566,227,outandin
566,276,outandin
566,376,incoming
566,482,outandin
566,501,outandin
566,536,outandin
566,587,outandin
566,613,outandin
671,128,outandin
671,647,outandin
671,648,outandin
671,651,outandin
671,656,outandin
671,661,outandin
671,666,outandin
671,675,outandin
671,679,outandin
671,680,outandin
671,690,outandin
671,695,outandin
1,16,outgoing
1,107,outandin
1,335,incoming
1,393,outandin
1,396,outandin
1,445,outandin
1,499,outandin
1,675,outandin
1,699,outandin
16,75,outandin
16,393,outandin
16,486,outandin
16,544,outandin
16,699,outandin
16,714,incoming
107,41,outandin
107,171,incoming
107,335,outandin
107,389,stable
107,396,stable
107,445,outandin
107,482,outandin
107,653,outandin
107,681,outandin
107,709,outandin
335,75,incoming
335,170,outandin
335,190,stable
335,548,outgoing
335,699,incoming
335,713,outandin
393,75,outandin
393,159,outandin
393,170,outandin
393,171,outandin
393,298,outandin
393,379,outandin
393,389,outandin
393,396,incoming
393,486,incoming
393,493,outandin
393,510,outandin
393,548,outandin
393,575,outgoing
393,698,outandin
393,713,outandin
396,124,outandin
396,146,outandin
396,159,outandin
396,170,outandin
396,445,outandin
396,548,outandin
396,698,incoming
396,713,outandin
445,52,outandin
445,75,outandin
445,291,outandin
445,386,outandin
445,486,outandin
445,493,outgoing
445,588,outandin
445,714,outandin
499,4,outandin
499,101,outandin
499,133,outandin
499,178,outandin
499,286,incoming
499,293,outandin
499,347,outgoing
499,429,outandin
499,536,outandin
499,551,outandin
499,568,outandin
675,650,incoming
675,654,outandin
675,661,outandin
675,666,outandin
675,674,outandin
675,676,outandin
675,677,outandin
675,679,outandin
675,686,outandin
675,695,outandin
699,159,outandin
699,248,outandin
699,268,outandin
699,482,outandin
699,493,outandin
699,548,outandin
699,568,outandin
699,575,outandin
699,593,outandin
2,86,outandin
2,103,outandin
2,186,outandin
2,263,outandin
2,284,outandin
2,319,outandin
2,349,incoming
2,357,outandin
2,586,outgoing
86,17,outandin
86,131,outandin
86,208,outandin
86,293,outandin
86,413,outandin
86,437,outandin
86,586,outgoing
86,602,outandin
86,705,outandin
