source,target,type
0,7,outgoing
0,10,outandin
0,76,outgoing
0,110,outandin
0,227,outandin
0,245,incoming
0,410,outandin
0,425,outandin
0,522,outandin
0,588,outandin
0,631,outandin
7,103,outandin
7,245,outandin
7,283,outandin
7,435,outandin
7,520,outandin
7,550,outandin
7,605,outandin
7,636,outandin
7,732,outandin
10,91,incoming
10,106,outandin
10,133,outandin
10,209,outandin
10,219,outandin
10,269,outgoing
10,393,outandin
10,433,outandin
10,556,outandin
10,579,outandin
10,735,outandin
76,8,outandin
76,69,outandin
76,158,outandin
76,229,incoming
76,387,outandin
76,400,outgoing
76,447,incoming
76,543,outandin
76,583,incoming
76,602,outandin
110,84,outandin
110,154,outandin
110,166,outandin
110,221,outandin
110,283,outandin
110,337,outandin
110,428,outandin
110,435,incoming
110,586,outandin
110,606,outandin
110,664,outandin
110,736,outandin
227,37,outandin
227,84,outandin
227,166,outandin
227,201,outandin
227,410,outandin
227,429,outandin
227,447,outandin
227,494,outandin
227,571,outandin
227,586,outandin
227,666,outandin
227,691,outandin
245,165,outandin
245,174,outandin
245,470,outandin
245,520,incoming
245,599,outandin
245,613,outandin
245,629,outandin
245,631,outandin
245,636,outandin
410,16,outandin
410,66,outgoing
410,73,outandin
410,84,outandin
410,90,outandin
410,139,outandin
410,176,outandin
410,201,outandin
410,326,outandin
410,360,outandin
410,387,outgoing
410,424,outandin
410,435,outandin
410,443,outandin
410,520,outandin
410,528,stable
410,617,outandin
410,658,outandin
425,27,outandin
425,44,outgoing
425,91,outandin
425,103,outandin
425,142,outandin
425,176,outandin
425,204,outandin
425,240,outandin
425,298,outandin
425,414,outandin
425,459,outandin
425,493,outandin
425,636,outandin
522,42,outandin
522,102,outandin
522,145,outandin
522,267,outandin
522,272,outandin
522,304,outandin
522,349,outgoing
522,401,outandin
522,450,outandin
522,574,outandin
522,584,outandin
588,229,outandin
588,235,outgoing
588,397,outandin
588,528,outandin
588,583,outandin
588,599,outandin
588,602,incoming
588,629,outandin
631,8,outandin
631,166,outandin
631,229,outandin
631,247,outandin
631,447,outandin
631,467,outandin
631,520,outandin
631,543,outandin
631,581,outandin
631,590,outandin
631,613,outandin
631,622,outandin
1,80,outandin
1,128,outandin
1,145,outandin
1,159,outandin
1,413,outandin
1,422,outandin
1,487,outandin
1,495,outandin
1,540,outgoing
1,557,outandin
1,565,outandin
1,616,outandin
1,624,outandin
1,640,outandin
