source,target,type
0,48,outandin
0,63,outandin
0,81,outandin
0,172,outandin
0,225,outandin
0,273,outandin
0,389,outandin
0,430,outandin
0,501,outandin
0,559,outandin
0,596,outandin
0,600,outandin
0,723,outandin
48,16,outandin
48,114,outandin
48,258,outandin
48,337,outandin
48,388,outandin
48,430,outandin
48,475,outandin
48,501,outgoing
48,724,outandin
48,763,outandin
48,766,outandin
63,16,outandin
63,116,outgoing
63,123,outandin
63,257,outandin
63,269,outandin
63,457,outandin
63,595,outandin
63,596,outandin
81,7,outandin
81,97,outandin
81,172,outandin
81,193,outandin
81,225,outandin
81,367,outandin
81,393,outandin
81,450,outandin
81,464,outandin
81,555,outandin
81,564,outandin
81,723,outandin
172,45,outgoing
172,87,outandin
172,185,outandin
172,215,outgoing
172,243,outandin
172,293,outandin
172,339,outandin
172,474,outgoing
172,724,outgoing
172,744,outandin
225,7,outandin
225,132,outandin
225,171,outandin
225,217,outandin
225,367,outandin
225,505,outandin
225,622,outandin
225,724,outandin
273,60,outandin
273,61,outandin
273,135,outandin
273,148,outandin
273,352,outandin
273,391,outandin
273,462,outandin
273,534,outandin
273,649,outandin
273,673,outandin
273,703,outandin
273,724,outandin
389,60,outandin
389,112,outandin
389,222,outandin
389,386,outgoing
389,451,outgoing
389,502,outandin
389,527,outandin
389,663,outandin
389,745,outandin
430,89,outandin
430,134,outandin
430,293,outandin
430,336,outandin
430,337,outandin
430,388,outandin
430,412,outandin
430,528,outandin
430,545,outandin
501,93,outandin
501,97,outandin
501,116,outandin
501,123,outandin
501,176,outandin
501,223,outandin
501,293,outandin
501,450,outandin
501,637,outandin
559,21,outandin
559,93,outgoing
559,97,outandin
559,260,outgoing
559,388,outandin
559,423,outandin
559,428,outandin
559,564,outgoing
559,611,outandin
596,10,outandin
596,45,outandin
596,132,outandin
596,185,outandin
596,381,outandin
596,388,outgoing
596,564,outandin
596,595,outgoing
596,717,outgoing
596,724,outandin
596,744,outandin
600,45,outandin
600,93,outandin
600,99,outandin
600,221,outandin
600,257,outandin
600,269,outandin
600,367,outandin
600,388,outandin
600,595,outandin
723,16,outandin
723,221,outandin
723,450,outgoing
723,544,outandin
723,555,outandin
723,715,outandin
723,717,outandin
3,142,outandin
3,226,outandin
3,386,outgoing
3,439,outgoing
3,508,outandin
3,566,outandin
3,568,outandin
3,738,outandin
142,108,outandin
142,328,outandin
142,363,outandin
142,421,outandin
142,508,outandin
142,639,outandin
226,31,outandin
226,43,outgoing
226,60,outandin
