source,target,type
0,18,incoming
0,63,outandin
0,140,outandin
0,217,outandin
0,362,outandin
0,397,outandin
0,398,incoming
0,424,outandin
0,501,outandin
0,532,outandin
0,551,outandin
0,584,outandin
18,9,outandin
18,26,outgoing
18,105,outandin
18,244,outandin
18,270,incoming
18,501,incoming
18,520,outandin
18,621,incoming
18,674,outandin
18,680,outandin
18,702,incoming
63,50,outandin
63,149,outandin
63,286,outandin
63,372,outandin
63,405,outandin
63,479,outandin
63,563,outandin
63,659,outandin
63,693,outandin
140,13,outandin
140,70,outandin
140,423,outgoing
140,460,outandin
140,561,outandin
140,598,outandin
140,600,outandin
140,621,incoming
140,683,outandin
217,52,outandin
217,111,outandin
217,128,outandin
217,144,outandin
217,163,outandin
217,210,outandin
217,279,outandin
217,313,outandin
217,394,outandin
217,561,outandin
217,703,outandin
362,5,outandin
362,13,outandin
362,79,outandin
362,124,outgoing
362,128,outandin
362,163,outandin
362,285,outandin
362,304,incoming
362,335,outandin
362,355,outandin
362,423,outandin
362,481,outandin
362,682,outandin
362,704,outandin
397,6,outandin
397,52,stable
397,98,outandin
397,163,outandin
397,224,outgoing
397,285,outgoing
397,306,outandin
397,386,outandin
397,424,outandin
397,618,outandin
397,621,outgoing
397,661,outandin
398,33,outandin
398,105,outandin
398,298,outgoing
398,444,outandin
398,520,incoming
398,533,outandin
398,555,outandin
398,706,incoming
424,13,outandin
424,98,outandin
424,434,outandin
424,470,outandin
424,489,outandin
424,498,incoming
424,533,outgoing
424,682,incoming
501,6,incoming
501,13,outgoing
501,51,outandin
501,98,incoming
501,128,outgoing
501,279,outandin
501,520,outandin
501,555,outandin
501,621,outandin
501,704,outandin
532,128,outandin
532,306,outandin
532,317,outandin
532,335,outandin
532,379,outandin
532,404,outandin
532,515,outgoing
532,551,outgoing
532,561,outandin
532,618,outgoing
551,64,outandin
551,105,outandin
551,174,outandin
551,175,outandin
551,304,outandin
551,515,outgoing
551,600,outandin
551,618,outandin
551,621,outandin
551,704,outandin
551,706,outandin
584,88,stable
584,98,outgoing
584,276,outandin
584,291,outandin
584,306,outandin
584,423,outandin
584,479,outandin
584,555,outandin
584,669,outandin
584,682,outandin
584,702,incoming
584,706,outandin
2,78,outandin
2,233,outandin
2,239,outandin
2,241,outandin
2,314,outandin
2,332,outandin
2,367,outandin
2,396,outandin
2,444,outandin
2,704,outandin
78,115,outandin
78,153,outandin
78,165,outandin
78,168,outandin
78,179,outandin
78,200,outandin
78,203,outandin
78,233,outandin
78,256,outandin
78,314,outandin
78,389,outandin
78,580,outandin
233,103,outandin
233,155,outandin
233,220,outandin
233,239,incoming
233,287,outandin
239,168,incoming
239,179,outandin
239,203,stable
239,241,outandin
239,287,outandin
239,396,outandin
239,686,outandin
241,89,outandin
241,153,outandin
241,175,outandin
241,179,incoming
241,203,incoming
241,256,incoming
241,287,incoming
241,462,outandin
241,686,incoming
314,103,outgoing
314,136,outandin
314,168,outandin
314,203,outandin
314,268,outgoing
314,287,outandin
314,409,outandin
314,444,outandin
314,686,outandin
332,137,outandin
332,153,outgoing
332,168,outandin
332,179,incoming
332,256,incoming
332,283,outandin
332,388,outandin
332,396,incoming
332,686,outandin
367,52,outandin
367,70,incoming
367,125,outandin
367,161,incoming
367,385,outandin
367,411,incoming
367,415,outandin
367,420,outandin
367,536,outandin
367,544,outandin
367,624,outandin
396,103,outandin
396,168,outandin
396,179,outandin
396,256,incoming
396,389,incoming
396,444,outandin
396,626,outandin
444,8,outandin
444,69,outandin
444,102,outandin
444,112,outandin
444,114,outandin
444,203,outandin
444,268,outandin
444,389,incoming
444,443,outandin
444,472,outandin
444,632,outandin
444,664,outandin
704,46,outandin
704,52,outandin
704,115,outandin
704,151,outandin
704,317,outandin
704,680,incoming
3,38,outandin
3,86,outandin
3,106,outandin
3,110,outandin
3,148,outandin
3,167,incoming
3,206,outandin
3,455,outandin
3,683,outandin
38,41,outgoing
38,86,outandin
38,127,outgoing
38,322,outandin
38,560,outandin
38,594,outandin
38,649,outandin
38,683,incoming
86,175,outandin
86,187,outgoing
86,322,outandin
86,328,outandin
86,420,outandin
86,455,incoming
86,703,outandin
106,76,outandin
106,82,outandin
106,351,outandin
106,480,outandin
106,595,outandin
106,688,outandin
106,696,outandin
110,178,outandin
110,187,outandin
110,520,outandin
110,526,outandin
110,528,outandin
110,556,incoming
110,588,outandin
148,90,incoming
148,249,outandin
148,350,outandin
148,366,outandin
148,374,outandin
148,438,outgoing
148,565,outgoing
148,620,outandin
167,72,outandin
167,206,outgoing
167,214,outandin
167,234,incoming
167,329,outandin
167,392,outandin
167,473,outandin
167,484,outandin
167,505,outandin
167,694,outandin
206,10,outandin
206,19,outandin
206,268,outandin
206,329,outandin
206,348,outgoing
206,359,outandin
206,380,outandin
206,392,outandin
206,420,outgoing
206,456,incoming
206,588,outgoing
206,683,incoming
455,7,outandin
455,214,outandin
455,224,outandin
455,234,outandin
455,255,incoming
455,556,incoming
455,558,outandin
455,671,outandin
455,701,outandin
683,45,outandin
683,127,incoming
683,235,outandin
683,243,incoming
683,301,outandin
683,420,outandin
683,456,outandin
4,23,outandin
4,29,outandin
4,58,outandin
4,101,outandin
