node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
416,6,0,0.1475409836065573,0.0271389636705437,0.0011045520671327,0.298989898989899,0.0,User_416,stable,
447,6,0,0.1475409836065573,0.0221763487311562,0.0001768966064093,0.2812351543942993,0.0,User_447,stable,
161,7,0,0.1475409836065573,0.0287726302669115,0.0005667248509121,0.2880778588807786,0.0,User_161,stable,
331,7,0,0.1475409836065573,0.0257541981902392,0.0014365562481795,0.2968906720160481,0.0,User_331,stable,
496,7,0,0.1475409836065573,0.0273100956838779,0.0018966356768553,0.3023493360572012,0.0,User_496,stable,
9,8,0,0.1475409836065573,0.0242615434116628,0.0007291859960347,0.2889214250854075,0.0,User_9,stable,
71,8,0,0.1475409836065573,0.0304888613801037,0.0012657852535209,0.2965931863727455,0.0,User_71,stable,
340,8,0,0.1475409836065573,0.0306439915834579,0.0020190100480777,0.3091383812010443,0.0,User_340,stable,
149,9,0,0.1475409836065573,0.0281458512193604,0.0006384243151965,0.2842054728756601,0.0,User_149,stable,
152,9,0,0.1475409836065573,0.0318321837829568,0.0006740237269526,0.2951146560319043,0.0,User_152,stable,
383,9,0,0.1475409836065573,0.0323604111974809,0.0010655817372926,0.2952618453865336,0.0,User_383,stable,
132,10,0,0.1475409836065573,0.0339953308283444,0.0013887413648533,0.3014256619144603,0.0,User_132,stable,
198,10,0,0.1475409836065573,0.0312992604194627,0.0016766086167796,0.3021949974476773,0.0,User_198,stable,
304,10,0,0.1475409836065573,0.0361913435438523,0.0055338047493576,0.3191374663072776,0.6666666666666666,User_304,outgoing,
335,10,0,0.1475409836065573,0.032457067997366,0.0049126400905772,0.3205197617758527,0.0,User_335,stable,
393,10,0,0.1475409836065573,0.0355771171039674,0.0033935290956256,0.3145589798087141,0.0,User_393,stable,
397,10,0,0.1475409836065573,0.0334351376458135,0.0027680065207607,0.3143919277748274,0.0,User_397,stable,
410,10,0,0.1475409836065573,0.0374314875225105,0.0027084780675954,0.3070539419087137,0.0,User_410,stable,
443,10,0,0.1475409836065573,0.0310788869346146,0.0025154555192173,0.2982367758186398,0.0,User_443,stable,
186,11,0,0.1475409836065573,0.0461432860766857,0.0015236603806634,0.3127311146328579,0.3333333333333333,User_186,outgoing,
205,11,0,0.1475409836065573,0.0315571956793547,0.0024208541782053,0.30546955624355,0.0,User_205,stable,
217,11,0,0.1475409836065573,0.0330022952564919,0.0017021053083507,0.298989898989899,0.0,User_217,stable,
226,11,0,0.1475409836065573,0.0381319026536141,0.0023175146907173,0.3084940072954664,0.0,User_226,stable,
271,11,0,0.1475409836065573,0.0427693126470855,0.0045383999138199,0.3186221743810549,0.3333333333333333,User_271,stable,
278,11,0,0.1475409836065573,0.0433559688019981,0.0042770620533432,0.3220892274211099,1.0,User_278,incoming,
295,11,0,0.1475409836065573,0.0386564086531835,0.0028752140776008,0.3112513144058885,0.0,User_295,stable,
324,11,0,0.1475409836065573,0.0354988739259742,0.0038364824433122,0.3137254901960784,0.0,User_324,stable,
348,11,0,0.1475409836065573,0.0372220358201341,0.0034003602936447,0.3143919277748274,0.0,User_348,stable,
368,11,0,0.1475409836065573,0.0414666577988627,0.0055310639628498,0.3296213808463251,0.3333333333333333,User_368,stable,
527,11,0,0.1475409836065573,0.0433861452889837,0.0029113223829918,0.3125659978880676,0.0,User_527,stable,
549,11,0,0.1475409836065573,0.0449681012034108,0.004871770076778,0.3231441048034934,0.0,User_549,stable,
565,11,0,0.1475409836065573,0.0503064080653842,0.0028504564659711,0.3177670424047236,0.0,User_565,stable,
645,11,0,0.1475409836065573,0.0320868522501115,0.0018751839221764,0.3031233998975934,0.3333333333333333,User_645,incoming,
