source,target,type
0,132,incoming
0,261,incoming
0,262,outandin
0,308,outandin
0,313,outandin
0,340,outandin
0,393,outandin
0,406,outgoing
0,512,outandin
0,549,outandin
0,662,outandin
0,674,incoming
132,71,outandin
132,152,outandin
132,198,outandin
132,261,outandin
132,337,outandin
132,497,outandin
132,512,outgoing
132,549,outandin
132,601,outandin
261,7,incoming
261,143,outandin
261,278,outgoing
261,288,incoming
261,295,outgoing
261,317,outandin
261,368,outandin
261,671,outandin
262,105,outandin
262,198,outgoing
262,226,outandin
262,271,outgoing
262,352,outandin
262,368,outgoing
262,383,outandin
262,416,outandin
262,437,outandin
262,443,outandin
262,560,outandin
262,639,outandin
262,645,outandin
262,671,outandin
308,44,outgoing
308,86,outandin
308,173,outandin
308,258,outgoing
308,326,incoming
308,357,outandin
308,360,outandin
308,376,incoming
308,389,outandin
308,504,outandin
308,515,outandin
313,118,outandin
313,143,outandin
313,152,outandin
313,161,outandin
313,331,outandin
313,393,outandin
313,496,outandin
313,560,outandin
340,71,outandin
340,143,outgoing
340,149,outandin
340,218,outandin
340,265,outandin
340,288,outandin
340,352,outandin
340,416,outandin
340,447,outgoing
340,496,outandin
340,552,outandin
340,565,incoming
340,574,outandin
393,246,outandin
393,251,outandin
393,265,outandin
393,278,outandin
393,352,outandin
393,447,outgoing
393,512,outgoing
406,7,outandin
406,205,outgoing
406,237,outandin
406,348,incoming
406,355,outandin
406,504,outandin
406,662,outandin
512,58,outandin
512,335,incoming
512,359,outandin
512,416,outandin
512,438,outandin
512,560,outandin
549,87,outandin
549,226,outandin
549,256,outandin
549,267,outandin
549,410,outandin
549,443,outandin
549,525,outandin
549,596,outandin
549,660,outandin
549,662,outandin
662,3,outandin
662,9,incoming
662,152,outandin
662,226,outgoing
662,271,outandin
662,288,outgoing
662,295,outgoing
662,384,outandin
662,410,incoming
662,416,outandin
662,596,outgoing
662,622,outandin
674,7,incoming
674,105,outandin
674,185,outandin
674,265,outandin
674,271,outandin
674,278,outandin
674,305,outandin
674,348,outandin
674,380,outandin
674,400,outandin
674,410,outandin
674,443,outandin
674,456,outandin
674,645,incoming
674,671,outandin
1,39,outandin
1,225,outandin
1,245,outandin
1,264,outandin
1,272,outgoing
1,314,outgoing
1,517,outandin
1,576,outandin
1,607,outgoing
1,649,outandin
39,61,outandin
39,178,outandin
39,272,outandin
39,407,outandin
39,487,outandin
39,517,outandin
39,555,outgoing
39,577,outandin
39,635,outandin
39,661,outandin
225,16,outgoing
225,88,outandin
225,102,incoming
225,111,outandin
225,147,stable
225,226,outandin
225,244,outandin
225,272,incoming
225,471,outandin
225,475,outandin
225,493,outandin
225,580,outandin
225,616,outandin
225,635,outandin
225,649,outandin
245,81,outandin
245,204,outgoing
245,277,incoming
245,284,outandin
245,320,outandin
245,488,outandin
245,514,outgoing
245,571,outandin
245,600,outandin
245,631,incoming
264,16,outgoing
264,211,outandin
264,272,outgoing
264,307,outandin
264,314,stable
264,367,outandin
264,559,outandin
264,570,outandin
264,649,outandin
264,661,outandin
264,669,outandin
272,75,outandin
272,80,outandin
272,111,outandin
272,442,outandin
272,487,stable
272,520,outandin
272,661,outandin
272,670,outandin
314,63,outandin
314,75,outandin
314,117,outandin
314,121,outandin
314,165,outandin
314,232,outandin
314,244,outandin
314,346,outandin
314,424,outandin
314,431,outandin
314,556,outandin
314,610,outandin
314,661,outandin
517,75,outandin
517,95,outandin
517,397,outandin
517,426,outandin
517,431,incoming
517,436,outandin
517,649,outandin
576,77,outandin
576,330,outgoing
576,394,outandin
576,502,outandin
576,513,incoming
576,582,outandin
576,594,outandin
576,642,outgoing
576,655,outandin
607,16,outandin
607,102,incoming
607,160,outandin
607,171,outandin
607,293,outandin
607,329,incoming
607,367,outgoing
607,400,outandin
607,436,stable
607,442,outgoing
607,504,outandin
607,533,outandin
607,592,outandin
607,610,outandin
649,16,incoming
649,75,outgoing
649,121,outandin
649,190,outandin
649,436,outandin
649,569,outandin
649,616,outandin
2,106,outandin
2,136,outgoing
2,207,outandin
2,234,outgoing
2,241,outandin
2,254,outandin
2,282,outandin
2,493,outandin
2,658,outandin
106,53,outandin
106,92,outandin
106,114,outandin
106,188,outandin
106,273,outandin
106,276,outandin
106,362,outgoing
106,385,outandin
106,524,outandin
106,597,outandin
136,32,outandin
136,70,outandin
136,74,outandin
136,99,outandin
136,120,outandin
136,162,outandin
136,305,outandin
136,407,outandin
136,532,incoming
136,591,incoming
136,637,outandin
207,8,outandin
207,15,outandin
207,70,outandin
207,99,outandin
207,339,outgoing
207,350,incoming
207,359,outandin
207,470,outandin
207,552,outandin
207,618,outandin
207,648,outandin
207,652,outandin
207,678,outandin
207,679,outandin
234,99,outandin
234,100,outandin
234,223,outandin
234,266,outandin
234,319,outandin
234,333,outandin
234,519,outandin
234,613,outandin
234,652,incoming
234,658,outandin
241,4,outandin
241,142,outandin
241,170,outandin
241,184,outandin
241,322,outandin
241,461,outandin
241,462,outandin
241,465,outandin
241,483,outandin
241,486,outandin
241,500,outandin
241,634,outandin
241,664,outandin
254,170,outandin
254,184,outandin
254,204,outandin
254,306,outandin
254,386,outandin
254,394,outandin
254,533,outandin
254,618,outandin
254,638,outandin
254,678,outandin
282,30,outandin
282,32,outandin
282,93,outandin
282,120,incoming
282,216,incoming
282,306,outandin
282,333,outandin
282,350,incoming
282,357,outandin
282,428,outandin
282,430,outandin
282,673,outandin
493,5,outandin
493,18,outandin
493,64,outandin
493,171,outandin
493,178,outandin
493,424,outgoing
493,459,outandin
493,487,outandin
658,100,outandin
658,154,outandin
658,216,outgoing
658,243,outandin
658,274,outandin
