source,target,type
0,21,outandin
0,56,incoming
0,121,outandin
0,224,outandin
0,233,outandin
0,303,outandin
0,489,outandin
0,540,outgoing
0,558,outandin
0,721,outandin
0,733,outandin
21,56,outandin
21,216,outandin
21,357,outandin
21,450,outandin
21,538,stable
21,540,incoming
21,544,outandin
21,733,outandin
21,741,outandin
56,82,outandin
56,118,outandin
56,181,outandin
56,203,outandin
56,261,outandin
56,317,outandin
56,428,outandin
56,450,outandin
56,483,outandin
56,538,outandin
56,638,outandin
56,714,outandin
56,725,outandin
56,733,outandin
121,14,outandin
121,55,outandin
121,130,outandin
121,210,outandin
121,219,outandin
121,251,outandin
121,318,outandin
121,376,outandin
121,443,outandin
121,444,outandin
121,479,outandin
121,555,outandin
224,11,outgoing
224,184,outandin
224,245,incoming
224,280,outandin
224,357,outandin
224,432,outgoing
224,450,outandin
224,540,outgoing
224,545,outandin
224,608,outandin
233,184,outandin
233,238,outandin
233,275,outandin
233,278,outandin
233,366,outandin
233,432,outandin
233,449,incoming
233,499,stable
233,721,outandin
233,725,outandin
233,741,outandin
303,18,outandin
303,42,outandin
303,81,outandin
303,92,outandin
303,197,outgoing
303,247,outgoing
303,358,outandin
303,521,outandin
303,636,outandin
303,735,outandin
489,7,outandin
489,15,outandin
489,89,outandin
489,151,outandin
489,179,outgoing
489,213,outandin
489,334,outandin
489,439,outandin
489,571,outandin
489,581,outandin
489,590,outandin
489,676,outandin
489,744,outandin
540,11,stable
540,20,outandin
540,48,outgoing
540,108,outandin
540,203,outandin
540,355,outandin
540,428,incoming
540,450,outandin
540,523,outandin
540,741,outandin
558,16,outandin
558,31,outandin
558,127,outandin
558,179,outandin
558,269,incoming
558,313,outandin
558,476,outandin
558,480,outandin
558,482,outandin
558,484,outandin
558,592,outandin
721,322,outandin
721,341,outandin
721,432,outandin
721,433,outandin
721,538,incoming
721,544,outgoing
721,608,outandin
721,733,outandin
733,366,incoming
733,449,outandin
733,458,outandin
733,523,outandin
733,538,incoming
733,544,outandin
2,43,outandin
2,99,outandin
2,197,outandin
2,281,outgoing
2,296,outgoing
2,437,outandin
2,482,outgoing
2,484,outgoing
2,495,outandin
2,548,outgoing
2,742,outandin
43,103,outandin
43,298,outandin
43,321,outandin
43,403,outandin
43,433,outandin
43,484,outandin
43,600,outandin
43,613,outandin
43,742,outandin
99,174,outandin
99,182,outgoing
99,269,incoming
99,418,outandin
99,545,outandin
99,583,outandin
99,613,incoming
197,84,outandin
197,92,outandin
197,107,outandin
197,229,outandin
197,258,outandin
197,278,outgoing
197,448,outgoing
197,636,incoming
197,735,outandin
281,20,incoming
281,33,outandin
281,191,outandin
281,289,outandin
281,298,outandin
281,313,outgoing
281,437,outandin
281,493,outandin
281,565,outandin
296,127,outandin
296,182,outandin
296,191,outgoing
296,313,outgoing
296,343,outandin
296,484,outandin
296,486,outandin
296,565,outandin
296,619,outandin
296,698,outgoing
437,31,outandin
437,73,outandin
437,140,outandin
437,333,outandin
437,367,outandin
437,401,incoming
437,418,incoming
437,600,outgoing
437,632,outandin
437,710,outandin
437,740,outandin
437,748,outandin
482,127,outandin
482,182,outandin
482,313,outandin
482,506,outandin
482,548,outandin
482,565,incoming
482,600,outandin
482,702,outandin
482,724,outandin
484,20,outandin
484,103,outandin
484,146,outandin
484,150,outgoing
484,186,outandin
484,372,outandin
484,420,outandin
484,506,outandin
484,698,outandin
484,719,incoming
484,720,outandin
484,748,outandin
495,4,outandin
495,20,stable
495,313,outandin
495,418,outandin
495,433,outandin
495,449,outandin
495,480,incoming
495,667,outandin
548,12,outandin
548,146,outandin
548,174,outandin
548,329,outandin
548,409,outandin
548,418,outandin
548,471,outandin
548,600,outandin
548,710,outandin
548,748,incoming
742,10,outandin
742,58,outandin
742,174,outandin
742,191,outandin
742,433,outandin
742,588,outandin
742,600,outandin
742,643,outandin
742,749,outandin
3,12,outandin
3,133,outandin
3,186,outandin
3,272,outandin
3,292,outandin
3,418,outandin
3,460,outandin
3,516,outandin
