source,target,type
0,37,outandin
0,111,outandin
0,232,outgoing
0,281,outandin
0,310,outandin
0,349,outandin
0,543,outandin
0,553,outandin
0,572,outandin
0,648,outandin
0,658,outandin
37,64,outgoing
37,204,outandin
37,214,outandin
37,220,outgoing
37,232,outandin
37,357,outandin
37,359,outandin
37,468,outandin
37,656,incoming
111,100,outandin
111,225,outandin
111,232,outandin
111,240,outandin
111,287,outandin
111,293,outgoing
111,370,outandin
111,414,incoming
111,423,outandin
111,468,outandin
232,61,outandin
232,100,stable
232,212,outandin
232,368,outandin
232,387,outandin
232,464,outandin
232,572,outandin
232,609,outandin
232,631,outgoing
232,656,outandin
281,10,outandin
281,92,outandin
281,122,outandin
281,204,outandin
281,214,incoming
281,346,outgoing
281,534,outgoing
281,658,outandin
310,166,outgoing
310,214,outandin
310,346,outandin
310,464,outandin
310,545,outandin
310,577,incoming
310,588,outandin
310,631,outandin
310,656,outandin
349,9,outgoing
349,172,outandin
349,319,outandin
349,368,outandin
349,372,outandin
349,387,outandin
349,472,incoming
349,572,outandin
349,658,outandin
349,659,outandin
543,9,incoming
543,29,outandin
543,64,outandin
543,95,outandin
543,172,outandin
543,204,outandin
543,225,outgoing
543,319,incoming
543,357,outandin
543,359,outgoing
543,380,outandin
543,464,incoming
543,468,outandin
543,648,outandin
543,652,outandin
553,109,outandin
553,175,incoming
553,275,outandin
553,354,outgoing
553,461,outandin
553,532,outandin
553,601,outgoing
553,648,outandin
572,64,outandin
572,346,outgoing
572,629,outandin
572,648,incoming
648,21,outandin
648,100,outandin
648,220,outandin
648,287,outandin
648,333,outandin
648,534,outandin
648,657,outandin
658,100,outandin
658,122,outandin
658,162,outandin
658,225,outandin
658,229,outandin
658,298,outandin
658,357,outandin
658,414,outandin
658,464,outandin
658,468,incoming
658,650,outandin
1,35,outandin
1,124,outandin
1,145,outandin
1,208,incoming
1,239,outandin
1,484,outandin
1,495,outandin
1,504,outandin
1,547,outandin
1,619,stable
35,23,outandin
35,158,outandin
35,240,outandin
35,257,outandin
35,400,outandin
35,503,outandin
35,584,outandin
35,640,outandin
35,649,outandin
124,50,outandin
124,61,outandin
124,108,outandin
124,197,outandin
124,322,outandin
124,489,incoming
124,521,outandin
124,592,stable
124,613,outandin
145,65,outandin
145,143,outandin
145,163,outandin
145,197,outandin
145,234,outandin
145,235,outandin
145,278,outandin
145,297,outandin
145,353,outandin
145,396,outandin
208,28,outandin
208,129,outandin
208,244,outandin
208,276,outandin
208,521,outandin
208,563,outandin
208,605,outandin
208,615,outandin
208,633,outgoing
239,141,outandin
239,182,outandin
239,185,outandin
239,268,outandin
239,352,outgoing
239,378,outandin
239,562,stable
239,629,outandin
239,663,outandin
484,27,outgoing
484,108,outandin
484,130,outandin
484,197,outandin
484,244,outandin
484,253,outandin
484,334,incoming
484,409,outandin
495,57,outandin
495,61,outandin
495,109,outandin
495,130,outandin
495,156,outandin
495,319,outandin
495,396,outgoing
495,503,outandin
495,504,outandin
495,579,outandin
495,619,outandin
504,106,outandin
504,164,outandin
504,186,outandin
504,227,outandin
504,282,outandin
504,314,outandin
504,340,outandin
504,420,outandin
504,456,outandin
504,513,outandin
504,598,outandin
504,655,outandin
547,65,incoming
547,144,outandin
547,198,outandin
547,262,outandin
547,413,outandin
547,605,outgoing
547,619,outandin
547,635,outandin
619,14,outandin
619,27,outandin
619,44,outandin
619,58,outandin
619,79,outandin
619,107,outandin
619,276,outgoing
619,278,outandin
619,409,stable
619,510,outandin
619,555,outandin
619,579,incoming
619,592,outandin
619,615,outandin
4,22,outandin
4,31,outandin
4,33,outandin
4,66,outandin
4,205,outandin
4,238,outandin
4,529,outandin
4,617,outandin
22,33,outgoing
22,66,incoming
22,76,outandin
22,89,outgoing
22,107,outandin
22,159,outandin
22,446,outandin
22,462,outandin
22,555,outandin
22,556,outandin
31,30,outandin
31,216,stable
31,222,outgoing
31,274,outandin
31,307,outandin
31,311,outandin
31,344,outandin
31,410,outandin
31,516,outandin
33,17,outandin
33,74,outandin
33,131,outandin
33,427,outandin
33,539,outandin
33,564,outandin
33,630,outandin
33,642,outandin
66,56,outandin
66,106,outandin
66,139,outandin
66,143,outgoing
66,149,outandin
66,238,outgoing
66,339,outandin
66,370,outandin
66,453,stable
66,481,outandin
66,636,outandin
205,54,outandin
205,56,outandin
205,96,outandin
205,143,outandin
205,407,outandin
205,415,outandin
205,446,outgoing
205,453,outandin
205,462,outandin
205,485,incoming
205,501,outandin
205,564,outandin
205,611,outandin
205,638,outandin
205,643,outandin
238,20,outandin
238,45,outandin
238,76,outgoing
238,159,outandin
238,189,incoming
238,193,outandin
238,407,outandin
238,440,outandin
238,462,outandin
238,485,outandin
529,72,outandin
529,139,outandin
529,189,outgoing
529,206,outandin
529,217,outandin
529,233,outandin
529,245,outgoing
529,372,outandin
529,427,outandin
529,466,outandin
529,485,outandin
529,514,outandin
529,555,outandin
529,588,outandin
529,611,outandin
529,632,outandin
529,660,outandin
617,30,incoming
617,149,outandin
617,165,outandin
617,172,outandin
617,216,outandin
617,263,outandin
617,264,outandin
617,510,outandin
617,538,outandin
617,567,outgoing
617,651,outandin
5,30,outandin
5,181,outandin
5,216,outandin
5,222,outandin
5,230,outandin
5,638,outgoing
5,651,outandin
5,664,outandin
30,98,outandin
30,149,outandin
30,165,outandin
30,181,incoming
30,182,outandin
30,216,outandin
30,222,outandin
30,339,outandin
30,364,outandin
30,430,incoming
181,38,outandin
181,94,outandin
181,513,outandin
181,518,outandin
181,638,outandin
216,12,outandin
216,230,outandin
216,289,outandin
216,307,outandin
216,311,incoming
216,373,outandin
216,538,outgoing
216,589,outandin
222,53,outandin
222,119,outandin
222,230,outgoing
222,264,outandin
222,383,outandin
222,524,outandin
222,556,outandin
222,589,stable
222,627,outandin
230,52,outandin
230,53,outandin
230,84,outandin
230,119,outgoing
230,165,outandin
230,263,outandin
230,307,outandin
230,329,outandin
230,383,outandin
230,626,outandin
638,307,outandin
638,406,outandin
638,503,outandin
638,533,outandin
638,538,outandin
638,567,outgoing
638,664,outandin
651,274,outandin
651,311,outandin
651,341,outandin
651,370,outandin
651,390,outandin
651,404,outandin
651,430,outandin
651,448,outandin
651,510,outandin
651,526,outandin
664,53,outandin
664,94,outandin
664,101,outandin
664,336,outandin
664,406,outandin
664,508,outandin
664,586,outandin
664,589,incoming
664,595,outandin
664,627,outandin
6,43,outandin
6,50,outandin
6,102,incoming
6,200,outandin
6,314,outandin
6,415,incoming
6,420,outandin
6,429,outandin
6,666,incoming
43,63,outandin
43,140,outandin
43,150,incoming
43,300,outandin
43,305,outandin
43,367,outandin
43,456,incoming
43,463,outandin
50,198,outandin
50,199,outandin
50,215,outandin
50,221,outandin
50,314,outandin
50,373,outandin
50,405,outandin
50,423,outandin
50,491,outandin
