node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
534,7,0,0.1402080506558118,0.0220648566379167,0.0008679126375312,0.2922013820335636,0.0,Team_00#534,stable,Team_00
577,7,0,0.1402080506558118,0.0194294841089606,0.0006413996401992,0.2797731568998109,0.0,Team_00#577,stable,Team_00
287,8,0,0.1402080506558118,0.0354484874195117,0.0011104415053009,0.3086548488008342,0.0,Team_00#287,stable,Team_00
293,8,0,0.1402080506558118,0.0275195494929135,0.0007460770154792,0.2864054184808902,0.0,Team_00#293,stable,Team_00
349,8,0,0.1402080506558118,0.0257580592675046,0.0036938007440529,0.3137254901960784,0.0,Team_00#349,stable,Team_00
464,8,0,0.1402080506558118,0.0280630285671175,0.0017429304478962,0.3023493360572012,0.0,Team_00#464,stable,Team_00
578,8,0,0.1402080506558118,0.0225362704935833,0.001336111801603,0.2864054184808902,0.0,Team_00#578,stable,Team_00
0,9,0,0.1402080506558118,0.0337606469267839,0.0049833310347188,0.32,0.0,Team_00#0,stable,Team_00
111,9,0,0.1402080506558118,0.0348721651211166,0.0011905636771407,0.2994436014162873,0.0,Team_00#111,stable,Team_00
340,9,0,0.1402080506558118,0.028808866905538,0.001379281314265,0.2952618453865336,0.0,Team_00#340,stable,Team_00
346,9,0,0.1402080506558118,0.0281144162620405,0.0019967598212459,0.3043701799485861,0.0,Team_00#346,stable,Team_00
372,9,0,0.1402080506558118,0.0306364442362459,0.0026337273739249,0.3083333333333333,0.0,Team_00#372,stable,Team_00
380,9,0,0.1402080506558118,0.0282111132674916,0.0012265650537486,0.2976370035193564,0.0,Team_00#380,stable,Team_00
467,9,0,0.1402080506558118,0.025363819777914,0.0014132920766581,0.2889214250854075,0.0,Team_00#467,stable,Team_00
559,9,0,0.1402080506558118,0.0264210228871597,0.0048630494301359,0.309299895506792,0.6666666666666666,Team_00#559,incoming,Team_00
648,9,0,0.1402080506558118,0.028851706514619,0.0016026061137457,0.2906234658811978,0.3333333333333333,Team_00#648,stable,Team_00
9,10,0,0.1402080506558118,0.0314739170151182,0.0012797861891673,0.3003551496702181,0.0,Team_00#9,stable,Team_00
64,10,0,0.1402080506558118,0.0365158975743467,0.0006185123580834,0.2907662082514735,0.0,Team_00#64,stable,Team_00
204,10,0,0.1402080506558118,0.0363233222439524,0.0026531079716042,0.3124010554089709,0.0,Team_00#204,stable,Team_00
218,10,0,0.1402080506558118,0.0312053188056094,0.0037063172432971,0.3143919277748274,0.0,Team_00#218,stable,Team_00
232,10,0,0.1402080506558118,0.0328874809421549,0.0058018090884823,0.32,0.0,Team_00#232,stable,Team_00
269,10,0,0.1402080506558118,0.0367295355194728,0.0048003503825176,0.3170862346009641,0.0,Team_00#269,stable,Team_00
281,10,0,0.1402080506558118,0.0301851215528168,0.0011493272589276,0.2935052057511155,0.0,Team_00#281,stable,Team_00
304,10,0,0.1402080506558118,0.029438256622386,0.0022399113166743,0.3061013443640124,0.0,Team_00#304,stable,Team_00
414,10,0,0.1402080506558118,0.0401159934832982,0.003230693524807,0.3084940072954664,0.3333333333333333,Team_00#414,outgoing,Team_00
650,10,0,0.1402080506558118,0.0344496899699584,0.0038290863796327,0.3101100052383447,0.3333333333333333,Team_00#650,stable,Team_00
658,10,0,0.1402080506558118,0.0375648596922495,0.0033094426934129,0.3084940072954664,0.3333333333333333,Team_00#658,stable,Team_00
37,11,0,0.1402080506558118,0.0341090482937047,0.0042971183350524,0.3196544276457883,0.0,Team_00#37,stable,Team_00
122,11,0,0.1402080506558118,0.0448889368736365,0.0048392108280222,0.3267108167770419,0.0,Team_00#122,stable,Team_00
212,11,0,0.1402080506558118,0.0325821761964389,0.0045065822178587,0.3072132848988064,0.0,Team_00#212,stable,Team_00
225,11,0,0.1402080506558118,0.0410083337049242,0.0025118709717711,0.3031233998975934,0.0,Team_00#225,stable,Team_00
310,11,0,0.1402080506558118,0.031929306117795,0.0032000668531135,0.3057851239669421,0.0,Team_00#310,stable,Team_00
357,11,0,0.1402080506558118,0.0363667496229465,0.0041382974476537,0.317426273458445,0.0,Team_00#357,stable,Team_00
572,11,0,0.1402080506558118,0.036707431798793,0.0012968800856406,0.3026584867075664,0.0,Team_00#572,stable,Team_00
684,11,0,0.1402080506558118,0.0435450959641841,0.0038771842078099,0.3128964059196617,0.3333333333333333,Team_00#684,incoming,Team_00
29,12,0,0.1402080506558118,0.0370200332408124,0.0047851976371554,0.3261707988980716,0.0,Team_00#29,stable,Team_00
100,12,0,0.1402080506558118,0.044531014594166,0.0023406529213007,0.3067357512953368,0.0,Team_00#100,stable,Team_00
166,12,0,0.1402080506558118,0.0497723321792375,0.0038506105809378,0.3051546391752577,0.0,Team_00#166,stable,Team_00
174,12,0,0.1402080506558118,0.0439717043466686,0.0018494367810612,0.3028132992327366,0.6666666666666666,Team_00#174,incoming,Team_00
184,12,0,0.1402080506558118,0.0415411068947455,0.0023177747411528,0.3099476439790576,0.0,Team_00#184,stable,Team_00
298,12,0,0.1402080506558118,0.0370936914151821,0.0033329434261283,0.3165775401069519,0.0,Team_00#298,stable,Team_00
387,12,0,0.1402080506558118,0.0473874319581497,0.0061621477640606,0.3208672086720867,0.0,Team_00#387,stable,Team_00
468,12,0,0.1402080506558118,0.0384580829543168,0.0059706060728802,0.3137254901960784,0.0,Team_00#468,stable,Team_00
472,12,0,0.1402080506558118,0.0464773231445477,0.003767368398693,0.3215643671917436,0.0,Team_00#472,stable,Team_00
631,12,0,0.1402080506558118,0.0409281300218195,0.0030628800999931,0.3061013443640124,0.3333333333333333,Team_00#631,stable,Team_00
659,12,0,0.1402080506558118,0.0450282005130376,0.0016317525136007,0.309623430962343,0.3333333333333333,Team_00#659,stable,Team_00
10,13,0,0.1402080506558118,0.0454285557604507,0.0053140400260389,0.3240284619594964,0.0,Team_00#10,stable,Team_00
92,13,0,0.1402080506558118,0.0420363553996892,0.0061287516356771,0.3215643671917436,0.0,Team_00#92,stable,Team_00
172,13,0,0.1402080506558118,0.0449356721095152,0.0073917558233854,0.3247394404827208,0.0,Team_00#172,stable,Team_00
220,13,0,0.1402080506558118,0.0462503089642716,0.0084346663864067,0.3258117776554761,0.0,Team_00#220,stable,Team_00
277,13,0,0.1402080506558118,0.0422456270591325,0.0042217487150156,0.3109243697478991,0.0,Team_00#277,stable,Team_00
333,13,0,0.1402080506558118,0.0414596177653834,0.0033627451339727,0.3138918345705196,0.0,Team_00#333,stable,Team_00
359,13,0,0.1402080506558118,0.0466324712528935,0.0036244674368703,0.310761154855643,0.0,Team_00#359,stable,Team_00
545,13,0,0.1402080506558118,0.0465660725794759,0.0018065039945543,0.3122362869198312,0.0,Team_00#545,stable,Team_00
575,13,0,0.1402080506558118,0.0433202795601314,0.0050926560809291,0.3165775401069519,0.6666666666666666,Team_00#575,incoming,Team_00
652,13,0,0.1402080506558118,0.048265789445519,0.0052238498169467,0.3219140837411637,0.3333333333333333,Team_00#652,stable,Team_00
656,13,0,0.1402080506558118,0.0470503782253788,0.0032148075512141,0.3201730665224445,0.3333333333333333,Team_00#656,stable,Team_00
688,13,0,0.1402080506558118,0.0468527339260086,0.0052609835978749,0.3208672086720867,0.3333333333333333,Team_00#688,incoming,Team_00
26,14,0,0.1402080506558118,0.0458833789087393,0.0069675681146532,0.3215643671917436,0.0,Team_00#26,stable,Team_00
192,14,0,0.1402080506558118,0.0398559627122574,0.008806877553751,0.3177670424047236,0.0,Team_00#192,stable,Team_00
214,14,0,0.1402080506558118,0.0484980476545368,0.0091349191568494,0.334841628959276,0.0,Team_00#214,stable,Team_00
368,14,0,0.1402080506558118,0.0482424448096402,0.0097091384997835,0.3323975294778215,0.0,Team_00#368,stable,Team_00
370,14,0,0.1402080506558118,0.0509029076841072,0.0031142623682589,0.3128964059196617,0.0,Team_00#370,stable,Team_00
582,14,0,0.1402080506558118,0.0454597011721303,0.0032504861405432,0.3112513144058885,0.0,Team_00#582,stable,Team_00
602,15,0,0.1402080506558118,0.0511896172845997,0.0067498107210417,0.3217391304347826,1.0,Team_00#602,incoming,Team_00
319,16,0,0.1402080506558118,0.049846109565389,0.0063906890363413,0.3089770354906054,0.0,Team_00#319,stable,Team_00
543,16,0,0.1402080506558118,0.0542769869037549,0.0033214053344124,0.3132275132275132,0.0,Team_00#543,stable,Team_00
422,6,1,0.2081949058693245,0.0184357832720846,0.000589291883189,0.2791136256482791,0.6666666666666666,Team_01#422,stable,Team_01
195,8,1,0.2081949058693245,0.0248364089178444,0.0011959538936324,0.2980866062437059,0.0,Team_01#195,stable,Team_01
332,8,1,0.2081949058693245,0.0243169754518121,0.0026522185553134,0.299746835443038,0.0,Team_01#332,stable,Team_01
581,8,1,0.2081949058693245,0.0251048831863915,0.0032581387935737,0.3021949974476773,0.0,Team_01#581,stable,Team_01
24,9,1,0.2081949058693245,0.0286907431940222,0.0020321482270413,0.294234592445328,0.6666666666666666,Team_01#24,stable,Team_01
77,9,1,0.2081949058693245,0.0294027041182547,0.0014812301120483,0.3056272586473929,0.0,Team_01#77,stable,Team_01
134,9,1,0.2081949058693245,0.0251454043318547,0.0017923192265764,0.2954091816367265,0.0,Team_01#134,stable,Team_01
