node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
36,6,0,0.1662337662337662,0.0239390798325047,0.0004894645519643,0.2899322362052275,0.6666666666666666,Team_00#36,outandin,Team_00
244,7,0,0.1662337662337662,0.0284355024727302,0.0009918167928052,0.2986041874376869,0.0,Team_00#244,outgoing,Team_00
84,8,0,0.1662337662337662,0.0262644076072521,0.0011275074488047,0.2852380952380952,0.0,Team_00#84,outgoing,Team_00
89,8,0,0.1662337662337662,0.0271749117203232,0.0025746406439717,0.3087628865979381,0.0,Team_00#89,outgoing,Team_00
113,8,0,0.1662337662337662,0.0271023749519548,0.0004874510112232,0.2874280230326295,0.0,Team_00#113,outgoing,Team_00
289,8,0,0.1662337662337662,0.0220987012911134,0.00262301412126,0.3008538422903064,0.0,Team_00#289,outgoing,Team_00
395,8,0,0.1662337662337662,0.025268470861226,0.0024854173164914,0.296681525507677,0.0,Team_00#395,outgoing,Team_00
545,8,0,0.1662337662337662,0.0304698639672036,0.0007192777179536,0.2895118414693088,0.0,Team_00#545,outgoing,Team_00
27,9,0,0.1662337662337662,0.0423376298282269,0.0007905110079424,0.2920526572403705,0.0,Team_00#27,outgoing,Team_00
68,9,0,0.1662337662337662,0.0317531163957342,0.0034300818787545,0.297713717693837,0.0,Team_00#68,outgoing,Team_00
296,9,0,0.1662337662337662,0.0322975827612188,0.0018261464284623,0.3073370959466393,0.6666666666666666,Team_00#296,outgoing,Team_00
536,9,0,0.1662337662337662,0.0296314013945562,0.0021607340474882,0.3004012036108325,0.0,Team_00#536,outgoing,Team_00
83,10,0,0.1662337662337662,0.0311543836801054,0.0028289773328483,0.3016112789526687,0.0,Team_00#83,outgoing,Team_00
101,10,0,0.1662337662337662,0.0391483778152748,0.0024910408731174,0.3040609137055837,0.0,Team_00#101,outgoing,Team_00
115,10,0,0.1662337662337662,0.03571822591446,0.0048251751079419,0.3032911392405063,0.0,Team_00#115,outgoing,Team_00
500,10,0,0.1662337662337662,0.035894045702341,0.0011842582439899,0.2949286065977351,0.0,Team_00#500,outgoing,Team_00
514,10,0,0.1662337662337662,0.0480504014954302,0.0025708386377728,0.3098810139679255,0.0,Team_00#514,outgoing,Team_00
642,10,0,0.1662337662337662,0.04102226582948,0.0007649715350877,0.297713717693837,0.3333333333333333,Team_00#642,outgoing,Team_00
132,11,0,0.1662337662337662,0.0466923744621101,0.0023072318565771,0.3065506653019447,0.0,Team_00#132,outgoing,Team_00
134,11,0,0.1662337662337662,0.0353330667894395,0.0033196354947512,0.3192963752665245,0.0,Team_00#134,outgoing,Team_00
186,11,0,0.1662337662337662,0.0452303117537855,0.0020285666047938,0.3097207859358842,0.0,Team_00#186,outgoing,Team_00
248,11,0,0.1662337662337662,0.0377109065485734,0.003562815656341,0.3220430107526881,0.0,Team_00#248,outgoing,Team_00
266,11,0,0.1662337662337662,0.0359338110452294,0.0041020836659601,0.3137768465165008,0.0,Team_00#266,outgoing,Team_00
276,11,0,0.1662337662337662,0.0454462841206026,0.0021635387906899,0.3045246568378241,0.0,Team_00#276,outgoing,Team_00
284,11,0,0.1662337662337662,0.0318313719563192,0.0065210080919868,0.3076527991782229,0.0,Team_00#284,outgoing,Team_00
337,11,0,0.1662337662337662,0.044730184287155,0.0033239245148068,0.3116545265348595,0.0,Team_00#337,outgoing,Team_00
481,11,0,0.1662337662337662,0.0498409056946195,0.0046250465814389,0.3305739514348786,0.0,Team_00#481,outgoing,Team_00
528,11,0,0.1662337662337662,0.0363603001839561,0.006171639629262,0.3169312169312169,0.0,Team_00#528,outgoing,Team_00
535,11,0,0.1662337662337662,0.0372936815388828,0.0023411991686199,0.2968285431119921,0.0,Team_00#535,outgoing,Team_00
582,11,0,0.1662337662337662,0.0376518984081767,0.0020516277627431,0.3008538422903064,0.0,Team_00#582,outgoing,Team_00
39,12,0,0.1662337662337662,0.0364019359342961,0.0059278912567311,0.3040609137055837,0.0,Team_00#39,outgoing,Team_00
240,12,0,0.1662337662337662,0.0401976769015556,0.0040730799378055,0.3164289487585842,0.0,Team_00#240,outgoing,Team_00
262,12,0,0.1662337662337662,0.0446598075881684,0.0032520282731342,0.3073370959466393,0.0,Team_00#262,outgoing,Team_00
317,12,0,0.1662337662337662,0.0428154976163484,0.0070405920092634,0.3194666666666667,0.0,Team_00#317,outgoing,Team_00
356,12,0,0.1662337662337662,0.0388098149629047,0.0050956729451624,0.3097207859358842,0.0,Team_00#356,outgoing,Team_00
471,12,0,0.1662337662337662,0.0405113911030043,0.0078756617693216,0.3285792649478881,0.0,Team_00#471,outgoing,Team_00
477,12,0,0.1662337662337662,0.0419262864280844,0.0045510848351479,0.3227370689655172,0.0,Team_00#477,outgoing,Team_00
485,12,0,0.1662337662337662,0.0515885833940762,0.0032473150982321,0.3124673969744392,0.0,Team_00#485,outgoing,Team_00
556,12,0,0.1662337662337662,0.0431676020884482,0.0046711167668893,0.3182784272051009,0.0,Team_00#556,outgoing,Team_00
586,12,0,0.1662337662337662,0.0406662726638302,0.0046703248409918,0.3157617290458618,0.6666666666666666,Team_00#586,outgoing,Team_00
597,12,0,0.1662337662337662,0.0442016722101825,0.0035045634162566,0.3131207527443805,0.0,Team_00#597,outgoing,Team_00
639,12,0,0.1662337662337662,0.0460231723641632,0.0060038038161661,0.3199786324786324,0.3333333333333333,Team_00#639,outgoing,Team_00
698,12,0,0.1662337662337662,0.0461089466267474,0.0021243974523324,0.3179405520169851,0.3333333333333333,Team_00#698,outandin,Team_00
444,13,0,0.1662337662337662,0.0450632151464408,0.0057620357818973,0.3172669491525424,0.0,Team_00#444,outgoing,Team_00
546,13,0,0.1662337662337662,0.0430614410521842,0.0041600146293508,0.3255434782608695,0.0,Team_00#546,outgoing,Team_00
603,13,0,0.1662337662337662,0.046970905931875,0.0034833876294795,0.3051451859398879,0.3333333333333333,Team_00#603,outgoing,Team_00
607,13,0,0.1662337662337662,0.0463706858336536,0.0071271810252251,0.3189563365282215,0.3333333333333333,Team_00#607,outgoing,Team_00
651,13,0,0.1662337662337662,0.0490724094147337,0.0054390321936908,0.3222162452931684,0.3333333333333333,Team_00#651,outgoing,Team_00
717,13,0,0.1662337662337662,0.0490651067106123,0.0086720499926493,0.3278598795840175,0.3333333333333333,Team_00#717,outandin,Team_00
302,14,0,0.1662337662337662,0.0501309557984237,0.0074300634242421,0.3351986569669837,0.0,Team_00#302,outgoing,Team_00
328,14,0,0.1662337662337662,0.04960733121858,0.0061556129500591,0.3192963752665245,0.0,Team_00#328,outgoing,Team_00
118,15,0,0.1662337662337662,0.0552936226929537,0.004742312349997,0.3123044838373305,0.0,Team_00#118,outgoing,Team_00
151,15,0,0.1662337662337662,0.0561779999901094,0.0090116197343119,0.332039911308204,0.0,Team_00#151,outgoing,Team_00
6,16,0,0.1662337662337662,0.0485528103785824,0.0069454077846538,0.332039911308204,0.0,Team_00#6,outgoing,Team_00
206,17,0,0.1662337662337662,0.0575082639333425,0.0137877534536723,0.3452449567723343,0.0,Team_00#206,outgoing,Team_00
271,19,0,0.1662337662337662,0.0750958981644417,0.0108078473389322,0.343857634902411,0.0,Team_00#271,outgoing,Team_00
18,7,1,0.1649196366177498,0.0229650636724688,0.0013935129781868,0.3070220399794977,0.0,Team_01#18,outgoing,Team_01
333,7,1,0.1649196366177498,0.0236515019633546,0.0007767595334838,0.2959486166007905,0.0,Team_01#333,outgoing,Team_01
59,8,1,0.1649196366177498,0.0220851441796208,0.0034429655322385,0.299949924887331,0.0,Team_01#59,outgoing,Team_01
177,8,1,0.1649196366177498,0.028669034184235,0.0011471016539864,0.3068647540983606,0.0,Team_01#177,outgoing,Team_01
198,8,1,0.1649196366177498,0.0243751940230372,0.0019068788614422,0.2980099502487562,0.0,Team_01#198,outgoing,Team_01
347,8,1,0.1649196366177498,0.0281012569611799,0.001533431948243,0.2969757064947942,0.0,Team_01#347,outgoing,Team_01
419,8,1,0.1649196366177498,0.0236184422126584,0.0033301564381563,0.3014594866633115,0.0,Team_01#419,outgoing,Team_01
662,8,1,0.1649196366177498,0.0280901294305496,0.0010977055688177,0.2886746987951807,0.3333333333333333,Team_01#662,outgoing,Team_01
686,8,1,0.1649196366177498,0.0264045964690763,0.0022883752628027,0.3137768465165008,0.3333333333333333,Team_01#686,outgoing,Team_01
393,9,1,0.1649196366177498,0.0276423634264671,0.0038255841871336,0.304369918699187,0.0,Team_01#393,outgoing,Team_01
463,9,1,0.1649196366177498,0.0331957140810329,0.0033009072170902,0.3132845188284519,0.0,Team_01#463,outgoing,Team_01
492,9,1,0.1649196366177498,0.0263769206942355,0.002690849110003,0.3102019678922837,0.0,Team_01#492,outgoing,Team_01
526,9,1,0.1649196366177498,0.0277736381597274,0.0034651705001516,0.3199786324786324,0.0,Team_01#526,outgoing,Team_01
19,10,1,0.1649196366177498,0.029056053024782,0.004452233991584,0.3134484563055991,0.0,Team_01#19,outgoing,Team_01
50,10,1,0.1649196366177498,0.0292582664338873,0.0017101421380573,0.2953648915187377,0.0,Team_01#50,outgoing,Team_01
53,10,1,0.1649196366177498,0.0326811638061985,0.0033673379913025,0.3186170212765957,0.0,Team_01#53,outgoing,Team_01
343,10,1,0.1649196366177498,0.0302811309215641,0.003132980979828,0.3177718832891246,0.0,Team_01#343,outgoing,Team_01
405,10,1,0.1649196366177498,0.0283206374548849,0.0036084572422405,0.3111688311688311,0.0,Team_01#405,outgoing,Team_01
458,10,1,0.1649196366177498,0.0305212119242595,0.0059453601866378,0.3225632740980075,0.0,Team_01#458,outgoing,Team_01
490,10,1,0.1649196366177498,0.026449677690798,0.0022684368020863,0.3011563599798894,0.0,Team_01#490,outgoing,Team_01
509,10,1,0.1649196366177498,0.0249565375116015,0.0032221113347986,0.3056122448979592,0.0,Team_01#509,outgoing,Team_01
654,10,1,0.1649196366177498,0.0293098382296137,0.002448730954358,0.3023725391216557,0.3333333333333333,Team_01#654,outgoing,Team_01
25,11,1,0.1649196366177498,0.0341033556658724,0.0046279003947367,0.3184476342371079,0.0,Team_01#25,outgoing,Team_01
99,11,1,0.1649196366177498,0.0352144302620517,0.0021064263880933,0.3039066463723998,0.0,Team_01#99,outgoing,Team_01
147,11,1,0.1649196366177498,0.0287549388694752,0.0032976187278045,0.3025252525252525,0.0,Team_01#147,outgoing,Team_01
246,11,1,0.1649196366177498,0.032090131469184,0.0024031043405721,0.3023725391216557,0.0,Team_01#246,outgoing,Team_01
281,11,1,0.1649196366177498,0.0365797879050072,0.0025099600862244,0.3046795523906409,0.0,Team_01#281,outgoing,Team_01
286,11,1,0.1649196366177498,0.0363762532707709,0.0027985923293473,0.3097207859358842,0.0,Team_01#286,outgoing,Team_01
375,11,1,0.1649196366177498,0.0328875624786685,0.0024720855535581,0.3068647540983606,0.0,Team_01#375,outgoing,Team_01
382,11,1,0.1649196366177498,0.0362167722817335,0.0037073704253531,0.3275013668671405,0.0,Team_01#382,outgoing,Team_01
560,11,1,0.1649196366177498,0.0407742657337631,0.003373094654675,0.3223896663078579,0.0,Team_01#560,outgoing,Team_01
569,11,1,0.1649196366177498,0.0351500067606053,0.0016910907771413,0.3095607235142119,0.0,Team_01#569,outgoing,Team_01
687,11,1,0.1649196366177498,0.0391397576492757,0.0011229444274185,0.310845874416191,0.3333333333333333,Team_01#687,outgoing,Team_01
694,11,1,0.1649196366177498,0.0331689764533664,0.0016238779718922,0.299949924887331,0.3333333333333333,Team_01#694,outandin,Team_01
20,12,1,0.1649196366177498,0.0330206933340727,0.0038265577113723,0.301307847082495,0.0,Team_01#20,outgoing,Team_01
116,12,1,0.1649196366177498,0.0372723003705826,0.0049079027782047,0.3237837837837838,0.0,Team_01#116,outgoing,Team_01
127,12,1,0.1649196366177498,0.0326779806786093,0.0053128363429133,0.309400826446281,0.0,Team_01#127,outgoing,Team_01
362,12,1,0.1649196366177498,0.0364911506962243,0.0057220135921299,0.321869962385814,0.0,Team_01#362,outgoing,Team_01
418,12,1,0.1649196366177498,0.0438976711326968,0.0030988150293836,0.3126304801670146,0.0,Team_01#418,outgoing,Team_01
467,12,1,0.1649196366177498,0.0335127677921385,0.0061086296503061,0.3267866884888161,0.0,Team_01#467,outgoing,Team_01
663,12,1,0.1649196366177498,0.0377257964852136,0.0058133797538298,0.3264305177111716,0.3333333333333333,Team_01#663,outgoing,Team_01
678,12,1,0.1649196366177498,0.0389322989044352,0.0061494389720831,0.3250135648399349,0.3333333333333333,Team_01#678,outgoing,Team_01
148,13,1,0.1649196366177498,0.0429242096269837,0.0068161758360124,0.3397617697107203,0.0,Team_01#148,outgoing,Team_01
179,13,1,0.1649196366177498,0.0407844762954769,0.0079558518347666,0.3287596048298573,0.0,Team_01#179,outgoing,Team_01
701,13,1,0.1649196366177498,0.0394402454425116,0.0049704877263981,0.3046795523906409,0.3333333333333333,Team_01#701,outandin,Team_01
67,14,1,0.1649196366177498,0.0387989997207471,0.0093700109700436,0.3147661586967945,0.0,Team_01#67,outgoing,Team_01
136,14,1,0.1649196366177498,0.0462985164878379,0.0060332614776162,0.3223896663078579,0.0,Team_01#136,outgoing,Team_01
529,14,1,0.1649196366177498,0.0444211884154501,0.0033555514963159,0.3059244126659857,0.0,Team_01#529,outgoing,Team_01
623,14,1,0.1649196366177498,0.042838654911255,0.0048495030713376,0.3264305177111716,0.3333333333333333,Team_01#623,outgoing,Team_01
155,15,1,0.1649196366177498,0.0464035114504142,0.0044271677445417,0.3172669491525424,0.0,Team_01#155,outgoing,Team_01
238,15,1,0.1649196366177498,0.0473708360279701,0.0050866184285089,0.3260751224823081,0.0,Team_01#238,outgoing,Team_01
473,15,1,0.1649196366177498,0.0537613314953748,0.0061908215975195,0.326608505997819,0.0,Team_01#473,outgoing,Team_01
390,16,1,0.1649196366177498,0.0461078622450163,0.0133395585662799,0.3363279056709713,0.6666666666666666,Team_01#390,outandin,Team_01
274,17,1,0.1649196366177498,0.0536180598301354,0.0091497818743694,0.3262527233115468,0.0,Team_01#274,outgoing,Team_01
677,6,2,0.1457627118644067,0.0295813451284238,0.0002194431806623,0.2875660105616898,0.3333333333333333,Team_02#677,outgoing,Team_02
690,6,2,0.1457627118644067,0.024253508452471,0.0011591892793972,0.3029843196762772,0.3333333333333333,Team_02#690,outandin,Team_02
600,7,2,0.1457627118644067,0.0218197950889835,0.0013148827351941,0.2984554060787244,0.3333333333333333,Team_02#600,outgoing,Team_02
51,8,2,0.1457627118644067,0.0246040404667603,0.0013553670733164,0.2943488943488943,0.6666666666666666,Team_02#51,outgoing,Team_02
111,8,2,0.1457627118644067,0.0262241402269093,0.0025161073274499,0.3039066463723998,0.0,Team_02#111,outgoing,Team_02
217,8,2,0.1457627118644067,0.0293180839877837,0.0017644792828703,0.3019153225806452,0.0,Team_02#217,outgoing,Team_02
272,8,2,0.1457627118644067,0.0283340402864284,0.0019513626834052,0.2946384653221839,0.0,Team_02#272,outgoing,Team_02
377,8,2,0.1457627118644067,0.0337518665177348,0.0017507614868574,0.3004012036108325,0.0,Team_02#377,outgoing,Team_02
380,8,2,0.1457627118644067,0.0247898158556925,0.0022175189595706,0.3132845188284519,0.0,Team_02#380,outgoing,Team_02
387,8,2,0.1457627118644067,0.0218989198340904,0.0033942057557019,0.3060807358201328,0.0,Team_02#387,outgoing,Team_02
713,8,2,0.1457627118644067,0.0300518168334077,0.0038344105410063,0.3121417404898384,0.3333333333333333,Team_02#713,outandin,Team_02
8,9,2,0.1457627118644067,0.025530960670487,0.0027107323609916,0.2984554060787244,0.0,Team_02#8,outgoing,Team_02
62,9,2,0.1457627118644067,0.0250777997729791,0.0016602527659515,0.2949286065977351,0.0,Team_02#62,outgoing,Team_02
209,9,2,0.1457627118644067,0.0329612849455032,0.0027205244604025,0.298158287705326,0.0,Team_02#209,outgoing,Team_02
428,9,2,0.1457627118644067,0.0304243493215628,0.0014405187021245,0.2995,0.0,Team_02#428,outgoing,Team_02
570,9,2,0.1457627118644067,0.0293966127181443,0.0034352519366175,0.3076527991782229,0.0,Team_02#570,outgoing,Team_02
633,9,2,0.1457627118644067,0.0255999390704663,0.0006906909677315,0.2974180734856008,0.3333333333333333,Team_02#633,outgoing,Team_02
649,9,2,0.1457627118644067,0.0293275040218071,0.0039839426681786,0.3127937336814621,0.3333333333333333,Team_02#649,outgoing,Team_02
82,10,2,0.1457627118644067,0.0312817676312542,0.0030183626658521,0.3162618796198521,0.0,Team_02#82,outgoing,Team_02
97,10,2,0.1457627118644067,0.0352391536187513,0.0043201604746075,0.3198077949813134,0.0,Team_02#97,outgoing,Team_02
145,10,2,0.1457627118644067,0.0328304955402527,0.0014029109054255,0.3078108941418294,0.0,Team_02#145,outgoing,Team_02
163,10,2,0.1457627118644067,0.0367805366083764,0.0029883672380103,0.3144356955380577,0.0,Team_02#163,outgoing,Team_02
192,10,2,0.1457627118644067,0.028973337860666,0.0010320702251146,0.2974180734856008,0.0,Team_02#192,outgoing,Team_02
442,10,2,0.1457627118644067,0.0356601216585747,0.0032588027080946,0.3137768465165008,0.0,Team_02#442,outgoing,Team_02
487,10,2,0.1457627118644067,0.0385496246072898,0.0026115704586911,0.3134484563055991,0.0,Team_02#487,outgoing,Team_02
505,10,2,0.1457627118644067,0.0303560231895708,0.0043468467868482,0.3157617290458618,0.0,Team_02#505,outgoing,Team_02
558,10,2,0.1457627118644067,0.0336581316206876,0.0037377340790295,0.3154291732490785,0.0,Team_02#558,outgoing,Team_02
26,11,2,0.1457627118644067,0.0393634940345091,0.0023079622706735,0.310523587350959,0.0,Team_02#26,outgoing,Team_02
64,11,2,0.1457627118644067,0.0381589502390373,0.0024573011524425,0.3078108941418294,0.0,Team_02#64,outgoing,Team_02
146,11,2,0.1457627118644067,0.0376331952515549,0.003354440727904,0.3293018141836173,0.0,Team_02#146,outgoing,Team_02
170,11,2,0.1457627118644067,0.0315386386331336,0.0057781711492594,0.3127937336814621,0.0,Team_02#170,outgoing,Team_02
342,11,2,0.1457627118644067,0.0371091415158316,0.0017098504819044,0.3121417404898384,0.0,Team_02#342,outgoing,Team_02
358,11,2,0.1457627118644067,0.0336456906601724,0.0036612574578676,0.3068647540983606,0.0,Team_02#358,outgoing,Team_02
469,11,2,0.1457627118644067,0.0373601721121582,0.0023598273641221,0.3087628865979381,0.0,Team_02#469,outgoing,Team_02
594,11,2,0.1457627118644067,0.0365910934814066,0.0038665713723011,0.3134484563055991,0.6666666666666666,Team_02#594,outandin,Team_02
624,11,2,0.1457627118644067,0.0370201102068472,0.0030024743735031,0.3102019678922837,0.3333333333333333,Team_02#624,outgoing,Team_02
652,11,2,0.1457627118644067,0.0366622502613181,0.0027100267569799,0.3157617290458618,0.3333333333333333,Team_02#652,outgoing,Team_02
11,12,2,0.1457627118644067,0.040148174331684,0.0039955377376196,0.3172669491525424,0.0,Team_02#11,outgoing,Team_02
37,12,2,0.1457627118644067,0.0455870438261117,0.0020406230669699,0.3157617290458618,0.0,Team_02#37,outgoing,Team_02
143,12,2,0.1457627118644067,0.0367805328896745,0.0036192926871422,0.3141059255374934,0.0,Team_02#143,outgoing,Team_02
255,12,2,0.1457627118644067,0.0448659771740309,0.0038896096653011,0.3246612466124661,0.0,Team_02#255,outgoing,Team_02
365,12,2,0.1457627118644067,0.0370209083572774,0.0034984895081537,0.3264305177111716,0.0,Team_02#365,outgoing,Team_02
