source,target,type
2,46,outandin
2,105,outandin
2,153,outandin
2,157,outandin
2,315,outandin
2,344,outandin
2,346,outandin
2,396,outandin
2,402,outgoing
2,459,outandin
2,590,outandin
2,618,outandin
2,647,outandin
2,709,outandin
46,40,outandin
46,170,outandin
46,179,outandin
46,211,outandin
46,217,outandin
46,295,outandin
46,403,outandin
46,523,outandin
46,558,outandin
46,594,outandin
46,600,outandin
46,677,outandin
105,3,outandin
105,40,outandin
105,69,outandin
105,80,outandin
105,157,outgoing
105,168,outandin
105,203,outandin
105,346,outandin
105,422,outandin
105,640,outandin
153,55,outandin
153,242,outandin
153,261,outandin
153,345,outandin
153,398,outandin
153,431,outandin
153,471,outandin
153,581,outgoing
153,636,outandin
153,703,outandin
157,80,outandin
157,203,outandin
157,285,outandin
157,319,outandin
157,326,outandin
157,346,outandin
157,404,outandin
157,618,outandin
315,47,outandin
315,271,outandin
315,310,outandin
315,319,outgoing
315,440,outandin
315,459,outandin
315,507,outandin
315,560,outandin
315,627,outgoing
315,630,outandin
315,672,outandin
315,681,outandin
315,692,outandin
344,88,outandin
344,309,outandin
344,327,outandin
344,348,outgoing
344,368,outandin
344,512,outgoing
344,542,outandin
344,587,outandin
344,689,outandin
346,21,outandin
346,47,outandin
346,69,outandin
346,75,outandin
346,171,outandin
346,236,outandin
346,258,outandin
346,459,outgoing
346,593,outandin
346,617,outandin
346,620,outandin
346,656,outandin
396,57,outandin
396,73,outandin
396,79,outandin
396,390,outandin
396,406,outandin
396,540,outandin
396,553,outandin
396,591,outandin
396,617,outandin
396,631,outandin
396,671,outandin
402,21,outandin
402,69,outandin
402,171,outandin
402,210,outandin
402,239,outandin
402,588,outandin
402,622,outandin
402,693,outandin
402,709,outandin
459,3,outandin
459,69,outandin
459,137,outandin
459,236,outandin
459,319,outandin
459,371,outandin
459,645,outgoing
459,693,outandin
459,716,outandin
590,3,outandin
590,107,outandin
590,148,outandin
590,206,outandin
590,236,outgoing
590,310,outandin
590,572,outgoing
590,588,outandin
618,80,outandin
618,125,outandin
618,224,outandin
618,226,outandin
618,285,outandin
618,293,outandin
618,310,outandin
618,440,outandin
618,497,outandin
618,589,outandin
618,635,outandin
618,640,outgoing
618,672,outandin
618,675,outandin
618,693,outandin
647,47,outandin
647,53,outandin
647,80,outandin
647,171,outgoing
647,203,outandin
647,239,outandin
647,326,outandin
647,363,outandin
647,380,outandin
647,440,outandin
647,458,outandin
647,461,outandin
647,588,outgoing
647,589,outandin
709,21,outandin
709,42,outandin
709,422,outandin
709,467,outandin
709,675,outandin
709,716,outandin
3,40,outandin
3,216,outandin
3,497,outandin
3,549,outandin
3,627,outandin
3,635,outandin
3,640,outandin
3,672,outandin
40,4,outandin
40,38,outandin
40,47,outgoing
40,80,outandin
40,171,outgoing
40,175,outandin
40,217,outandin
40,319,outandin
40,345,outandin
40,449,outandin
40,617,outandin
40,620,outgoing
40,627,outandin
40,655,outandin
40,684,outandin
40,716,outandin
216,61,outandin
216,109,outandin
216,144,outandin
216,464,outandin
216,522,outandin
216,537,outandin
216,617,outandin
216,683,outandin
497,10,outandin
497,133,outgoing
497,156,outandin
497,339,outandin
497,411,outandin
497,515,outandin
497,538,outandin
497,602,outandin
497,658,outgoing
497,671,outandin
549,144,outandin
549,202,outandin
549,278,outandin
549,339,outandin
549,394,outandin
549,408,outandin
549,433,outgoing
549,504,outandin
627,75,outandin
627,137,outandin
627,233,outandin
627,247,outandin
627,383,outandin
627,463,outandin
627,473,outandin
627,505,outandin
627,507,outandin
627,588,outandin
627,645,outandin
635,75,outandin
635,224,outandin
635,310,outandin
635,462,outandin
635,492,outandin
635,572,outandin
635,707,outandin
640,23,outandin
640,171,outandin
640,327,outandin
640,440,outgoing
640,589,outandin
640,623,outandin
640,684,outandin
640,693,outandin
640,716,outandin
672,24,outandin
672,53,outandin
672,114,outandin
672,203,outandin
672,237,outandin
672,550,outandin
672,620,outgoing
672,684,outandin
672,716,outandin
4,33,outandin
4,264,outgoing
4,374,outandin
4,426,outandin
4,518,outandin
4,604,outandin
4,643,outgoing
4,714,outandin
33,38,outandin
33,158,outandin
33,235,outandin
33,249,outandin
33,251,outandin
33,432,outandin
33,498,outandin
33,562,outandin
33,616,outandin
33,679,outandin
264,92,outgoing
264,187,outandin
264,202,outandin
264,222,outandin
264,257,outandin
264,297,outgoing
264,334,outandin
264,426,outandin
264,433,outandin
264,569,outandin
264,695,outandin
264,708,outandin
374,63,outandin
374,168,outandin
374,184,outgoing
374,334,outandin
374,394,outandin
374,471,outandin
374,518,outandin
374,547,outandin
374,614,outandin
374,714,outandin
426,112,outandin
426,202,outandin
426,273,outandin
426,293,outandin
426,300,outandin
426,433,outandin
426,547,outandin
426,660,outandin
518,84,outandin
518,238,outandin
518,408,outandin
518,520,outandin
604,23,outandin
604,92,outgoing
604,95,outandin
604,184,outandin
604,273,outgoing
604,300,outandin
604,394,outgoing
604,423,outandin
604,505,outandin
604,660,outandin
643,72,outandin
643,184,outandin
643,257,outandin
643,289,outandin
643,334,outandin
643,473,outandin
643,520,outandin
643,527,outgoing
643,578,outandin
643,665,outandin
714,42,outandin
714,168,outandin
714,273,outandin
714,293,outandin
714,300,outandin
714,433,outandin
714,465,outandin
714,527,outandin
714,578,outandin
714,602,outandin
714,648,outandin
714,704,outandin
6,36,outandin
6,89,outgoing
6,113,outandin
6,134,outandin
6,215,outandin
6,317,outandin
6,337,outandin
6,471,outandin
6,485,outandin
6,486,outandin
6,536,outandin
6,586,outandin
6,607,outandin
6,630,outandin
6,659,outandin
6,698,outandin
36,113,outandin
36,271,outandin
36,284,outandin
36,528,outandin
36,586,outandin
89,87,outandin
89,206,outgoing
89,240,outandin
89,289,outandin
89,390,outandin
89,603,outgoing
89,698,outandin
113,118,outandin
113,356,outandin
113,444,outandin
113,477,outandin
113,535,outgoing
113,597,outandin
134,151,outgoing
134,263,outandin
134,266,outgoing
134,335,outandin
134,380,outandin
134,477,outandin
134,536,outandin
134,546,outgoing
134,597,outandin
134,639,outgoing
215,24,outandin
215,156,outgoing
215,294,outgoing
215,327,outandin
215,363,outandin
215,472,outgoing
215,511,outgoing
215,513,outandin
215,534,outandin
215,540,outandin
215,650,outandin
215,680,outandin
317,204,outandin
317,206,outandin
317,276,outgoing
317,328,outandin
317,417,outandin
317,462,outandin
317,535,outgoing
317,546,outandin
317,639,outandin
317,651,outandin
317,717,outandin
337,39,outandin
337,68,outandin
337,118,outandin
337,186,outandin
337,206,outandin
337,512,outandin
337,597,outandin
337,642,outandin
337,644,outandin
337,698,outandin
471,84,outandin
471,118,outandin
471,244,outandin
471,245,outandin
471,310,outandin
471,328,outgoing
471,477,outandin
471,601,outandin
471,698,outandin
485,132,outandin
485,138,outandin
485,240,outgoing
485,248,outandin
485,271,outandin
485,296,outandin
485,328,outandin
485,444,outandin
485,481,outandin
485,514,outandin
485,535,outandin
486,184,outandin
486,194,outgoing
486,235,outandin
486,253,outandin
486,349,outandin
486,488,outandin
486,528,outandin
486,574,outandin
536,90,outandin
536,186,outandin
536,218,outandin
536,266,outandin
536,272,outandin
536,276,outandin
536,651,outandin
586,83,outandin
586,186,outgoing
586,240,outandin
586,276,outandin
