source,target,type
1,12,outandin
1,31,outandin
1,127,outandin
1,263,outandin
1,266,outandin
1,307,outandin
1,471,outandin
1,534,outandin
1,549,outandin
1,575,outandin
1,650,outandin
12,2,incoming
12,58,outandin
12,118,outandin
12,126,incoming
12,226,outandin
12,252,outandin
12,257,incoming
12,261,outandin
12,280,outgoing
12,369,incoming
31,29,outandin
31,58,outandin
31,94,incoming
31,179,outgoing
31,252,outandin
31,321,outandin
31,345,outandin
31,434,outandin
31,501,outandin
31,534,outandin
31,639,outandin
127,84,outandin
127,145,outandin
127,258,outandin
127,325,outgoing
127,365,outandin
127,431,outandin
127,461,outandin
127,462,outandin
127,467,outandin
127,528,outgoing
127,557,outandin
127,645,outandin
263,26,stable
263,143,outandin
263,168,outandin
263,179,incoming
263,233,outandin
263,340,outandin
263,413,outandin
263,465,outandin
263,516,outandin
263,567,outandin
263,609,outandin
263,639,outandin
266,26,outandin
266,58,outandin
266,94,outandin
266,179,outandin
266,225,outandin
266,252,outgoing
266,340,outandin
266,663,incoming
307,17,outandin
307,91,outandin
307,126,outandin
307,148,outgoing
307,165,outandin
307,167,outandin
307,207,outandin
307,226,outandin
307,261,stable
307,410,outandin
307,445,outandin
307,458,outandin
307,534,outandin
307,575,outandin
471,29,stable
471,94,outandin
471,137,outandin
471,220,outandin
471,232,outandin
471,261,outgoing
471,315,outandin
471,335,outandin
471,413,outandin
471,615,outgoing
534,58,outandin
534,143,incoming
534,340,outandin
534,413,outgoing
534,434,outandin
534,469,outandin
534,572,outandin
534,575,outandin
549,130,outandin
549,155,outandin
549,271,outandin
549,326,outandin
549,521,outandin
549,619,outandin
549,656,outandin
575,62,outandin
575,91,outandin
575,179,outandin
575,261,outandin
575,327,outandin
575,404,outandin
575,465,outandin
575,614,outandin
650,114,incoming
650,116,incoming
650,137,outandin
650,139,outandin
650,250,outandin
650,343,incoming
650,478,outandin
650,618,incoming
650,641,outandin
650,647,incoming
2,26,outandin
2,91,outandin
2,220,outandin
2,261,outandin
2,280,outandin
2,321,incoming
2,327,outandin
2,369,incoming
2,383,outandin
2,501,outandin
2,560,outandin
