source,target,type
0,64,outandin
0,162,outandin
0,290,outandin
0,320,outandin
0,384,outandin
0,455,outandin
0,486,outandin
0,495,incoming
0,507,incoming
0,511,outandin
0,556,outandin
0,567,outandin
0,568,outandin
64,58,incoming
64,159,outandin
64,161,outandin
64,286,outandin
64,320,outandin
64,357,outandin
64,412,outandin
64,416,outandin
64,435,outandin
64,458,outandin
64,478,outandin
64,559,outandin
64,568,outandin
162,33,outandin
162,42,outandin
162,136,outandin
162,148,outandin
162,168,outandin
162,174,incoming
162,247,outandin
162,347,incoming
162,357,outandin
162,409,outandin
162,495,outandin
162,507,outandin
162,559,outandin
290,130,outandin
290,210,outandin
290,255,outandin
290,347,outandin
290,481,incoming
290,501,outandin
290,525,outandin
320,25,outandin
320,126,outandin
320,247,incoming
320,357,outandin
320,435,incoming
320,536,outandin
320,552,incoming
384,1,outandin
384,19,outandin
384,58,incoming
384,207,outandin
384,226,outandin
384,279,outandin
384,435,outandin
384,461,outandin
455,19,outandin
455,42,outandin
455,136,outandin
455,161,outandin
455,236,outandin
455,286,outandin
455,301,outandin
455,322,outandin
455,458,outandin
455,478,outandin
455,493,outandin
455,559,outandin
455,568,outandin
486,88,outandin
486,285,outandin
486,332,outandin
486,362,outandin
486,370,outandin
486,415,outandin
486,426,outandin
486,428,outandin
486,470,outandin
486,489,outandin
486,502,outandin
486,571,incoming
495,159,outandin
495,174,outandin
495,279,outandin
495,286,outandin
495,292,outandin
495,293,outandin
495,308,incoming
495,458,outandin
495,507,outandin
495,552,outandin
495,559,outandin
507,14,outandin
507,49,outandin
507,167,incoming
507,347,outandin
507,412,outandin
507,458,outandin
511,42,outandin
511,165,outandin
511,310,outandin
511,458,outandin
511,478,outandin
511,482,outandin
511,527,outandin
511,536,outandin
511,556,outandin
556,42,outandin
556,58,outandin
556,159,outandin
556,165,outandin
556,238,outandin
556,357,incoming
556,409,outandin
567,25,outandin
567,88,outandin
567,174,outandin
567,205,outandin
567,226,outandin
567,422,outandin
567,435,outandin
567,494,incoming
568,5,outandin
568,114,incoming
568,148,outandin
568,326,outandin
568,443,outandin
568,527,incoming
568,536,incoming
568,598,outandin
1,115,incoming
1,178,outandin
1,235,outandin
1,260,outandin
1,270,incoming
1,304,incoming
1,487,incoming
1,492,outandin
1,496,outandin
115,39,outandin
115,125,outandin
115,172,outandin
115,235,outandin
115,427,outandin
115,487,outandin
178,10,outandin
178,231,outandin
178,337,outandin
178,463,outandin
178,483,outandin
178,532,outandin
178,565,outandin
178,577,outandin
235,5,outandin
235,32,outandin
235,57,outandin
235,187,incoming
235,250,outandin
235,343,outandin
235,401,outandin
235,428,outandin
235,492,outandin
235,590,incoming
260,93,outandin
260,116,outandin
260,301,outandin
260,310,outandin
260,318,incoming
260,350,outandin
260,356,outandin
260,457,outandin
260,464,outandin
260,545,outandin
260,570,outandin
270,20,outandin
270,56,outandin
270,122,outandin
270,304,outandin
270,334,outandin
270,343,outandin
270,398,outandin
270,401,outandin
270,420,outandin
270,446,outandin
304,57,outandin
304,80,outandin
304,105,outandin
304,291,outandin
304,343,outandin
304,344,outandin
304,487,outandin
304,509,outandin
304,519,outandin
304,584,outandin
487,10,outandin
487,44,outandin
487,122,outandin
487,163,outandin
487,184,incoming
487,187,outandin
487,261,outandin
487,337,outandin
487,365,outandin
487,401,outandin
487,435,outandin
487,462,outandin
487,476,outandin
487,493,outandin
487,506,outandin
487,554,outandin
487,565,incoming
487,590,outandin
492,10,incoming
492,105,outandin
492,122,outandin
492,145,outandin
492,189,outandin
492,193,outandin
492,313,outandin
492,366,outandin
492,394,outandin
492,401,outandin
492,463,outandin
492,576,outandin
496,39,outandin
496,69,incoming
496,95,outandin
496,184,incoming
496,319,outandin
496,325,incoming
496,401,outandin
496,462,outandin
496,554,incoming
496,590,outandin
2,113,outandin
2,156,outandin
2,218,incoming
2,305,outandin
2,306,outandin
2,413,outandin
2,530,incoming
2,560,incoming
2,596,outandin
113,101,outandin
113,184,outandin
113,194,outandin
113,212,outandin
113,268,outandin
113,342,outandin
113,380,incoming
113,481,outandin
156,84,outandin
156,101,outandin
156,211,outandin
156,383,incoming
156,538,outandin
156,558,outandin
156,560,outandin
218,60,outandin
218,196,outandin
218,211,outandin
218,317,outandin
218,383,outandin
218,413,outandin
218,425,incoming
218,558,outandin
305,112,outandin
305,149,outandin
305,203,outandin
305,338,outandin
305,352,outandin
305,370,outandin
305,383,outandin
305,530,outandin
305,542,outandin
306,65,outandin
306,169,outandin
306,187,outandin
306,211,outandin
306,220,outandin
306,380,outandin
306,483,outandin
306,528,outandin
413,18,outandin
413,169,outandin
413,196,outandin
413,211,outandin
413,254,incoming
413,278,outandin
413,383,outandin
413,396,outandin
413,589,outandin
413,596,outandin
530,163,outandin
530,211,outandin
530,246,outandin
530,278,incoming
530,380,outandin
530,453,outandin
530,528,outandin
560,36,outandin
560,130,outandin
560,141,outandin
560,163,outandin
560,199,outandin
560,205,outandin
560,280,outandin
560,338,outandin
560,483,outandin
560,579,incoming
560,595,outandin
596,34,outandin
596,36,outandin
596,65,outandin
596,169,outandin
596,203,outandin
596,220,outandin
596,263,outandin
596,374,outandin
596,579,outandin
3,53,outandin
3,70,outandin
3,107,outandin
3,200,outandin
3,208,outandin
3,348,outandin
3,376,outandin
3,508,outandin
53,15,outandin
53,35,incoming
53,61,outandin
53,99,outandin
53,173,outandin
53,201,outandin
53,206,outandin
53,223,outandin
53,278,outandin
53,291,outandin
53,324,outandin
53,382,outandin
53,397,outandin
53,411,outandin
70,107,outandin
70,173,incoming
70,280,outandin
70,357,outandin
70,376,outandin
70,382,outandin
70,423,outandin
70,447,outandin
70,461,outandin
70,522,incoming
70,591,outandin
107,101,outandin
107,104,outandin
107,166,outandin
107,167,outandin
107,297,outandin
107,508,incoming
107,584,outandin
200,15,outandin
200,92,incoming
200,166,outandin
200,173,outandin
200,175,outandin
200,183,outandin
200,206,incoming
200,273,outandin
200,440,outandin
200,598,outandin
208,73,incoming
208,163,outandin
208,214,outandin
208,245,outandin
208,273,outandin
208,295,outandin
208,341,outandin
208,508,outandin
348,6,outandin
348,28,outandin
348,128,outandin
348,160,outandin
348,221,outandin
348,225,outandin
348,419,outandin
348,557,outandin
376,35,incoming
376,51,outandin
376,67,outandin
376,104,outandin
376,196,outandin
376,236,outandin
376,269,incoming
376,275,outandin
376,491,outandin
376,522,outandin
376,553,outandin
376,584,outandin
376,591,outandin
508,92,incoming
508,129,outandin
508,201,outandin
508,206,outandin
508,236,outandin
508,264,outandin
508,268,outandin
508,297,outandin
508,457,outandin
508,461,outandin
508,471,outandin
4,6,outandin
4,7,outandin
4,32,outandin
4,71,outandin
4,78,outandin
4,87,outandin
4,157,outandin
4,216,outandin
4,316,outandin
4,432,outandin
4,472,outandin
4,484,outandin
6,28,outandin
6,109,outandin
6,176,outandin
6,328,incoming
6,392,outandin
6,407,outandin
6,505,outandin
6,529,outandin
7,147,outandin
7,256,outandin
7,261,outandin
7,265,outandin
7,351,outandin
7,379,outandin
7,416,outandin
7,419,outandin
7,430,outandin
7,452,outandin
7,484,incoming
7,546,outandin
7,597,outandin
32,83,outandin
32,96,outandin
32,237,outandin
32,316,outandin
32,379,outandin
32,416,outandin
32,436,outandin
32,444,outandin
32,537,outandin
32,563,outandin
71,46,outandin
71,261,outandin
71,302,outandin
71,353,outandin
71,432,outandin
71,438,outandin
71,503,outandin
71,564,outandin
71,569,outandin
78,23,outandin
78,171,outandin
78,220,outandin
78,293,outandin
78,353,outandin
78,363,outandin
78,377,outandin
78,497,outandin
78,515,outandin
78,561,outandin
78,577,outandin
87,83,incoming
87,189,outandin
87,263,outandin
87,294,outandin
87,346,outandin
87,358,outandin
87,396,outandin
157,72,outandin
157,95,outandin
157,134,outandin
157,229,incoming
157,316,incoming
157,353,outandin
157,503,outandin
157,537,outandin
216,147,outandin
216,258,outandin
216,261,outandin
216,289,outandin
216,311,outandin
216,316,outandin
216,381,outandin
216,444,outandin
216,471,outandin
216,484,outandin
216,488,outandin
316,48,outandin
316,96,outandin
316,117,outandin
316,129,outandin
316,147,incoming
316,261,outandin
316,346,outandin
316,381,outandin
316,396,outandin
316,410,outandin
316,419,outandin
316,432,outandin
316,436,incoming
316,467,outandin
316,546,outandin
316,569,outandin
432,48,outandin
432,59,incoming
432,83,outandin
432,112,incoming
432,172,outandin
432,210,outandin
432,430,outandin
432,438,outandin
432,538,outandin
432,546,outandin
472,54,outandin
472,126,outandin
472,159,outandin
472,167,outandin
472,247,incoming
472,286,outandin
472,307,outandin
472,470,outandin
472,494,outandin
472,502,outandin
472,543,outandin
472,564,outandin
484,112,outandin
484,129,outandin
484,313,outandin
484,416,outandin
484,467,outandin
484,569,incoming
484,594,outandin
5,22,outandin
5,89,outandin
5,114,outandin
5,126,outandin
5,148,outandin
5,174,outandin
5,185,outandin
5,233,outandin
5,427,outandin
5,598,outandin
22,35,outandin
22,127,outandin
22,161,outandin
22,215,outandin
22,409,outandin
22,458,outandin
22,536,outandin
22,591,outandin
22,598,outandin
89,74,outandin
89,228,incoming
89,321,outandin
89,354,outandin
89,369,outandin
89,388,outandin
89,429,incoming
89,513,outandin
89,583,outandin
89,586,outandin
114,222,outandin
114,226,outandin
114,247,outandin
114,326,outandin
114,392,outandin
114,457,outandin
126,42,outandin
126,49,outandin
126,148,outandin
126,226,incoming
126,307,outandin
126,392,outandin
126,478,outandin
126,482,incoming
148,132,outandin
148,136,outandin
148,159,outandin
148,215,outandin
148,308,outandin
148,334,outandin
148,392,outandin
148,443,incoming
148,458,outandin
148,478,outandin
148,494,outandin
174,165,outandin
174,171,outandin
174,226,outandin
174,308,outandin
174,326,outandin
174,347,outandin
174,395,outandin
174,409,incoming
174,521,incoming
174,552,outandin
174,559,outandin
174,598,outandin
185,33,outandin
185,128,incoming
185,150,incoming
185,176,incoming
185,282,outandin
185,474,incoming
185,534,outandin
185,549,outandin
233,41,outandin
233,67,outandin
233,73,outandin
233,92,outandin
233,104,outandin
233,138,outandin
233,206,incoming
233,223,outandin
233,236,outandin
233,257,outandin
233,264,outandin
233,271,incoming
233,273,outandin
233,522,outandin
233,540,outandin
233,591,outandin
427,39,incoming
427,44,outandin
427,108,outandin
427,145,outandin
427,187,outandin
427,190,incoming
427,460,outandin
427,590,outandin
598,161,outandin
598,168,outandin
598,238,outandin
598,279,incoming
598,313,outandin
598,521,outandin
598,527,outandin
598,536,outandin
28,150,outandin
28,153,incoming
28,176,outandin
28,327,outandin
28,367,outandin
28,473,outandin
28,474,outandin
28,477,outandin
109,55,outandin
109,57,outandin
109,150,outandin
109,176,outandin
109,241,outandin
109,282,outandin
109,288,outandin
109,292,outandin
109,297,outandin
109,402,outandin
109,415,outandin
109,469,outandin
109,490,outandin
109,529,outandin
176,52,outandin
176,151,outandin
176,323,outandin
176,367,outandin
176,473,outandin
176,534,outandin
328,205,incoming
328,232,outandin
328,282,outandin
328,327,outandin
328,359,outandin
328,360,outandin
328,469,outandin
328,529,outandin
328,534,incoming
328,557,outandin
328,575,outandin
392,25,outandin
392,42,outandin
392,159,outandin
392,165,outandin
392,243,outandin
392,428,outandin
392,482,outandin
392,494,outandin
392,565,outandin
407,59,outandin
407,72,outandin
407,117,outandin
407,256,outandin
407,383,outandin
407,541,outandin
407,566,outandin
407,569,outandin
505,52,outandin
505,80,outandin
505,131,outandin
505,153,outandin
505,217,outandin
505,275,outandin
505,476,outandin
505,534,outandin
505,549,outandin
529,111,outandin
529,137,outandin
529,150,outandin
529,221,outandin
529,282,incoming
529,292,incoming
529,312,outandin
529,327,incoming
147,134,outandin
147,283,outandin
147,294,outandin
147,338,outandin
256,43,outandin
256,96,outandin
256,117,outandin
256,282,outandin
256,430,outandin
256,503,incoming
256,537,outandin
256,546,outandin
261,46,outandin
261,265,outandin
261,302,outandin
261,367,outandin
261,430,outandin
261,537,outandin
261,546,outandin
261,564,outandin
261,586,outandin
265,43,outandin
265,46,outandin
265,117,incoming
265,129,outandin
265,248,outandin
265,387,outandin
265,398,outandin
265,443,outandin
265,503,outandin
265,569,outandin
351,161,outandin
351,209,outandin
351,419,outandin
351,541,incoming
351,566,outandin
351,579,outandin
351,597,incoming
379,48,outandin
379,182,outandin
379,294,outandin
379,467,outandin
416,38,outandin
416,48,outandin
416,86,outandin
416,117,outandin
416,339,outandin
416,350,outandin
416,467,outandin
416,528,outandin
416,597,outandin
419,48,incoming
419,72,outandin
419,134,outandin
419,338,outandin
419,353,outandin
419,444,outandin
419,494,outandin
419,546,outandin
430,72,outandin
430,112,outandin
430,229,outandin
430,302,outandin
430,522,outandin
452,21,outandin
452,38,incoming
452,40,outandin
452,68,outandin
452,88,outandin
452,152,outandin
452,330,outandin
452,336,outandin
452,402,outandin
452,405,outandin
452,415,outandin
546,321,outandin
546,353,outandin
546,369,outandin
546,381,outandin
546,503,outandin
