node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
335,7,0,0.1403846153846153,0.0211007718883787,0.0015715894801153,0.2867400670177118,0.0,Team_00#335,outgoing,Team_00
355,7,0,0.1403846153846153,0.0201756825809377,0.001277962022675,0.2875660105616898,0.0,Team_00#355,outgoing,Team_00
66,8,0,0.1403846153846153,0.0264147457499125,0.0008511445517394,0.2942043222003929,0.0,Team_00#66,outgoing,Team_00
95,8,0,0.1403846153846153,0.0324654990161832,0.0006329243213039,0.2893719806763285,0.0,Team_00#95,outgoing,Team_00
145,8,0,0.1403846153846153,0.0281703614863906,0.0025227673960965,0.3081275720164609,0.0,Team_00#145,outgoing,Team_00
232,8,0,0.1403846153846153,0.0206728949908215,0.0033030339344758,0.2996498249124562,0.0,Team_00#232,outgoing,Team_00
320,8,0,0.1403846153846153,0.0243304260790816,0.0012815835600247,0.2927663734115347,0.0,Team_00#320,outgoing,Team_00
375,8,0,0.1403846153846153,0.0240403594578481,0.0012422457873654,0.2863288718929254,1.0,Team_00#375,outgoing,Team_00
504,8,0,0.1403846153846153,0.0271548508563584,0.0056997507414969,0.3199786324786324,0.0,Team_00#504,outgoing,Team_00
518,8,0,0.1403846153846153,0.0269098169381381,0.0009756552982438,0.2927663734115347,0.0,Team_00#518,outgoing,Team_00
84,9,0,0.1403846153846153,0.0284669156992681,0.0025689035137828,0.3035985808413583,0.0,Team_00#84,outgoing,Team_00
221,9,0,0.1403846153846153,0.0264124269788037,0.0016186243263317,0.2971230158730158,0.0,Team_00#221,outgoing,Team_00
230,9,0,0.1403846153846153,0.0299647198524929,0.0018493605124378,0.293483586477217,0.0,Team_00#230,outgoing,Team_00
316,9,0,0.1403846153846153,0.0360391156661273,0.0019267048773311,0.3029843196762772,0.0,Team_00#316,outgoing,Team_00
466,9,0,0.1403846153846153,0.0291079570270477,0.0003175429992655,0.2907766990291262,0.0,Team_00#466,outgoing,Team_00
480,9,0,0.1403846153846153,0.0258788444675379,0.0032818425300259,0.2990514228657014,0.0,Team_00#480,outgoing,Team_00
555,9,0,0.1403846153846153,0.0324035461212859,0.0031866131723472,0.3102019678922837,0.0,Team_00#555,outgoing,Team_00
31,10,0,0.1403846153846153,0.0326654254890257,0.002078799237433,0.2995,1.0,Team_00#31,outandin,Team_00
60,10,0,0.1403846153846153,0.033256071959314,0.0034624453578498,0.2959486166007905,1.0,Team_00#60,outgoing,Team_00
61,10,0,0.1403846153846153,0.0305917372068614,0.0051369709588796,0.3031376518218623,0.0,Team_00#61,outgoing,Team_00
128,10,0,0.1403846153846153,0.0286012852929816,0.0026601535898613,0.2978617603182496,1.0,Team_00#128,outgoing,Team_00
297,10,0,0.1403846153846153,0.028776437211409,0.003597774467017,0.2987531172069825,0.0,Team_00#297,outgoing,Team_00
365,10,0,0.1403846153846153,0.031818803462286,0.0028672066254248,0.3029843196762772,0.0,Team_00#365,outgoing,Team_00
391,10,0,0.1403846153846153,0.0343802904765354,0.0008648503773991,0.2992007992007992,0.0,Team_00#391,outgoing,Team_00
393,10,0,0.1403846153846153,0.0354046081761296,0.0039104953889171,0.3127937336814621,0.0,Team_00#393,outgoing,Team_00
396,10,0,0.1403846153846153,0.0289237277134638,0.0045253605641814,0.3100414078674948,0.0,Team_00#396,outgoing,Team_00
453,10,0,0.1403846153846153,0.0306161675110379,0.002810110528359,0.2995,0.0,Team_00#453,outgoing,Team_00
579,10,0,0.1403846153846153,0.0329456366401531,0.0063185386988143,0.3062372188139059,1.0,Team_00#579,outandin,Team_00
583,10,0,0.1403846153846153,0.0324038471924242,0.0007039242836753,0.2978617603182496,0.0,Team_00#583,outgoing,Team_00
619,10,0,0.1403846153846153,0.0313577877475573,0.0019143428145967,0.2986041874376869,0.5,Team_00#619,outgoing,Team_00
632,10,0,0.1403846153846153,0.0297540716320628,0.0016895734162734,0.2845605700712589,0.5,Team_00#632,outgoing,Team_00
681,10,0,0.1403846153846153,0.0314493283720683,0.0008915965853268,0.2907766990291262,0.5,Team_00#681,outgoing,Team_00
700,10,0,0.1403846153846153,0.0266793549754464,0.001036538725761,0.3001002004008016,0.5,Team_00#700,outandin,Team_00
106,11,0,0.1403846153846153,0.0319381548351022,0.0037154654077024,0.3051451859398879,0.0,Team_00#106,outgoing,Team_00
127,11,0,0.1403846153846153,0.0352334979053674,0.0012982851686971,0.2946384653221839,0.0,Team_00#127,outgoing,Team_00
166,11,0,0.1403846153846153,0.0291451900689187,0.0054891002324315,0.3065506653019447,0.0,Team_00#166,outgoing,Team_00
175,11,0,0.1403846153846153,0.0345196672444637,0.0077050547239633,0.3237837837837838,0.0,Team_00#175,outgoing,Team_00
198,11,0,0.1403846153846153,0.0364940701995183,0.0041012305150073,0.3159282700421941,0.0,Team_00#198,outgoing,Team_00
253,11,0,0.1403846153846153,0.0298947729510813,0.0025872825075113,0.2969757064947942,0.0,Team_00#253,outgoing,Team_00
304,11,0,0.1403846153846153,0.0366370875491782,0.0029169193723421,0.3186170212765957,0.0,Team_00#304,outgoing,Team_00
349,11,0,0.1403846153846153,0.0325156734391084,0.0069270844349055,0.3081275720164609,0.0,Team_00#349,outgoing,Team_00
418,11,0,0.1403846153846153,0.0351428021527204,0.0056143088605099,0.3174350821409645,0.0,Team_00#418,outgoing,Team_00
425,11,0,0.1403846153846153,0.0356651220408927,0.002297309834853,0.3082861554297478,0.0,Team_00#425,outgoing,Team_00
427,11,0,0.1403846153846153,0.0329110566456485,0.002718629872722,0.3040609137055837,0.0,Team_00#427,outgoing,Team_00
497,11,0,0.1403846153846153,0.0357228056006142,0.0038830020500294,0.322911051212938,0.0,Team_00#497,outgoing,Team_00
54,12,0,0.1403846153846153,0.0352949334457273,0.0037489801938067,0.3010050251256281,0.0,Team_00#54,outgoing,Team_00
86,12,0,0.1403846153846153,0.0451942134194101,0.005592302815256,0.3198077949813134,0.0,Team_00#86,outgoing,Team_00
184,12,0,0.1403846153846153,0.0403738186501258,0.003091980658167,0.3111688311688311,0.0,Team_00#184,outgoing,Team_00
222,12,0,0.1403846153846153,0.0355878355995787,0.002298068871568,0.300551931761164,0.0,Team_00#222,outgoing,Team_00
279,12,0,0.1403846153846153,0.0326254061308282,0.0025659766186931,0.2958024691358025,0.0,Team_00#279,outgoing,Team_00
331,12,0,0.1403846153846153,0.033478815010315,0.0043990454081575,0.3074948665297741,0.0,Team_00#331,outgoing,Team_00
519,12,0,0.1403846153846153,0.0380337868822107,0.0047787443213173,0.3124673969744392,0.0,Team_00#519,outgoing,Team_00
552,12,0,0.1403846153846153,0.0388775106712061,0.002301934112889,0.3056122448979592,0.0,Team_00#552,outgoing,Team_00
638,12,0,0.1403846153846153,0.0389960511725437,0.0028037689472141,0.3032911392405063,0.5,Team_00#638,outgoing,Team_00
2,13,0,0.1403846153846153,0.0425581467726539,0.0066449426130987,0.3232595790609822,1.0,Team_00#2,outgoing,Team_00
254,13,0,0.1403846153846153,0.0402796420586252,0.0045468808560484,0.3134484563055991,0.0,Team_00#254,outgoing,Team_00
318,13,0,0.1403846153846153,0.0450439601497785,0.0036943780379122,0.3053007135575943,0.0,Team_00#318,outgoing,Team_00
454,13,0,0.1403846153846153,0.0403334042181885,0.0020297253679792,0.3014594866633115,0.0,Team_00#454,outgoing,Team_00
63,14,0,0.1403846153846153,0.0424236364256847,0.0050089026248756,0.3127937336814621,0.0,Team_00#63,outgoing,Team_00
370,14,0,0.1403846153846153,0.0454218708388866,0.0039991269309726,0.3100414078674948,0.0,Team_00#370,outgoing,Team_00
461,14,0,0.1403846153846153,0.0377455323878581,0.0084958421266035,0.3199786324786324,0.0,Team_00#461,outgoing,Team_00
