source,target,type
0,46,outandin
0,95,outandin
0,151,outandin
0,166,outandin
0,169,outandin
0,302,outandin
0,344,outandin
0,359,outandin
0,398,outandin
0,518,outandin
0,521,outandin
0,559,outandin
0,656,outandin
0,675,outandin
46,56,outandin
46,90,outandin
46,115,outandin
46,117,outandin
46,279,outandin
46,353,outandin
46,388,outandin
46,469,outgoing
46,527,outandin
46,529,outandin
46,573,outandin
95,2,outgoing
95,86,outandin
95,279,outgoing
95,379,outandin
95,427,outandin
95,632,outandin
95,681,outandin
151,29,outandin
151,45,outandin
151,98,outandin
151,132,outgoing
151,169,outandin
151,446,outandin
151,467,outandin
151,553,outandin
151,621,outandin
151,655,outandin
151,690,outandin
166,232,outgoing
166,273,outandin
166,331,outgoing
166,365,outandin
166,390,outandin
166,461,outandin
166,466,outandin
166,552,outandin
166,583,outandin
166,619,outandin
169,29,outgoing
169,68,outandin
169,190,outandin
169,285,outandin
169,434,outandin
169,639,outandin
169,676,outandin
302,8,outandin
302,51,outandin
302,307,outandin
302,473,outandin
302,502,outandin
302,603,outgoing
344,90,outgoing
344,125,outandin
344,199,outandin
344,437,outgoing
344,464,outandin
344,467,outandin
344,488,outandin
344,502,outandin
344,564,outandin
344,651,outandin
344,675,outandin
359,33,outgoing
359,104,outgoing
359,107,outandin
359,244,outgoing
359,289,outandin
359,378,outandin
359,671,outandin
359,677,outandin
359,702,outandin
398,264,outandin
398,421,outandin
398,560,outandin
398,621,outandin
398,647,outandin
518,84,outandin
518,108,outgoing
518,127,outandin
518,184,outandin
518,222,outgoing
518,304,outandin
518,555,outandin
521,29,outandin
521,68,outandin
521,132,outandin
521,135,outandin
521,241,outandin
521,264,outandin
521,415,outandin
521,468,outgoing
521,527,outandin
521,555,outandin
521,602,outandin
521,635,outandin
521,690,outandin
559,68,outandin
559,139,outandin
559,241,outandin
559,248,outandin
559,335,outandin
559,353,outandin
559,468,outandin
559,560,outandin
559,596,outandin
559,602,outandin
559,630,outandin
656,52,outandin
656,155,outandin
656,285,outandin
656,464,outandin
656,560,outandin
656,573,outandin
656,675,outandin
656,676,outandin
675,115,outandin
675,135,outandin
675,233,outandin
675,248,outandin
675,388,outandin
675,394,outgoing
675,467,outandin
675,469,outandin
675,560,outandin
675,652,outandin
675,657,outandin
675,707,outandin
1,15,outandin
1,43,outgoing
1,57,outgoing
1,178,outandin
1,181,outandin
1,197,outandin
1,244,outandin
1,310,outandin
1,366,outandin
1,369,outgoing
1,424,outandin
1,470,outandin
1,509,outgoing
1,630,outandin
15,197,outandin
15,223,outgoing
15,236,outandin
15,256,outandin
15,384,outandin
15,399,outandin
15,424,outandin
15,514,outandin
15,565,outandin
15,652,outandin
15,682,outgoing
43,6,outandin
43,13,outgoing
43,16,outandin
43,24,outandin
43,78,outgoing
43,252,outandin
43,330,outandin
43,353,outandin
43,366,outandin
43,369,outandin
43,384,outandin
43,385,outandin
43,484,outandin
43,493,outandin
43,634,outandin
57,206,outandin
57,292,outandin
57,330,outandin
57,385,outgoing
57,390,outandin
57,404,outandin
57,439,outgoing
57,448,outandin
57,483,outgoing
57,593,outandin
57,604,outandin
57,634,outandin
178,52,outandin
178,78,outgoing
178,197,outandin
178,204,outandin
178,259,outandin
178,395,outandin
178,483,outandin
178,509,outgoing
178,511,outandin
178,689,outandin
178,704,outandin
181,34,outandin
181,39,outandin
181,40,outandin
181,102,outandin
181,268,outandin
181,301,outandin
181,348,outandin
181,421,outandin
181,699,outandin
181,709,outandin
197,17,outandin
197,24,outgoing
197,27,outandin
197,256,outandin
197,286,outandin
197,319,outandin
197,367,outandin
197,441,outandin
197,530,outandin
197,544,outandin
197,682,outandin
244,200,outandin
244,295,outgoing
244,311,outandin
244,327,outandin
244,397,outandin
244,420,outandin
244,538,outgoing
310,27,outgoing
310,40,outandin
310,52,outgoing
310,136,outandin
310,167,outandin
310,204,outandin
310,227,outandin
310,259,outgoing
310,291,outandin
310,330,outandin
310,404,outandin
310,439,outandin
310,495,outandin
310,630,outandin
310,634,outandin
310,689,outandin
310,703,outandin
366,13,outandin
366,24,outandin
366,27,outgoing
366,195,outandin
366,204,outgoing
366,291,outandin
366,439,outandin
366,545,outandin
366,653,outgoing
369,78,outandin
369,204,outgoing
369,256,outandin
369,337,outandin
369,404,outgoing
369,424,outgoing
369,476,outandin
369,483,outandin
424,99,outandin
424,195,outgoing
424,204,outgoing
424,259,outgoing
424,448,outandin
424,483,outandin
424,513,outandin
424,669,outandin
424,704,outandin
470,47,outgoing
470,93,outandin
470,219,outandin
470,291,outandin
470,330,outandin
470,364,outandin
470,385,outgoing
470,514,outandin
470,545,outgoing
509,17,outandin
509,24,outandin
509,61,outandin
509,74,outandin
509,167,outandin
509,173,outandin
509,223,outandin
509,330,outandin
509,495,outandin
509,506,outandin
509,704,outandin
630,49,outandin
630,204,outgoing
630,219,outandin
630,315,outandin
630,337,outandin
630,358,outandin
630,384,outandin
630,441,outandin
630,495,outandin
630,677,outandin
2,31,outandin
2,54,outgoing
2,108,outgoing
2,127,outandin
2,232,outandin
2,254,outandin
2,330,outandin
2,393,outandin
2,497,outandin
2,647,outandin
2,677,outandin
2,700,outandin
31,84,outandin
31,108,outandin
31,220,outandin
31,221,outandin
31,253,outandin
31,370,outandin
31,423,outandin
31,453,outandin
31,480,outandin
54,60,outandin
54,61,outandin
54,63,outandin
54,108,outandin
54,128,outandin
54,230,outandin
54,331,outandin
54,416,outandin
54,425,outandin
54,454,outandin
54,638,outandin
108,61,outandin
108,63,outgoing
108,230,outandin
108,279,outandin
108,318,outandin
108,370,outandin
108,375,outandin
108,379,outandin
108,391,outgoing
108,418,outgoing
108,423,outandin
108,466,outandin
108,519,outandin
127,60,outgoing
127,128,outandin
127,304,outandin
127,318,outandin
127,370,outandin
127,375,outandin
127,396,outandin
127,632,outandin
127,638,outandin
232,60,outandin
232,128,outandin
232,309,outandin
232,573,outandin
232,681,outandin
232,692,outandin
254,60,outandin
254,63,outandin
254,145,outgoing
254,212,outandin
254,316,outandin
254,318,outandin
254,320,outandin
254,365,outgoing
254,370,outandin
254,458,outandin
254,583,outandin
254,632,outandin
330,20,outandin
330,24,outandin
330,52,outandin
330,78,outandin
330,167,outandin
330,292,outgoing
330,399,outandin
330,439,outandin
330,475,outandin
330,483,outandin
330,606,outandin
393,198,outgoing
393,316,outgoing
393,320,outandin
393,379,outgoing
393,464,outandin
393,486,outandin
393,490,outgoing
393,552,outandin
393,599,outandin
497,66,outandin
497,222,outandin
497,252,outandin
497,425,outandin
497,490,outandin
497,565,outandin
497,652,outandin
497,681,outandin
497,687,outandin
497,700,outandin
647,30,outandin
