node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
155,7,0,0.1528822055137844,0.0227951182621262,0.0021670361502311,0.3049974240082432,0.0,Team_00#155,stable,Team_00
559,7,0,0.1528822055137844,0.0283879752534304,0.0019745380022566,0.3026584867075664,0.0,Team_00#559,stable,Team_00
115,8,0,0.1528822055137844,0.0279757042225271,0.0009547715581317,0.2949676133532636,0.0,Team_00#115,stable,Team_00
125,8,0,0.1528822055137844,0.0271600304719468,0.0023753969940922,0.30546955624355,0.0,Team_00#125,stable,Team_00
549,8,0,0.1528822055137844,0.0273012514270625,0.0016067129737941,0.2986881937436932,0.0,Team_00#549,stable,Team_00
581,8,0,0.1528822055137844,0.027170521342432,0.0023633347694763,0.300507614213198,0.0,Team_00#581,stable,Team_00
70,9,0,0.1528822055137844,0.0333523847482077,0.0068000625472697,0.3290717065036131,0.0,Team_00#70,stable,Team_00
175,9,0,0.1528822055137844,0.0357318004663988,0.0011907461032368,0.3051546391752577,0.0,Team_00#175,stable,Team_00
201,9,0,0.1528822055137844,0.0292377486094116,0.002845678158306,0.3012722646310432,0.0,Team_00#201,stable,Team_00
264,9,0,0.1528822055137844,0.0320889305691865,0.001853629457153,0.2983870967741935,0.0,Team_00#264,stable,Team_00
272,9,0,0.1528822055137844,0.0290775501069385,0.003014343254054,0.308172826652785,0.3333333333333333,Team_00#272,stable,Team_00
277,9,0,0.1528822055137844,0.0301526599532141,0.0032165301692522,0.3114150447133088,0.0,Team_00#277,stable,Team_00
367,9,0,0.1528822055137844,0.0272846920450577,0.0023778902947938,0.2991409802930773,0.0,Team_00#367,stable,Team_00
434,9,0,0.1528822055137844,0.0340602342850217,0.0024940023973452,0.3101100052383447,0.0,Team_00#434,stable,Team_00
486,9,0,0.1528822055137844,0.0331431594857694,0.0028543382273153,0.3112513144058885,0.0,Team_00#486,stable,Team_00
573,9,0,0.1528822055137844,0.0338695483484665,0.0043140562667297,0.3119072708113804,0.0,Team_00#573,stable,Team_00
579,9,0,0.1528822055137844,0.0310071748255926,0.0019942201794402,0.3148936170212766,0.0,Team_00#579,stable,Team_00
67,10,0,0.1528822055137844,0.0321906097868157,0.0013809167113149,0.2945273631840796,0.0,Team_00#67,stable,Team_00
85,10,0,0.1528822055137844,0.0323877681277589,0.0008840775407272,0.2896281800391389,0.0,Team_00#85,stable,Team_00
176,10,0,0.1528822055137844,0.0291864103652417,0.0009582920663315,0.2995951417004048,0.3333333333333333,Team_00#176,stable,Team_00
188,10,0,0.1528822055137844,0.0382730575603634,0.0010144337544348,0.3094615786722425,0.0,Team_00#188,stable,Team_00
217,10,0,0.1528822055137844,0.0361691506139523,0.0012568826212972,0.3059431524547804,0.0,Team_00#217,stable,Team_00
323,10,0,0.1528822055137844,0.0328305615472285,0.0035739312152391,0.311578947368421,0.0,Team_00#323,stable,Team_00
465,10,0,0.1528822055137844,0.0425534447852505,0.0022136762384858,0.309299895506792,0.0,Team_00#465,stable,Team_00
475,10,0,0.1528822055137844,0.033424832798311,0.0039766703058434,0.3067357512953368,0.0,Team_00#475,stable,Team_00
530,10,0,0.1528822055137844,0.0314708625512886,0.005166794137926,0.3210412147505423,0.0,Team_00#530,stable,Team_00
39,11,0,0.1528822055137844,0.0456209893250287,0.0054348461014442,0.325453545904343,0.3333333333333333,Team_00#39,stable,Team_00
51,11,0,0.1528822055137844,0.0399753140449025,0.0031328670784469,0.3177670424047236,0.0,Team_00#51,stable,Team_00
177,11,0,0.1528822055137844,0.0430925731325645,0.0015935142424781,0.3127311146328579,0.0,Team_00#177,stable,Team_00
207,11,0,0.1528822055137844,0.0393334343144704,0.0054598304775947,0.3198271204754186,0.0,Team_00#207,stable,Team_00
225,11,0,0.1528822055137844,0.0393225363380931,0.006626070478,0.3305415968732552,0.0,Team_00#225,stable,Team_00
289,11,0,0.1528822055137844,0.0393470808038028,0.0028681478432783,0.3104352385946513,0.0,Team_00#289,stable,Team_00
310,11,0,0.1528822055137844,0.0329537794481256,0.0039788121362584,0.3130618720253834,0.0,Team_00#310,stable,Team_00
359,11,0,0.1528822055137844,0.0396548938353805,0.0034802139800161,0.3040575243965074,0.0,Team_00#359,stable,Team_00
423,11,0,0.1528822055137844,0.0377087808465244,0.0068638331022676,0.3229678123295144,0.0,Team_00#423,stable,Team_00
444,11,0,0.1528822055137844,0.0382581220796971,0.0032512486532011,0.3061013443640124,0.0,Team_00#444,stable,Team_00
13,12,0,0.1528822055137844,0.0445608092491607,0.0032277285473677,0.3043701799485861,0.3333333333333333,Team_00#13,stable,Team_00
47,12,0,0.1528822055137844,0.0373842698261819,0.0079305325572043,0.3276148312119535,0.0,Team_00#47,stable,Team_00
91,12,0,0.1528822055137844,0.0388352877478798,0.0048432115075861,0.3187937533656435,0.0,Team_00#91,stable,Team_00
185,12,0,0.1528822055137844,0.0413745147353929,0.003312510055218,0.3203463203463203,0.0,Team_00#185,stable,Team_00
196,12,0,0.1528822055137844,0.048646009025197,0.0053796269504562,0.3165775401069519,0.0,Team_00#196,stable,Team_00
229,12,0,0.1528822055137844,0.0334670180366572,0.0082007246616824,0.3122362869198312,0.0,Team_00#229,stable,Team_00
297,12,0,0.1528822055137844,0.0409036403905414,0.0020211832389751,0.310598111227702,0.0,Team_00#297,stable,Team_00
519,12,0,0.1528822055137844,0.0393725718539666,0.0045019589812728,0.3088158581116327,0.3333333333333333,Team_00#519,stable,Team_00
607,12,0,0.1528822055137844,0.0393621577831499,0.0057488198443599,0.3181085437936593,0.3333333333333333,Team_00#607,incoming,Team_00
37,13,0,0.1528822055137844,0.0478680073463166,0.0043668948972696,0.3318385650224215,0.3333333333333333,Team_00#37,outgoing,Team_00
227,13,0,0.1528822055137844,0.0392855480305657,0.0050863451931695,0.3075324675324675,0.0,Team_00#227,stable,Team_00
438,13,0,0.1528822055137844,0.0480843834393268,0.0046892622828414,0.3287062742920599,0.3333333333333333,Team_00#438,stable,Team_00
531,13,0,0.1528822055137844,0.0406348606627482,0.0061019144152021,0.3231441048034934,0.0,Team_00#531,stable,Team_00
