source,target,type
0,83,outgoing
0,111,outandin
0,231,outandin
0,254,outandin
0,306,incoming
0,469,outandin
0,522,outandin
83,42,outandin
83,58,outandin
83,60,outandin
83,109,outgoing
83,153,outandin
83,213,outandin
83,223,outandin
83,298,outandin
83,304,outandin
83,535,outandin
111,23,outandin
111,56,outandin
111,119,outandin
111,183,outandin
111,231,outandin
111,237,outandin
111,339,outandin
111,341,outandin
111,454,outgoing
111,593,incoming
111,616,outandin
231,1,outandin
231,23,outandin
231,124,outandin
231,172,outgoing
231,182,outgoing
231,306,outandin
231,315,incoming
231,429,outandin
231,535,outandin
231,568,outandin
254,107,outandin
254,124,outandin
254,155,outandin
254,172,incoming
254,195,outandin
254,306,outandin
254,389,outandin
254,469,outandin
254,514,outandin
254,518,outandin
254,612,outandin
306,34,incoming
306,106,outandin
306,217,outandin
306,245,outandin
306,365,outandin
306,406,outgoing
306,423,outandin
306,574,outandin
469,34,outandin
469,46,outandin
469,58,outandin
469,154,outandin
469,193,outandin
469,342,outandin
469,478,outandin
469,522,outandin
469,617,incoming
522,6,outandin
522,23,incoming
522,107,outandin
522,129,outandin
522,195,outandin
522,232,outandin
522,236,outandin
522,406,outandin
522,563,outandin
522,577,outgoing
522,579,outandin
522,644,outandin
1,192,outandin
1,271,outandin
1,368,outgoing
1,437,outandin
1,450,outandin
1,572,outgoing
1,633,outandin
192,117,outandin
192,179,outandin
192,212,outandin
192,240,outandin
192,271,outandin
192,330,outandin
192,354,outandin
192,362,outandin
192,368,outgoing
192,386,outandin
192,623,outandin
271,117,outgoing
271,145,incoming
271,197,outgoing
271,219,incoming
271,242,incoming
271,300,outgoing
271,331,outandin
271,343,outandin
271,345,outandin
271,637,outandin
368,15,outandin
368,49,outandin
368,242,outandin
368,316,outandin
368,367,outandin
368,383,outandin
368,415,outandin
368,612,outandin
368,623,outandin
437,114,outgoing
437,143,outandin
437,174,outandin
437,287,outandin
437,366,outandin
437,367,outandin
437,519,outandin
437,533,incoming
437,596,outandin
437,615,outgoing
450,3,outandin
450,49,outgoing
