source,target,type
0,88,outandin
0,111,outandin
0,193,outandin
0,330,outandin
0,426,outandin
0,490,incoming
0,516,outandin
0,591,outandin
88,38,incoming
88,298,outandin
88,323,incoming
88,355,outandin
88,410,outandin
88,433,incoming
88,585,outandin
111,172,outandin
111,282,incoming
111,296,outandin
111,313,outandin
111,449,outandin
111,516,outandin
111,531,outandin
111,547,incoming
111,589,outandin
193,144,outandin
193,298,outandin
193,336,outandin
193,403,outandin
193,413,outandin
193,488,outandin
193,525,outandin
193,534,outandin
193,560,outandin
330,142,outandin
330,221,outandin
330,229,incoming
330,310,outandin
330,375,outandin
330,382,outandin
330,432,outandin
330,595,outandin
426,75,outandin
426,158,incoming
426,253,outandin
426,261,outandin
426,291,outandin
426,305,outandin
426,411,outandin
426,486,outandin
426,586,outandin
490,58,outandin
490,247,outandin
490,279,outandin
490,355,outandin
490,396,outandin
490,403,outandin
490,435,outandin
490,489,outandin
490,537,outandin
490,550,outandin
490,581,incoming
490,589,outandin
516,116,outandin
516,143,outandin
516,144,outandin
516,435,outandin
516,462,outandin
516,521,outandin
516,525,outandin
516,531,outandin
516,585,incoming
516,589,outandin
591,118,outandin
591,243,incoming
591,346,outandin
591,354,outandin
591,358,outandin
591,369,outandin
591,410,outandin
591,548,outandin
591,564,outandin
1,106,outandin
1,191,outandin
1,233,outandin
1,273,outandin
1,283,outandin
1,305,outandin
1,408,outandin
1,425,incoming
1,434,outandin
1,519,outandin
1,570,outandin
106,18,incoming
106,51,outandin
106,158,outandin
106,182,outandin
106,197,outandin
106,269,outandin
106,434,incoming
106,454,outandin
106,463,outandin
106,570,outandin
191,19,outandin
191,23,outandin
191,95,outandin
191,198,outandin
191,232,outandin
191,233,outandin
191,316,outandin
191,473,outandin
191,570,outandin
191,573,outandin
191,578,outandin
233,18,outandin
233,50,outandin
233,51,outandin
233,58,outandin
233,95,incoming
233,125,outandin
233,128,outandin
233,423,outandin
233,439,outandin
233,445,outandin
233,487,outandin
233,578,outandin
273,164,outandin
273,188,incoming
273,218,outandin
273,466,outandin
273,558,outandin
273,568,incoming
273,593,incoming
283,18,outandin
283,51,outandin
283,77,outandin
283,201,outandin
283,214,outandin
283,337,outandin
283,407,outandin
283,498,outandin
283,504,outandin
305,78,outandin
305,125,outandin
305,158,outandin
305,232,outandin
305,261,outandin
408,24,outandin
408,107,outandin
408,165,outandin
408,220,outandin
408,360,outandin
408,429,outandin
408,465,outandin
408,483,outandin
408,500,outandin
408,522,outandin
408,542,outandin
425,48,outandin
425,50,outandin
425,130,outandin
425,222,outandin
425,262,outandin
425,445,outandin
425,473,outandin
434,51,outandin
434,83,outandin
434,102,outandin
434,197,incoming
434,201,incoming
434,411,incoming
434,473,outandin
434,499,outandin
434,569,outandin
434,570,incoming
519,19,outandin
519,49,outandin
519,65,outandin
519,86,outandin
519,199,outandin
519,201,outandin
519,337,outandin
519,384,outandin
519,417,outandin
519,486,outandin
519,502,outandin
570,69,outandin
570,95,outandin
570,102,outandin
570,254,incoming
570,292,outandin
570,445,outandin
570,486,outandin
570,590,outandin
2,6,outandin
2,32,outandin
2,127,outandin
2,171,outandin
2,189,outandin
2,195,outandin
2,300,outandin
2,428,incoming
2,541,outandin
2,564,outandin
2,572,incoming
2,593,outandin
6,66,outandin
6,102,outandin
