source,target,type
0,78,outandin
0,99,outandin
0,129,outandin
0,282,outandin
0,290,incoming
0,329,incoming
0,358,outandin
0,398,incoming
0,470,outandin
0,486,outandin
0,498,outandin
0,554,outandin
78,4,incoming
78,256,outandin
78,297,outandin
78,375,outandin
78,428,outandin
78,474,outandin
78,489,outandin
78,490,outandin
78,491,outandin
78,564,outandin
99,65,outandin
99,152,outandin
99,217,incoming
99,239,outandin
99,243,outandin
99,263,outandin
99,318,outandin
99,389,outandin
99,408,outandin
99,462,outandin
129,38,outandin
129,75,outandin
129,118,outandin
129,224,outandin
129,239,outandin
129,318,outandin
129,357,outandin
129,382,outandin
129,423,outandin
129,494,outandin
129,599,outandin
282,75,outandin
282,128,outandin
282,193,outandin
282,200,outandin
282,246,outandin
282,281,outandin
282,350,outandin
282,462,outandin
282,477,outandin
282,533,outandin
290,23,outandin
290,65,outandin
290,144,outandin
290,200,outandin
290,263,outandin
290,389,outandin
290,398,outandin
290,577,outandin
329,103,incoming
329,175,incoming
329,223,outandin
329,271,outandin
329,277,outandin
329,285,outandin
329,321,outandin
329,389,outandin
329,434,outandin
329,442,outandin
329,444,outandin
329,457,outandin
329,470,outandin
329,475,outandin
329,599,outandin
358,72,outandin
358,174,outandin
358,190,outandin
358,243,outandin
358,263,outandin
358,281,outandin
358,285,incoming
358,318,incoming
358,398,outandin
358,435,outandin
358,453,outandin
358,475,outandin
398,235,outandin
398,340,outandin
398,434,outandin
398,470,outandin
398,532,outandin
398,542,outandin
398,577,outandin
470,38,outandin
470,118,outandin
470,152,outandin
470,213,outandin
470,220,outandin
470,239,outandin
470,263,outandin
470,508,outandin
486,198,outandin
486,240,outandin
486,268,outandin
486,414,outandin
486,442,outandin
486,469,outandin
486,502,outandin
486,586,outandin
486,597,outandin
498,7,outandin
498,72,outandin
498,75,outandin
498,128,outandin
498,152,outandin
498,193,outandin
498,223,outandin
498,239,outandin
498,243,incoming
498,246,outandin
498,277,outandin
498,408,outandin
498,546,outandin
554,38,outandin
554,72,outandin
554,82,outandin
554,155,outandin
554,164,outandin
554,195,outandin
554,239,outandin
554,277,outandin
554,318,outandin
554,417,outandin
554,418,outandin
554,429,outandin
554,457,outandin
554,524,outandin
1,29,outandin
1,54,outandin
1,151,outandin
1,163,outandin
1,208,outandin
1,236,outandin
1,280,outandin
1,407,incoming
1,512,outandin
1,519,outandin
1,529,outandin
1,592,outandin
29,124,outandin
29,137,outandin
29,148,outandin
29,191,incoming
29,198,outandin
29,199,outandin
29,210,outandin
29,309,outandin
29,512,outandin
29,516,outandin
29,519,incoming
54,22,outandin
54,58,outandin
54,69,outandin
54,81,outandin
54,188,outandin
54,238,incoming
54,254,outandin
54,266,outandin
54,278,incoming
54,444,outandin
54,452,outandin
54,552,outandin
151,3,outandin
151,14,outandin
151,148,outandin
151,187,incoming
151,208,outandin
151,236,outandin
151,291,outandin
151,384,outandin
151,403,incoming
151,519,outandin
163,14,outandin
163,31,outandin
163,122,outandin
163,181,outandin
163,212,outandin
163,218,outandin
163,227,outandin
163,229,outandin
163,271,outandin
163,440,outandin
163,560,incoming
163,563,outandin
208,124,outandin
208,236,outandin
208,291,outandin
208,295,incoming
208,323,outandin
208,403,incoming
208,450,outandin
208,474,outandin
236,63,outandin
236,101,incoming
236,137,outandin
236,177,outandin
236,199,outandin
236,204,outandin
236,210,outandin
236,388,outandin
236,403,outandin
236,512,outandin
280,14,incoming
280,123,outandin
280,204,outandin
280,241,outandin
280,394,outandin
280,403,outandin
280,479,incoming
280,555,outandin
280,597,outandin
407,3,outandin
407,74,outandin
407,187,incoming
407,270,outandin
407,309,incoming
407,335,outandin
407,401,incoming
407,428,outandin
407,437,outandin
407,497,outandin
407,512,incoming
407,516,outandin
407,555,incoming
512,101,outandin
512,177,incoming
512,199,outandin
512,309,outandin
512,340,outandin
512,384,outandin
512,388,incoming
512,450,outandin
512,452,outandin
519,117,outandin
519,295,outandin
519,306,incoming
519,307,outandin
519,335,outandin
519,383,outandin
519,529,outandin
529,74,outandin
529,199,incoming
529,204,outandin
529,219,outandin
529,374,outandin
529,384,outandin
529,386,outandin
529,429,outandin
529,435,outandin
529,437,outandin
529,481,incoming
592,3,outandin
592,80,outandin
592,191,outandin
592,304,outandin
592,309,outandin
592,323,outandin
592,394,outandin
592,479,incoming
592,523,outandin
2,27,outandin
2,57,outandin
2,191,outandin
2,305,outandin
2,387,outandin
2,416,outandin
2,474,outandin
2,483,outandin
2,534,outandin
27,30,outandin
27,71,outandin
27,166,outandin
27,240,outandin
27,250,outandin
27,300,incoming
27,320,outandin
27,356,outandin
27,409,outandin
27,469,incoming
27,499,outandin
27,502,outandin
27,588,outandin
57,81,incoming
57,104,outandin
57,120,outandin
57,252,outandin
57,327,outandin
57,353,outandin
57,399,outandin
57,420,outandin
57,450,outandin
57,464,outandin
57,482,outandin
57,561,outandin
191,31,outandin
191,42,outandin
191,168,outandin
191,197,outandin
191,263,outandin
191,270,outandin
191,328,outandin
191,403,outandin
191,437,outandin
191,479,outandin
191,523,incoming
305,100,outandin
305,171,outandin
305,224,outandin
305,323,outandin
305,349,outandin
305,353,outandin
305,414,outandin
305,484,outandin
305,534,outandin
305,569,outandin
387,41,outandin
387,69,outandin
387,104,outandin
387,170,outandin
387,193,outandin
387,220,outandin
387,311,outandin
387,528,outandin
387,531,outandin
387,569,outandin
387,575,outandin
416,63,outandin
416,100,outandin
416,184,outandin
416,238,outandin
416,254,incoming
416,317,outandin
416,420,outandin
416,430,incoming
416,528,outandin
474,265,outandin
474,354,outandin
474,363,outandin
474,399,outandin
474,420,outandin
474,426,outandin
474,505,incoming
483,111,outandin
483,112,outandin
483,235,outandin
483,266,outandin
483,325,outandin
483,349,outandin
483,353,outandin
483,465,outandin
483,505,outandin
483,528,incoming
483,547,outandin
483,550,outandin
483,573,outandin
534,81,outandin
534,120,outandin
534,205,outandin
534,302,incoming
534,311,outandin
534,399,outandin
534,464,outandin
534,504,outandin
534,537,outandin
534,559,outandin
3,114,outandin
3,144,outandin
3,148,outandin
3,210,outandin
3,225,outandin
3,306,outandin
3,307,outandin
3,401,outandin
3,428,incoming
114,123,outandin
114,198,outandin
114,291,outandin
114,307,incoming
114,386,outandin
114,388,outandin
114,394,incoming
114,401,outandin
114,403,incoming
114,481,outandin
114,487,outandin
114,523,outandin
144,77,outandin
144,152,incoming
144,168,outandin
144,190,outandin
144,223,outandin
144,377,outandin
144,434,outandin
144,462,incoming
144,477,outandin
144,533,outandin
148,74,outandin
148,162,outandin
148,187,outandin
148,204,outandin
148,374,outandin
148,386,outandin
148,435,outandin
148,458,outandin
148,570,outandin
210,4,outandin
210,101,incoming
210,223,outandin
210,306,outandin
210,323,incoming
225,142,outandin
225,156,outandin
225,209,outandin
225,341,outandin
225,415,outandin
225,423,incoming
225,458,incoming
225,464,outandin
225,501,outandin
225,507,outandin
225,518,outandin
225,536,outandin
306,309,outandin
306,323,outandin
306,328,outandin
306,386,outandin
306,495,outandin
307,123,outandin
307,219,outandin
307,291,outandin
307,384,outandin
307,403,outandin
307,479,outandin
401,100,outandin
401,124,outandin
401,291,outandin
401,295,outandin
401,323,outandin
401,328,outandin
401,383,outandin
401,388,outandin
401,520,outandin
428,117,outandin
428,124,incoming
428,199,outandin
428,340,outandin
428,386,outandin
428,488,outandin
428,516,outandin
4,118,outandin
4,196,outandin
4,252,outandin
4,276,outandin
4,297,outandin
4,308,outandin
4,319,outandin
4,371,outandin
4,425,outandin
4,493,outandin
118,72,outandin
118,200,outandin
118,243,outandin
118,273,outandin
118,389,outandin
118,408,incoming
118,434,outandin
196,9,outandin
196,16,outandin
196,247,outandin
196,255,outandin
196,265,incoming
196,302,outandin
196,311,outandin
196,367,outandin
196,436,outandin
196,451,outandin
196,454,outandin
252,58,outandin
252,176,outandin
252,188,outandin
252,285,outandin
252,360,incoming
252,411,outandin
252,448,outandin
252,504,outandin
252,550,outandin
276,64,outandin
276,115,outandin
276,159,outandin
276,164,outandin
276,289,outandin
276,320,outandin
276,371,outandin
276,392,outandin
276,400,outandin
276,415,incoming
276,421,outandin
276,492,outandin
297,11,outandin
297,33,outandin
297,45,outandin
297,128,outandin
297,142,outandin
297,202,outandin
297,240,outandin
297,286,outandin
297,489,outandin
297,493,outandin
297,530,outandin
308,33,outandin
308,48,incoming
308,115,outandin
308,130,outandin
308,164,outandin
308,197,incoming
308,319,outandin
308,390,outandin
308,392,outandin
308,432,outandin
308,493,incoming
319,98,outandin
319,140,outandin
319,181,incoming
319,256,outandin
319,406,outandin
319,489,outandin
319,520,outandin
319,530,outandin
319,572,outandin
319,574,incoming
371,36,outandin
371,199,outandin
371,286,outandin
371,392,incoming
371,406,outandin
371,530,incoming
371,545,outandin
425,33,outandin
425,36,outandin
425,66,outandin
425,115,outandin
425,264,incoming
425,286,outandin
425,314,outandin
425,545,outandin
493,142,outandin
493,207,outandin
493,338,outandin
493,390,outandin
493,406,outandin
493,578,outandin
493,596,outandin
5,46,outandin
5,61,outandin
5,88,incoming
5,159,outandin
5,422,outandin
5,450,outandin
5,455,incoming
5,471,outandin
5,475,outandin
46,18,outandin
46,51,outandin
46,84,outandin
46,127,incoming
46,135,outandin
46,143,outandin
46,162,incoming
46,368,outandin
46,372,outandin
46,413,outandin
46,417,outandin
46,485,outandin
46,488,outandin
46,506,outandin
61,67,outandin
61,147,outandin
61,159,outandin
61,162,outandin
61,273,outandin
61,404,outandin
61,542,outandin
61,549,outandin
61,556,outandin
88,153,incoming
88,161,outandin
88,298,outandin
88,370,outandin
88,413,incoming
88,426,outandin
88,443,incoming
88,477,outandin
88,503,outandin
88,506,outandin
159,51,outandin
159,106,outandin
159,127,outandin
159,165,outandin
159,167,outandin
159,205,outandin
159,273,outandin
159,316,outandin
159,372,outandin
159,388,outandin
159,413,outandin
159,485,outandin
422,32,outandin
422,67,outandin
422,209,outandin
422,313,outandin
422,455,outandin
422,503,outandin
422,547,outandin
422,598,outandin
450,6,outandin
450,124,outandin
450,137,outandin
450,384,outandin
450,388,incoming
450,435,outandin
455,51,outandin
455,186,outandin
455,404,incoming
455,427,outandin
455,431,outandin
455,502,outandin
455,532,outandin
455,558,outandin
455,573,outandin
471,96,outandin
471,106,outandin
471,165,outandin
471,167,outandin
471,430,outandin
471,503,outandin
471,539,outandin
471,556,outandin
475,92,outandin
475,137,outandin
475,174,outandin
475,190,outandin
475,234,outandin
475,263,outandin
475,362,outandin
475,444,outandin
475,457,outandin
475,566,outandin
6,8,incoming
6,25,outandin
6,87,outandin
6,174,outandin
6,179,outandin
6,284,outandin
6,331,outandin
6,390,outandin
6,405,outandin
6,464,outandin
6,559,outandin
6,562,outandin
6,585,outandin
6,593,incoming
8,70,outandin
8,87,outandin
8,172,outandin
8,177,outandin
8,323,outandin
8,331,outandin
8,400,outandin
8,405,outandin
8,500,outandin
8,517,outandin
8,559,outandin
8,576,outandin
25,13,incoming
25,34,incoming
25,42,outandin
25,53,outandin
25,209,outandin
25,231,incoming
25,269,outandin
25,333,outandin
25,517,incoming
25,559,outandin
25,576,outandin
87,34,outandin
87,50,outandin
87,53,outandin
87,315,outandin
87,509,outandin
87,510,outandin
87,561,outandin
174,75,outandin
174,195,outandin
174,203,outandin
