source,target,type
0,101,outgoing
0,84,outgoing
0,156,
0,11,outandin
0,147,
0,143,
0,4,
0,8,
0,32,outandin
0,45,
0,64,incoming
0,69,outgoing
0,74,incoming
0,76,
0,111,incoming
0,115,outandin
0,142,outgoing
0,157,
0,193,outandin
101,4,outandin
101,11,outandin
101,78,outandin
101,84,outgoing
101,147,outandin
101,76,outandin
101,159,outgoing
101,157,outandin
101,120,outandin
101,143,outandin
84,69,outandin
84,4,outandin
84,156,outandin
84,11,outandin
84,147,outgoing
84,110,outandin
84,115,outandin
84,143,outgoing
156,8,outandin
156,11,outandin
156,69,outgoing
156,76,outandin
156,110,outandin
156,143,
156,147,outgoing
156,115,outandin
156,157,outgoing
11,8,incoming
11,142,outandin
11,32,outandin
11,157,outandin
11,45,outandin
11,64,outgoing
11,69,outandin
11,74,outgoing
11,76,outandin
11,78,incoming
11,120,
11,176,
147,4,outandin
147,8,outandin
147,16,outgoing
147,42,incoming
147,43,outandin
147,55,outandin
147,60,incoming
147,69,outgoing
147,76,
147,107,outgoing
147,143,incoming
147,115,outandin
147,157,incoming
143,4,outandin
143,8,outandin
143,69,outgoing
143,76,outandin
143,110,incoming
143,142,outgoing
143,32,outandin
143,157,outgoing
1,99,outandin
1,86,outandin
1,136,outandin
1,128,outandin
1,161,outandin
1,125,outgoing
1,53,outandin
1,82,outandin
1,96,outgoing
1,150,outandin
99,17,outandin
99,161,outandin
99,136,outandin
99,152,outandin
99,128,outandin
99,92,outandin
99,61,outandin
99,166,outgoing
86,56,outandin
86,98,outandin
86,41,outandin
86,2,incoming
86,152,outandin
86,103,outandin
136,50,outandin
136,61,outandin
136,66,outandin
136,126,outandin
136,46,outandin
136,174,outandin
136,173,outandin
136,171,outandin
136,168,outandin
136,146,outandin
136,161,incoming
128,2,incoming
128,41,outandin
128,50,incoming
128,61,outandin
128,66,outandin
128,92,outandin
128,94,outandin
128,109,outandin
128,161,outandin
128,31,outgoing
128,81,outandin
128,89,outandin
128,168,outandin
161,2,outandin
161,18,outandin
161,20,outandin
161,36,outandin
161,50,outandin
161,81,outandin
161,94,outandin
161,96,outandin
161,108,outandin
161,109,outandin
161,122,outandin
161,150,outandin
161,153,outandin
161,196,outandin
161,61,outandin
161,168,outandin
161,166,outandin
161,67,incoming
161,162,outandin
161,171,outandin
161,173,outandin
161,174,incoming
161,192,outandin
161,194,outandin
125,17,outandin
125,117,outandin
125,173,outandin
125,66,outandin
125,20,outandin
125,152,incoming
2,103,outandin
2,81,outandin
2,164,outandin
2,92,incoming
2,102,outandin
2,122,outandin
2,160,outandin
103,7,outandin
103,19,
103,21,outandin
103,37,
103,51,outandin
103,58,outgoing
103,72,outandin
103,75,outandin
103,97,outandin
